sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"During this time , there were even satirical cookbooks advising the Americans on how to cook without using red meat , red vegetables and fruits such as radishes , carrots , beets , and red apples n7 .",carrots,"nmod:such_as(fruits-25, carrots-30) conj:and(radishes-28, carrots-30) ",NNS,,,,,,,,such_as fruits,such_as,fruits,,,,and,radishes,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
"Does the "" stick "" of sanctions , combined with the "" carrot "" of increased economic assistance , provide sufficient incentive to other countries to comply with US anti-narcotraffic goals should their own national views or priorities differ ?",carrot,"case(carrot-13, combined-9) case(carrot-13, with-10) compound(carrot-13, the-11) nmod:of(carrot-13, assistance-18) advcl:with(stick-4, carrot-13) ",NN,,,,,,,,of assistance,of,,assistance,,,,,the,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
Add the yellow onion and carrot and stir-fry until they begin to soften .,carrot,"cc(carrot-6, and-7) conj:and(carrot-6, stir-fry-8) dobj(Add-1, carrot-6) conj:and(onion-4, carrot-6) ",NN,,VB,,,Add,add,,,,,,,,and,onion,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"People of Northern Hemisphere origin are inclined to lump them together as root vegetables , by analogy to carrots and parsnips and turnips , even though not all of them grow underground ( plantains , pumpkins , chayote ) .",carrots,"case(carrots-19, to-18) cc(carrots-19, and-20) conj:and(carrots-19, parsnips-21) conj:and(carrots-19, turnips-23) nmod:to(analogy-17, carrots-19) ",NNS,,,,,,,,to analogy,to,analogy,,,,"and, and","parsnips, turnips",,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
"This has not prevented the Mozambican government from citing hopes for success in the talks as a carrot to draw some of its people back home , no doubt wanting to take credit for a new era of peace prior to promised elections.",carrot,"case(carrot-18, as-16) det(carrot-18, a-17) acl(carrot-18, draw-20) nmod:as(citing-9, carrot-18) ",NN,,,,,,,,as citing,as,citing,,a,indefinite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,a,unit,singular,linked,,A+N,countable,unknown
"Food is manipulated into some other form than it assumes either naturally or upon being cooked : lines are put into mashed potatoes , carrots are flaked , wieners are twisted and sliced .",carrots,"nsubjpass(flaked-27, carrots-25) ",NNS,,VBN,flaked,flake,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,ambiguous,,unknown,unknown
"Thus , Kissinger recounts , he was of the opinion that the carrot of MFN was indeed a weak one , and , if further pressed by passage of the amendments , the Soviets would have no feasible alternative but to cease negotiating and discontinue their efforts in easing emigration .",carrot,"det(carrot-13, the-12) nmod:of(carrot-13, MFN-15) nsubj(one-20, carrot-13) ",NN,,VBD,was,be,,,,of MFN,of,,mfn,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"100 CERCLA 's liability scheme implicitly authorized the EPA to take a coercive "" carrot and stick "" approach to gaining the cooperation of PRPs.",carrot,"det(carrot-15, a-12) amod(carrot-15, coercive-13) dobj(take-11, carrot-15) ",NN,,VB,,,take,take,,,,,,a,indefinite article,,,,coercive,[0.03791666666666667],[0.0325],[0.0],[0.075],[0.0575],[0.03866666666666667],[0.075],[0.01875],[0.09333333333333334],[0.11808333333333333],[0.1775],[0.20074999999999998],[0.075],,,,,,,,,,a,unit,singular,linked,ambiguous,A+N,countable,unknown
"In a few minutes , she has extracted a small stack of wrinkled roots that look somewhat like carrots .",carrots,"case(carrots-19, like-18) nmod:like(look-16, carrots-19) ",NNS,,,,,,,,like look,like,look,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
<p> At the moment Mubarak 's approach seems to be all stick and no carrot .,carrot,"neg(carrot-15, no-14) xcomp(seems-8, carrot-15) conj:and(stick-12, carrot-15) ",NN,no,VBZ,,,seems,seem,,,,,,,,and,stick,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,singular,,unknown,verdical
Aid from Taiwan is used as a carrot to reward countries pursuing policies favorable to Taiwan .,carrot,"case(carrot-8, as-6) det(carrot-8, a-7) nmod:as(used-5, carrot-8) ",NN,,,,,,,,as used,as,used,,a,indefinite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,a,unit,singular,linked,,A+N,countable,unknown
"The risk is that the parties will fail to confront their disputes and merely reach a weak agreement in the interest of obtaining the "" carrots "" of massive foreign assistance .",carrots,"nmod:of(carrots-26, assistance-31) dobj(obtaining-23, carrots-26) ",NNS,,VBG,,,obtaining,obtain,,of assistance,of,,assistance,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,ambiguous,,unknown,unknown
"However , it took a total "" carrot and stick "" approach to provide ample incentives to engage the disputants in serious reconciliation efforts .",carrot,"det(carrot-8, a-5) amod(carrot-8, total-6) dobj(took-4, carrot-8) ",NN,,VBD,,,took,take,,,,,,a,indefinite article,,,,total,[0.00375],[0.01125],[0.0025],[0.015],[0.0175],[0.0],[0.43243695887445893],[0.005],[0.005],[0.0],[0.015],[0.005],[0.4875630411255411],,,,,,,,,,a,unit,singular,linked,ambiguous,A+N,countable,unknown
"<p> The West 's "" carrot and stick "" strategy alone might not have resulted in serious negotiations had it not been for the tireless efforts of chief UN envoy Mohamed Sahnoun and US special envoy Robert Oakley .",carrot,"nmod:poss(carrot-6, West-3) dep(<p>-1, carrot-6) ",NN,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,west,,,,,,,,,,singular,bare singular,,,unknown,unknown
