sent,tags,parse
"Perhaps there is still a way for the architect , without becoming -- as so many modern form-makers have insisted -- the dictator of an environment to provide a process , a set of tools , a mechanism whereby individual action can cumulate to great harmonious wholes .","Perhaps/RB there/EX is/VBZ still/RB a/DT way/NN for/IN the/DT architect/NN ,/, without/IN becoming/VBG --/: as/IN so/RB many/JJ modern/JJ form-makers/NNS have/VBP insisted/VBN --/: the/DT dictator/NN of/IN an/DT environment/NN to/TO provide/VB a/DT process/NN ,/, a/DT set/NN of/IN tools/NNS ,/, a/DT mechanism/NN whereby/WRB individual/JJ action/NN can/MD cumulate/VB to/TO great/JJ harmonious/JJ wholes/NNS ./.","advmod(is-3, Perhaps-1) expl(is-3, there-2) root(ROOT-0, is-3) advmod(is-3, still-4) det(way-6, a-5) nsubj(is-3, way-6) case(architect-9, for-7) det(architect-9, the-8) nmod:for(way-6, architect-9) mark(becoming-12, without-11) advcl(is-3, becoming-12) mark(insisted-20, as-14) advmod(form-makers-18, so-15) amod(form-makers-18, many-16) amod(form-makers-18, modern-17) nsubj(insisted-20, form-makers-18) aux(insisted-20, have-19) parataxis(becoming-12, insisted-20) det(dictator-23, the-22) dobj(becoming-12, dictator-23) nsubj(provide-28, dictator-23) case(environment-26, of-24) det(environment-26, an-25) nmod:of(dictator-23, environment-26) mark(provide-28, to-27) xcomp(becoming-12, provide-28) det(process-30, a-29) dobj(provide-28, process-30) det(set-33, a-32) dobj(provide-28, set-33) case(tools-35, of-34) nmod:of(set-33, tools-35) det(mechanism-38, a-37) dobj(provide-28, mechanism-38) advmod(cumulate-43, whereby-39) amod(action-41, individual-40) nsubj(cumulate-43, action-41) aux(cumulate-43, can-42) acl:relcl(mechanism-38, cumulate-43) case(wholes-47, to-44) amod(wholes-47, great-45) amod(wholes-47, harmonious-46) nmod:to(cumulate-43, wholes-47)  "
"If he appeared rather more subtle and elegant than the English writers , this was because he could n't help being , in himself , an exquisite product of the high bourgeois culture he was subverting , not to mention his quixotic charm as a rentier prepared to saw off the branch he was sitting on .","If/IN he/PRP appeared/VBD rather/RB more/RBR subtle/JJ and/CC elegant/JJ than/IN the/DT English/JJ writers/NNS ,/, this/DT was/VBD because/IN he/PRP could/MD n't/RB help/VB being/NN ,/, in/IN himself/PRP ,/, an/DT exquisite/JJ product/NN of/IN the/DT high/JJ bourgeois/NNS culture/NN he/PRP was/VBD subverting/VBG ,/, not/RB to/TO mention/VB his/PRP$ quixotic/JJ charm/NN as/IN a/DT rentier/NN prepared/VBN to/TO saw/VB off/RP the/DT branch/NN he/PRP was/VBD sitting/VBG on/RP ./.","mark(appeared-3, If-1) nsubj(appeared-3, he-2) advcl(was-15, appeared-3) advmod(subtle-6, rather-4) advmod(subtle-6, more-5) advcl(appeared-3, subtle-6) cc(subtle-6, and-7) advcl(appeared-3, elegant-8) conj:and(subtle-6, elegant-8) case(writers-12, than-9) det(writers-12, the-10) amod(writers-12, English-11) nmod:than(appeared-3, writers-12) nsubj(was-15, this-14) root(ROOT-0, was-15) mark(help-20, because-16) nsubj(help-20, he-17) aux(help-20, could-18) neg(help-20, n't-19) advcl(was-15, help-20) dobj(help-20, being-21) case(himself-24, in-23) nmod:in(help-20, himself-24) det(product-28, an-26) amod(product-28, exquisite-27) appos(himself-24, product-28) case(culture-33, of-29) det(culture-33, the-30) amod(culture-33, high-31) compound(culture-33, bourgeois-32) nmod:of(product-28, culture-33) nsubj(subverting-36, he-34) aux(subverting-36, was-35) acl:relcl(culture-33, subverting-36) neg(mention-40, not-38) mark(mention-40, to-39) advcl(help-20, mention-40) nmod:poss(charm-43, his-41) amod(charm-43, quixotic-42) dobj(mention-40, charm-43) case(rentier-46, as-44) det(rentier-46, a-45) nmod:as(mention-40, rentier-46) acl(rentier-46, prepared-47) mark(saw-49, to-48) xcomp(prepared-47, saw-49) compound:prt(saw-49, off-50) det(branch-52, the-51) dobj(saw-49, branch-52) nsubj(sitting-55, he-53) aux(sitting-55, was-54) acl:relcl(branch-52, sitting-55) compound:prt(sitting-55, on-56)  "
"( Incidentally , if there is no reliable balance in Nature , this means that Papageno 's charming aria in "" The Magic Flute , "" "" Ein Mann , ein Weib , ein Weib , ein Mann "" is not expressing a simple , natural truth , as one might suppose , but a secondary , socially conditioned aspiration or idealization . )","-LRB-/-LRB- Incidentally/RB ,/, if/IN there/EX is/VBZ no/DT reliable/JJ balance/NN in/IN Nature/NNP ,/, this/DT means/VBZ that/DT Papageno/NNP 's/POS charming/JJ aria/NN in/IN ''/'' The/DT Magic/NNP Flute/NNP ,/, ''/'' ''/'' Ein/NNP Mann/NNP ,/, ein/NNP Weib/NNP ,/, ein/VBP Weib/NNP ,/, ein/NNP Mann/NNP ''/'' is/VBZ not/RB expressing/VBG a/DT simple/JJ ,/, natural/JJ truth/NN ,/, as/IN one/PRP might/MD suppose/VB ,/, but/CC a/DT secondary/JJ ,/, socially/RB conditioned/VBN aspiration/NN or/CC idealization/NN ./. -RRB-/-RRB-","advmod(means-14, Incidentally-2) mark(is-6, if-4) expl(is-6, there-5) advcl(means-14, is-6) neg(balance-9, no-7) amod(balance-9, reliable-8) nsubj(is-6, balance-9) case(Nature-11, in-10) nmod:in(balance-9, Nature-11) nsubj(means-14, this-13) root(ROOT-0, means-14) det(Papageno-16, that-15) nmod:poss(aria-19, Papageno-16) case(Papageno-16, 's-17) amod(aria-19, charming-18) dobj(means-14, aria-19) case(Flute-24, in-20) det(Flute-24, The-22) compound(Flute-24, Magic-23) nmod:in(means-14, Flute-24) compound(Mann-29, Ein-28) nsubj(ein-34, Mann-29) compound(Weib-32, ein-31) appos(Mann-29, Weib-32) dep(means-14, ein-34) dobj(ein-34, Weib-35) compound(Mann-38, ein-37) nsubj(expressing-42, Mann-38) aux(expressing-42, is-40) neg(expressing-42, not-41) parataxis(means-14, expressing-42) det(truth-47, a-43) amod(truth-47, simple-44) amod(truth-47, natural-46) dobj(expressing-42, truth-47) mark(suppose-52, as-49) nsubj(suppose-52, one-50) aux(suppose-52, might-51) acl:relcl(truth-47, suppose-52) cc(truth-47, but-54) det(aspiration-60, a-55) amod(aspiration-60, secondary-56) advmod(conditioned-59, socially-58) amod(aspiration-60, conditioned-59) dobj(expressing-42, aspiration-60) conj:but(truth-47, aspiration-60) cc(aspiration-60, or-61) conj:but(truth-47, idealization-62) conj:or(aspiration-60, idealization-62)  "
"From the point of view of traditional humanism , it could be called sophisticated , imaginative hooliganism , harmless enough as long as it remains on the fictional level , and even useful as marking the absolute zero of morality .","From/IN the/DT point/NN of/IN view/NN of/IN traditional/JJ humanism/NN ,/, it/PRP could/MD be/VB called/VBN sophisticated/JJ ,/, imaginative/JJ hooliganism/NN ,/, harmless/JJ enough/RB as/RB long/RB as/IN it/PRP remains/VBZ on/IN the/DT fictional/JJ level/NN ,/, and/CC even/RB useful/JJ as/IN marking/VBG the/DT absolute/JJ zero/NN of/IN morality/NN ./.","case(point-3, From-1) det(point-3, the-2) nmod:from(called-13, point-3) case(view-5, of-4) nmod:of(point-3, view-5) case(humanism-8, of-6) amod(humanism-8, traditional-7) nmod:of(view-5, humanism-8) nsubjpass(called-13, it-10) aux(called-13, could-11) auxpass(called-13, be-12) root(ROOT-0, called-13) xcomp(called-13, sophisticated-14) amod(hooliganism-17, imaginative-16) dep(harmless-19, hooliganism-17) xcomp(called-13, harmless-19) advmod(harmless-19, enough-20) advmod(long-22, as-21) advmod(remains-25, long-22) mark(remains-25, as-23) nsubj(remains-25, it-24) dep(harmless-19, remains-25) case(level-29, on-26) det(level-29, the-27) amod(level-29, fictional-28) nmod:on(remains-25, level-29) cc(harmless-19, and-31) advmod(useful-33, even-32) xcomp(called-13, useful-33) conj:and(harmless-19, useful-33) mark(marking-35, as-34) advcl(useful-33, marking-35) det(zero-38, the-36) amod(zero-38, absolute-37) dobj(marking-35, zero-38) case(morality-40, of-39) nmod:of(zero-38, morality-40)  "
"Gertrude can stand for any of the boys with whom Gide became infatuated to his wife 's sorrow , and whom he helped or harmed by his attentions .","Gertrude/NNP can/MD stand/VB for/IN any/DT of/IN the/DT boys/NNS with/IN whom/WP Gide/NNP became/VBD infatuated/VBN to/TO his/PRP$ wife/NN 's/POS sorrow/NN ,/, and/CC whom/WP he/PRP helped/VBD or/CC harmed/VBD by/IN his/PRP$ attentions/NNS ./.","nsubj(stand-3, Gertrude-1) aux(stand-3, can-2) root(ROOT-0, stand-3) case(any-5, for-4) nmod:for(stand-3, any-5) case(boys-8, of-6) det(boys-8, the-7) nmod:of(any-5, boys-8) mark(became-12, with-9) dobj(became-12, whom-10) nsubj(became-12, Gide-11) advcl(stand-3, became-12) dep(became-12, infatuated-13) case(sorrow-18, to-14) nmod:poss(wife-16, his-15) nmod:poss(sorrow-18, wife-16) case(wife-16, 's-17) nmod:to(infatuated-13, sorrow-18) cc(infatuated-13, and-20) dobj(helped-23, whom-21) nsubj(helped-23, he-22) nsubj(harmed-25, he-22) dep(became-12, helped-23) conj:and(infatuated-13, helped-23) cc(helped-23, or-24) conj:and(infatuated-13, harmed-25) conj:or(helped-23, harmed-25) case(attentions-28, by-26) nmod:poss(attentions-28, his-27) nmod:by(helped-23, attentions-28)  "
"If this is so , Gide is suggesting that the pederastic relationship can never be taken very far by the adult , since it depends less on the personal identity of the loved one than on his attraction as a provisional embodiment of youthful charm ; in short , a pederast is probably more in love with youth and beauty than with any particular individual , and this is hardly an attitude that lends itself to a crusading development .","If/IN this/DT is/VBZ so/RB ,/, Gide/NNP is/VBZ suggesting/VBG that/IN the/DT pederastic/JJ relationship/NN can/MD never/RB be/VB taken/VBN very/RB far/RB by/IN the/DT adult/NN ,/, since/IN it/PRP depends/VBZ less/CC on/IN the/DT personal/JJ identity/NN of/IN the/DT loved/NN one/CD than/IN on/IN his/PRP$ attraction/NN as/IN a/DT provisional/JJ embodiment/NN of/IN youthful/JJ charm/NN ;/: in/IN short/JJ ,/, a/DT pederast/NN is/VBZ probably/RB more/JJR in/IN love/NN with/IN youth/NN and/CC beauty/NN than/IN with/IN any/DT particular/JJ individual/NN ,/, and/CC this/DT is/VBZ hardly/RB an/DT attitude/NN that/WDT lends/VBZ itself/PRP to/TO a/DT crusading/VBG development/NN ./.","mark(is-3, If-1) nsubj(is-3, this-2) advcl(suggesting-8, is-3) advmod(is-3, so-4) nsubj(suggesting-8, Gide-6) aux(suggesting-8, is-7) root(ROOT-0, suggesting-8) mark(taken-16, that-9) det(relationship-12, the-10) amod(relationship-12, pederastic-11) nsubjpass(taken-16, relationship-12) aux(taken-16, can-13) neg(taken-16, never-14) auxpass(taken-16, be-15) ccomp(suggesting-8, taken-16) advmod(far-18, very-17) advmod(taken-16, far-18) case(adult-21, by-19) det(adult-21, the-20) nmod:by(taken-16, adult-21) mark(depends-25, since-23) nsubj(depends-25, it-24) advcl(taken-16, depends-25) cc(identity-30, less-26) case(identity-30, on-27) det(identity-30, the-28) amod(identity-30, personal-29) nmod:on(depends-25, identity-30) case(loved-33, of-31) det(loved-33, the-32) nmod:of(identity-30, loved-33) advmod(attraction-38, one-34) case(one-34, than-35) case(attraction-38, on-36) nmod:poss(attraction-38, his-37) nmod:on(depends-25, attraction-38) case(embodiment-42, as-39) det(embodiment-42, a-40) amod(embodiment-42, provisional-41) nmod:as(attraction-38, embodiment-42) case(charm-45, of-43) amod(charm-45, youthful-44) nmod:of(embodiment-42, charm-45) case(short-48, in-47) advcl:in(more-54, short-48) det(pederast-51, a-50) nsubj(more-54, pederast-51) cop(more-54, is-52) advmod(more-54, probably-53) parataxis(suggesting-8, more-54) case(love-56, in-55) nmod:in(more-54, love-56) case(youth-58, with-57) nmod:with(love-56, youth-58) cc(youth-58, and-59) nmod:with(love-56, beauty-60) conj:and(youth-58, beauty-60) case(individual-65, than-61) case(individual-65, with-62) det(individual-65, any-63) amod(individual-65, particular-64) nmod:with(more-54, individual-65) cc(more-54, and-67) nsubj(attitude-72, this-68) cop(attitude-72, is-69) advmod(attitude-72, hardly-70) det(attitude-72, an-71) parataxis(suggesting-8, attitude-72) conj:and(more-54, attitude-72) nsubj(lends-74, attitude-72) ref(attitude-72, that-73) acl:relcl(attitude-72, lends-74) dobj(lends-74, itself-75) case(development-79, to-76) det(development-79, a-77) amod(development-79, crusading-78) nmod:to(lends-74, development-79)  "
""" If Edmund was not bound by a Catholic conscience-even such a porous one as Scott had claimed-he lacked his friend 's confident charm . """,''/'' If/IN Edmund/NNP was/VBD not/RB bound/VBN by/IN a/DT Catholic/JJ conscience-even/NN such/JJ a/DT porous/JJ one/NN as/IN Scott/NNP had/VBD claimed-he/NN lacked/VBD his/PRP$ friend/NN 's/POS confident/JJ charm/NN ./. ''/'',"case(Edmund-3, If-2) nmod:if(lacked-19, Edmund-3) auxpass(bound-6, was-4) neg(bound-6, not-5) acl:relcl(Edmund-3, bound-6) case(conscience-even-10, by-7) det(conscience-even-10, a-8) amod(conscience-even-10, Catholic-9) nmod:by(bound-6, conscience-even-10) case(one-14, such-11) det(one-14, a-12) amod(one-14, porous-13) nmod:such(bound-6, one-14) amod(one-14, as-15) nsubj(had-17, Scott-16) parataxis(lacked-19, had-17) nsubj(lacked-19, claimed-he-18) root(ROOT-0, lacked-19) nmod:poss(friend-21, his-20) nmod:poss(charm-24, friend-21) case(friend-21, 's-22) amod(charm-24, confident-23) dobj(lacked-19, charm-24)  "
"If $100,000-a-year professors at one of America 's most expensive and "" elitist "" schools want to posture as good comrades , populists , and the vanguard of class struggle , probably no lasting harm is done -- to them .","If/IN $/$ 100,000-a-year/CD professors/VBG at/IN one/CD of/IN America/NNP 's/POS most/RBS expensive/JJ and/NNP ''/'' elitist/NN ''/'' schools/NNS want/VBP to/TO posture/NN as/IN good/JJ comrades/NNS ,/, populists/NNS ,/, and/CC the/DT vanguard/NN of/IN class/NN struggle/NN ,/, probably/RB no/DT lasting/JJ harm/NN is/VBZ done/VBN --/: to/TO them/PRP ./.","mark(want-17, If-1) dep(100,000-a-year-3, $-2) nsubj(want-17, 100,000-a-year-3) acl(100,000-a-year-3, professors-4) case(one-6, at-5) nmod:at(professors-4, one-6) case(elitist-14, of-7) nmod:poss(elitist-14, America-8) case(America-8, 's-9) advmod(expensive-11, most-10) amod(elitist-14, expensive-11) compound(elitist-14, and-12) nmod:of(one-6, elitist-14) dobj(professors-4, schools-16) advcl(done-38, want-17) case(posture-19, to-18) nmod:to(want-17, posture-19) case(comrades-22, as-20) amod(comrades-22, good-21) nmod:as(want-17, comrades-22) nmod:as(want-17, populists-24) conj:and(comrades-22, populists-24) cc(comrades-22, and-26) det(vanguard-28, the-27) nmod:as(want-17, vanguard-28) conj:and(comrades-22, vanguard-28) case(struggle-31, of-29) compound(struggle-31, class-30) nmod:of(vanguard-28, struggle-31) advmod(harm-36, probably-33) neg(harm-36, no-34) amod(harm-36, lasting-35) nsubjpass(done-38, harm-36) auxpass(done-38, is-37) root(ROOT-0, done-38) case(them-41, to-40) nmod:to(done-38, them-41)  "
"Where medieval theology had been dry and logical , the classics were elegant and charming .","Where/WRB medieval/JJ theology/NN had/VBD been/VBN dry/JJ and/CC logical/JJ ,/, the/DT classics/NNS were/VBD elegant/JJ and/CC charming/JJ ./.","advmod(dry-6, Where-1) amod(theology-3, medieval-2) nsubj(dry-6, theology-3) nsubj(logical-8, theology-3) aux(dry-6, had-4) cop(dry-6, been-5) advcl(elegant-13, dry-6) cc(dry-6, and-7) conj:and(dry-6, logical-8) advcl(elegant-13, logical-8) det(classics-11, the-10) nsubj(elegant-13, classics-11) nsubj(charming-15, classics-11) cop(elegant-13, were-12) root(ROOT-0, elegant-13) cc(elegant-13, and-14) conj:and(elegant-13, charming-15)  "
Mill famously thought he found a natural limit to free speech : the point at which it caused palpable harm .,Mill/NNP famously/NNP thought/VBD he/PRP found/VBD a/DT natural/JJ limit/NN to/TO free/JJ speech/NN :/: the/DT point/NN at/IN which/WDT it/PRP caused/VBD palpable/JJ harm/NN ./.,"compound(famously-2, Mill-1) nsubj(thought-3, famously-2) root(ROOT-0, thought-3) nsubj(found-5, he-4) ccomp(thought-3, found-5) det(limit-8, a-6) amod(limit-8, natural-7) dobj(found-5, limit-8) case(speech-11, to-9) amod(speech-11, free-10) nmod:to(found-5, speech-11) det(point-14, the-13) dobj(found-5, point-14) nmod:at(caused-18, point-14) case(which-16, at-15) ref(point-14, which-16) nsubj(caused-18, it-17) acl:relcl(point-14, caused-18) amod(harm-20, palpable-19) dobj(caused-18, harm-20)  "
