sent,tags,parse
"( n25 ) During the early mobilization period this group "" was an enormously important politico-economic group , thrashing out top policy , advising major governmental agencies "" and serving as a key "" federal recruitment channel . ""","-LRB-/-LRB- n25/NNP -RRB-/-RRB- During/IN the/DT early/JJ mobilization/NN period/NN this/DT group/NN ''/'' was/VBD an/DT enormously/RB important/JJ politico-economic/JJ group/NN ,/, thrashing/VBG out/RP top/JJ policy/NN ,/, advising/VBG major/JJ governmental/JJ agencies/NNS ''/'' and/CC serving/VBG as/IN a/DT key/JJ ''/'' federal/JJ recruitment/NN channel/NNS ./. ''/''","nsubj(group-17, n25-2) case(mobilization-7, During-4) det(mobilization-7, the-5) amod(mobilization-7, early-6) nmod:during(group-17, mobilization-7) nsubj(group-17, period-8) det(group-10, this-9) dep(period-8, group-10) cop(group-17, was-12) det(group-17, an-13) advmod(important-15, enormously-14) amod(group-17, important-15) amod(group-17, politico-economic-16) root(ROOT-0, group-17) dep(group-17, thrashing-19) compound:prt(thrashing-19, out-20) amod(policy-22, top-21) dobj(thrashing-19, policy-22) dep(group-17, advising-24) conj:and(thrashing-19, advising-24) amod(agencies-27, major-25) amod(agencies-27, governmental-26) dobj(advising-24, agencies-27) cc(thrashing-19, and-29) dep(group-17, serving-30) conj:and(thrashing-19, serving-30) case(channel-37, as-31) det(channel-37, a-32) amod(channel-37, key-33) amod(channel-37, federal-35) compound(channel-37, recruitment-36) nmod:as(serving-30, channel-37)  "
Around us we see the immensely destructive thrashing of patriarchal leaders who can not even name the pain and ignorance that drive their greed .,Around/IN us/PRP we/PRP see/VBP the/DT immensely/RB destructive/JJ thrashing/NN of/IN patriarchal/JJ leaders/NNS who/WP can/MD not/RB even/RB name/VB the/DT pain/NN and/CC ignorance/NN that/WDT drive/VBP their/PRP$ greed/NN ./.,"case(us-2, Around-1) nmod:around(see-4, us-2) nsubj(see-4, we-3) root(ROOT-0, see-4) det(thrashing-8, the-5) advmod(destructive-7, immensely-6) amod(thrashing-8, destructive-7) dobj(see-4, thrashing-8) case(leaders-11, of-9) amod(leaders-11, patriarchal-10) nmod:of(thrashing-8, leaders-11) nsubj(name-16, leaders-11) ref(leaders-11, who-12) aux(name-16, can-13) neg(name-16, not-14) advmod(name-16, even-15) acl:relcl(leaders-11, name-16) det(pain-18, the-17) dobj(name-16, pain-18) nsubj(drive-22, pain-18) cc(pain-18, and-19) dobj(name-16, ignorance-20) conj:and(pain-18, ignorance-20) nsubj(drive-22, ignorance-20) ref(pain-18, that-21) acl:relcl(pain-18, drive-22) nmod:poss(greed-24, their-23) dobj(drive-22, greed-24)  "
"School for him , as he recalled it , was a chaos of thrashings , shouting and hiding under desks and tables .","School/NNP for/IN him/PRP ,/, as/IN he/PRP recalled/VBD it/PRP ,/, was/VBD a/DT chaos/NN of/IN thrashings/NNS ,/, shouting/VBG and/CC hiding/VBG under/IN desks/NNS and/CC tables/NNS ./."," nsubj(chaos-12, School-1) case(him-3, for-2) nmod:for(School-1, him-3) mark(recalled-7, as-5) nsubj(recalled-7, he-6) dep(School-1, recalled-7) dobj(recalled-7, it-8) cop(chaos-12, was-10) det(chaos-12, a-11) root(ROOT-0, chaos-12) case(thrashings-14, of-13) nmod:of(chaos-12, thrashings-14) acl(chaos-12, shouting-16) cc(shouting-16, and-17) acl(chaos-12, hiding-18) conj:and(shouting-16, hiding-18) case(desks-20, under-19) nmod:under(shouting-16, desks-20) cc(desks-20, and-21) nmod:under(shouting-16, tables-22) conj:and(desks-20, tables-22)  "
More thrashing reptile reduced to an inert carcass and molecules suspended in solution .,More/RBR thrashing/JJ reptile/NN reduced/VBD to/TO an/DT inert/JJ carcass/NNS and/CC molecules/NNS suspended/VBN in/IN solution/NN ./.," advmod(thrashing-2, More-1) amod(reptile-3, thrashing-2) nsubj(reduced-4, reptile-3) root(ROOT-0, reduced-4) case(carcass-8, to-5) det(carcass-8, an-6) amod(carcass-8, inert-7) nmod:to(reduced-4, carcass-8) cc(carcass-8, and-9) nmod:to(reduced-4, molecules-10) conj:and(carcass-8, molecules-10) acl(carcass-8, suspended-11) case(solution-13, in-12) nmod:in(suspended-11, solution-13)  "
"I believe this reconfiguration happens in real storms , but the rapid changes in speed and direction of the wind and the constant thrashing of branches simply obscures the phenomenon .","I/PRP believe/VBP this/DT reconfiguration/NN happens/VBZ in/IN real/JJ storms/NNS ,/, but/CC the/DT rapid/JJ changes/NNS in/IN speed/NN and/CC direction/NN of/IN the/DT wind/NN and/CC the/DT constant/JJ thrashing/NN of/IN branches/NNS simply/RB obscures/VBZ the/DT phenomenon/NN ./."," nsubj(believe-2, I-1) root(ROOT-0, believe-2) det(reconfiguration-4, this-3) nsubj(happens-5, reconfiguration-4) ccomp(believe-2, happens-5) case(storms-8, in-6) amod(storms-8, real-7) nmod:in(happens-5, storms-8) cc(believe-2, but-10) det(changes-13, the-11) amod(changes-13, rapid-12) nsubj(obscures-28, changes-13) case(speed-15, in-14) nmod:in(changes-13, speed-15) cc(speed-15, and-16) nmod:in(changes-13, direction-17) conj:and(speed-15, direction-17) case(wind-20, of-18) det(wind-20, the-19) nmod:of(speed-15, wind-20) cc(speed-15, and-21) det(thrashing-24, the-22) amod(thrashing-24, constant-23) nmod:in(changes-13, thrashing-24) conj:and(speed-15, thrashing-24) case(branches-26, of-25) nmod:of(thrashing-24, branches-26) advmod(obscures-28, simply-27) conj:but(believe-2, obscures-28) det(phenomenon-30, the-29) dobj(obscures-28, phenomenon-30)  "
Curators discovered that some species of large sharks that lived in small rectangular tanks spent so much energy thrashing their way out of the corners of small rectangular aquaria that they consumed their livers .,Curators/NNS discovered/VBD that/IN some/DT species/NN of/IN large/JJ sharks/NNS that/WDT lived/VBD in/IN small/JJ rectangular/JJ tanks/NNS spent/VBD so/RB much/JJ energy/NN thrashing/VBG their/PRP$ way/NN out/RP of/IN the/DT corners/NNS of/IN small/JJ rectangular/JJ aquaria/NN that/IN they/PRP consumed/VBD their/PRP$ livers/NNS ./.," nsubj(discovered-2, Curators-1) root(ROOT-0, discovered-2) mark(spent-15, that-3) det(species-5, some-4) nsubj(spent-15, species-5) case(sharks-8, of-6) amod(sharks-8, large-7) nmod:of(species-5, sharks-8) nsubj(lived-10, sharks-8) ref(sharks-8, that-9) acl:relcl(sharks-8, lived-10) case(tanks-14, in-11) amod(tanks-14, small-12) amod(tanks-14, rectangular-13) nmod:in(lived-10, tanks-14) ccomp(discovered-2, spent-15) advmod(energy-18, so-16) amod(energy-18, much-17) dobj(spent-15, energy-18) xcomp(spent-15, thrashing-19) nmod:poss(way-21, their-20) dobj(thrashing-19, way-21) compound:prt(thrashing-19, out-22) case(corners-25, of-23) det(corners-25, the-24) nmod:of(thrashing-19, corners-25) case(aquaria-29, of-26) amod(aquaria-29, small-27) amod(aquaria-29, rectangular-28) nmod:of(corners-25, aquaria-29) mark(consumed-32, that-30) nsubj(consumed-32, they-31) ccomp(spent-15, consumed-32) nmod:poss(livers-34, their-33) dobj(consumed-32, livers-34)  "
"Thus one writer might choose to concentrate on the career of the thrashing politician who by fair means or foul reaches the top , suffers crucifixion , and contrives a temporary resurrection .","Thus/RB one/CD writer/NN might/MD choose/VB to/TO concentrate/VB on/IN the/DT career/NN of/IN the/DT thrashing/JJ politician/NN who/WP by/IN fair/JJ means/NNS or/CC foul/NNS reaches/VBZ the/DT top/JJ ,/, suffers/JJ crucifixion/NN ,/, and/CC contrives/VBZ a/DT temporary/JJ resurrection/NN ./."," advmod(choose-5, Thus-1) nummod(writer-3, one-2) nsubj(choose-5, writer-3) nsubj(concentrate-7, writer-3) aux(choose-5, might-4) root(ROOT-0, choose-5) mark(concentrate-7, to-6) xcomp(choose-5, concentrate-7) case(career-10, on-8) det(career-10, the-9) nmod:on(concentrate-7, career-10) case(politician-14, of-11) det(politician-14, the-12) amod(politician-14, thrashing-13) nmod:of(career-10, politician-14) nsubj(reaches-21, politician-14) nsubj(contrives-29, politician-14) ref(politician-14, who-15) case(means-18, by-16) amod(means-18, fair-17) nmod:by(reaches-21, means-18) cc(means-18, or-19) conj:or(means-18, foul-20) nmod:by(reaches-21, foul-20) acl:relcl(politician-14, reaches-21) det(crucifixion-26, the-22) amod(crucifixion-26, top-23) amod(crucifixion-26, suffers-25) dobj(reaches-21, crucifixion-26) cc(reaches-21, and-28) acl:relcl(politician-14, contrives-29) conj:and(reaches-21, contrives-29) det(resurrection-32, a-30) amod(resurrection-32, temporary-31) dobj(contrives-29, resurrection-32)  "
"57 And Kehoe proceeded to deliver the punishment , pouncing on McParlan and thrashing him until he was hauled off by the guards . ""","57/NNP And/CC Kehoe/NNP proceeded/VBD to/TO deliver/VB the/DT punishment/NN ,/, pouncing/VBG on/IN McParlan/NNP and/CC thrashing/VBG him/PRP until/IN he/PRP was/VBD hauled/VBN off/RP by/IN the/DT guards/NNS ./. ''/''"," nsubj(proceeded-4, 57-1) nsubj(deliver-6, 57-1) cc(57-1, And-2) conj:and(57-1, Kehoe-3) nsubj(proceeded-4, Kehoe-3) nsubj(deliver-6, Kehoe-3) root(ROOT-0, proceeded-4) mark(deliver-6, to-5) xcomp(proceeded-4, deliver-6) det(punishment-8, the-7) dobj(deliver-6, punishment-8) ccomp(proceeded-4, pouncing-10) case(McParlan-12, on-11) nmod:on(pouncing-10, McParlan-12) cc(pouncing-10, and-13) ccomp(proceeded-4, thrashing-14) conj:and(pouncing-10, thrashing-14) dobj(thrashing-14, him-15) mark(hauled-19, until-16) nsubjpass(hauled-19, he-17) auxpass(hauled-19, was-18) advcl(thrashing-14, hauled-19) compound:prt(hauled-19, off-20) case(guards-23, by-21) det(guards-23, the-22) nmod:by(hauled-19, guards-23)  "
"When the police and civil guard attempted to break up the crowds of women in the street , the women turned on them , stripping some officers of their pants , spanking or thrashing them and sending them home ( rather undermining their authority in the process ) .","When/WRB the/DT police/NN and/CC civil/JJ guard/NN attempted/VBD to/TO break/VB up/RP the/DT crowds/NNS of/IN women/NNS in/IN the/DT street/NN ,/, the/DT women/NNS turned/VBD on/IN them/PRP ,/, stripping/VBG some/DT officers/NNS of/IN their/PRP$ pants/NNS ,/, spanking/VBG or/CC thrashing/VBG them/PRP and/CC sending/VBG them/PRP home/NN -LRB-/-LRB- rather/RB undermining/VBG their/PRP$ authority/NN in/IN the/DT process/NN -RRB-/-RRB- ./."," advmod(attempted-7, When-1) det(police-3, the-2) nsubj(attempted-7, police-3) nsubj(break-9, police-3) cc(police-3, and-4) amod(guard-6, civil-5) conj:and(police-3, guard-6) nsubj(attempted-7, guard-6) nsubj(break-9, guard-6) advcl(turned-21, attempted-7) mark(break-9, to-8) xcomp(attempted-7, break-9) compound:prt(break-9, up-10) det(crowds-12, the-11) dobj(break-9, crowds-12) case(women-14, of-13) nmod:of(crowds-12, women-14) case(street-17, in-15) det(street-17, the-16) nmod:in(women-14, street-17) det(women-20, the-19) nsubj(turned-21, women-20) root(ROOT-0, turned-21) case(them-23, on-22) nmod:on(turned-21, them-23) ccomp(turned-21, stripping-25) det(officers-27, some-26) dobj(stripping-25, officers-27) case(pants-30, of-28) nmod:poss(pants-30, their-29) nmod:of(officers-27, pants-30) ccomp(turned-21, spanking-32) conj:and(stripping-25, spanking-32) cc(spanking-32, or-33) conj:and(stripping-25, thrashing-34) conj:or(spanking-32, thrashing-34) dobj(spanking-32, them-35) cc(stripping-25, and-36) ccomp(turned-21, sending-37) conj:and(stripping-25, sending-37) iobj(sending-37, them-38) dobj(sending-37, home-39) advmod(undermining-42, rather-41) dep(home-39, undermining-42) nmod:poss(authority-44, their-43) dobj(undermining-42, authority-44) case(process-47, in-45) det(process-47, the-46) nmod:in(undermining-42, process-47)  "
The bundles were later pitched onto a wagon and then pitched into a thrashing machine to separate the wheat from the straw and chaff .,The/DT bundles/NNS were/VBD later/RB pitched/VBN onto/IN a/DT wagon/NN and/CC then/RB pitched/VBN into/IN a/DT thrashing/JJ machine/NN to/TO separate/VB the/DT wheat/NN from/IN the/DT straw/NN and/CC chaff/NN ./.," det(bundles-2, The-1) nsubjpass(pitched-5, bundles-2) nsubjpass(pitched-11, bundles-2) nsubj(separate-17, bundles-2) auxpass(pitched-5, were-3) advmod(pitched-5, later-4) root(ROOT-0, pitched-5) case(wagon-8, onto-6) det(wagon-8, a-7) nmod:onto(pitched-5, wagon-8) cc(pitched-5, and-9) advmod(pitched-11, then-10) conj:and(pitched-5, pitched-11) case(machine-15, into-12) det(machine-15, a-13) amod(machine-15, thrashing-14) nmod:into(pitched-11, machine-15) mark(separate-17, to-16) xcomp(pitched-11, separate-17) det(wheat-19, the-18) dobj(separate-17, wheat-19) case(straw-22, from-20) det(straw-22, the-21) nmod:from(separate-17, straw-22) cc(straw-22, and-23) nmod:from(separate-17, chaff-24) conj:and(straw-22, chaff-24)  "
