,VP-ing,of-ing,DET-ing,DET-of-ing,Poss-ing,Poss-of-ing,Total
compound,0.8311499272197962,0.053857350800582245,0.08005822416302766,0.01601164483260553,0.0,0.0,0.21781864299302472
subject,0.7351851851851852,0.06111111111111111,0.13518518518518519,0.02962962962962963,0.001851851851851852,0.001851851851851852,0.17121116043119847
object,0.7444933920704846,0.09030837004405286,0.09030837004405286,0.048458149779735685,0.0,0.0,0.1439441978440076
adjectival modifier,0.8155136268343816,0.07337526205450734,0.07337526205450734,0.015723270440251572,0.0010482180293501049,0.0010482180293501049,0.3024730500951173
Adverbial Modifier,0.8888888888888888,0.037037037037037035,0.07407407407407407,0.0,0.0,0.0,0.008560558021559923
['as'],0.6363636363636364,0.0,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0034876347495244133
['toward'],0.7,0.3,0.0,0.0,0.0,0.0,0.0031705770450221942
['such_as'],0.75,0.25,0.0,0.0,0.0,0.0,0.0025364616360177552
['away_from'],1.0,0.0,0.0,0.0,0.0,0.0,0.0003170577045022194
['throughout'],0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0009511731135066582
['without'],0.8666666666666667,0.0,0.13333333333333333,0.0,0.0,0.0,0.004755865567533291
['following'],0.5,0.0,0.5,0.0,0.0,0.0,0.0006341154090044388
['upon'],1.0,0.0,0.0,0.0,0.0,0.0,0.0006341154090044388
['instead_of'],0.0,1.0,0.0,0.0,0.0,0.0,0.0003170577045022194
['such'],1.0,0.0,0.0,0.0,0.0,0.0,0.0003170577045022194
['in_spite_of'],0.5,0.0,0.0,0.0,0.5,0.5,0.0006341154090044388
['after'],0.8,0.05,0.15,0.0,0.0,0.0,0.0063411540900443885
['thanks_to'],1.0,0.0,0.0,0.0,0.0,0.0,0.0003170577045022194
['based_on'],0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0019023462270133164
['in'],0.7481481481481481,0.037037037037037035,0.05925925925925926,0.037037037037037035,0.0,0.0,0.04280279010779962
['against'],1.0,0.0,0.0,0.0,0.0,0.0,0.0012682308180088776
['from'],0.7272727272727273,0.030303030303030304,0.06060606060606061,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.01046290424857324
['npmod'],0.0,0.0,1.0,0.0,0.0,0.0,0.0003170577045022194
['above'],0.0,1.0,0.0,0.0,0.0,0.0,0.0003170577045022194
['at'],0.5,0.0,0.5,0.0,0.0,0.0,0.0019023462270133164
['regarding'],1.0,0.0,0.0,0.0,0.0,0.0,0.0003170577045022194
['via'],1.0,0.0,0.0,0.0,0.0,0.0,0.0003170577045022194
['on'],0.8539325842696629,0.033707865168539325,0.0449438202247191,0.02247191011235955,0.0,0.0,0.028218135700697526
['over'],0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,0.0019023462270133164
['between'],0.25,0.0,0.5,0.25,0.0,0.0,0.0012682308180088776
['into'],0.8,0.0,0.0,0.2,0.0,0.0,0.0015852885225110971
['except'],1.0,0.0,0.0,0.0,0.0,0.0,0.0003170577045022194
['despite'],0.5,0.0,0.5,0.0,0.0,0.0,0.0006341154090044388
['according_to'],0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0009511731135066582
['during'],0.7407407407407407,0.05555555555555555,0.14814814814814814,0.018518518518518517,0.0,0.0,0.017121116043119847
['including'],0.8666666666666667,0.13333333333333333,0.0,0.0,0.0,0.0,0.004755865567533291
['because_of'],0.0,0.0,1.0,0.0,0.0,0.0,0.0003170577045022194
['in_addition_to'],0.0,0.0,1.0,0.0,0.0,0.0,0.0003170577045022194
['pending'],1.0,0.0,0.0,0.0,0.0,0.0,0.0003170577045022194
['behind'],1.0,0.0,0.0,0.0,0.0,0.0,0.0003170577045022194
['about'],0.875,0.0,0.125,0.0,0.0,0.0,0.0050729232720355105
['with_respect_to'],1.0,0.0,0.0,0.0,0.0,0.0,0.0003170577045022194
['before'],0.9090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0034876347495244133
['than'],0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0019023462270133164
['but'],1.0,0.0,0.0,0.0,0.0,0.0,0.0003170577045022194
['through'],0.8484848484848485,0.09090909090909091,0.030303030303030304,0.0,0.0,0.0,0.01046290424857324
['towards'],1.0,0.0,0.0,0.0,0.0,0.0,0.0015852885225110971
['concerning'],1.0,0.0,0.0,0.0,0.0,0.0,0.0006341154090044388
['of'],0.8611111111111112,0.020833333333333332,0.08333333333333333,0.006944444444444444,0.0023148148148148147,0.0023148148148148147,0.13696892834495877
['for'],0.8630705394190872,0.04564315352697095,0.04564315352697095,0.04149377593360996,0.0,0.0,0.07641090678503487
['to'],0.851063829787234,0.031914893617021274,0.06382978723404255,0.031914893617021274,0.0,0.0,0.029803424223208624
['since'],1.0,0.0,0.0,0.0,0.0,0.0,0.0003170577045022194
['with'],0.6904761904761905,0.11904761904761904,0.14285714285714285,0.023809523809523808,0.0,0.0,0.013316423589093214
['by'],0.8823529411764706,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.0,0.0,0.01077996195307546
['though'] -adv,1.0,0.0,0.0,0.0,0.0,0.0,0.0003170577045022194
['while'] -adv,1.0,0.0,0.0,0.0,0.0,0.0,0.0003170577045022194
['that'] -adv,1.0,0.0,0.0,0.0,0.0,0.0,0.0003170577045022194
