sent,tags,parse
"In the end , after wasting Naipaul 's time and behaving in bizarre ways , the man invites Naipaul to take off his jacket , to relax , "" and let me show you how the blacks really live .","In/IN the/DT end/NN ,/, after/IN wasting/VBG Naipaul/NNP 's/POS time/NN and/CC behaving/VBG in/IN bizarre/JJ ways/NNS ,/, the/DT man/NN invites/VBZ Naipaul/NNP to/TO take/VB off/RP his/PRP$ jacket/NN ,/, to/TO relax/VB ,/, ''/'' and/CC let/VB me/PRP show/VB you/PRP how/WRB the/DT blacks/NNS really/RB live/VBP ./.","case(end-3, In-1) det(end-3, the-2) nmod:in(invites-18, end-3) mark(wasting-6, after-5) advcl(invites-18, wasting-6) nmod:poss(time-9, Naipaul-7) case(Naipaul-7, 's-8) dobj(wasting-6, time-9) cc(wasting-6, and-10) conj:and(wasting-6, behaving-11) advcl(invites-18, behaving-11) case(ways-14, in-12) amod(ways-14, bizarre-13) nmod:in(behaving-11, ways-14) det(man-17, the-16) nsubj(invites-18, man-17) root(ROOT-0, invites-18) dobj(invites-18, Naipaul-19) nsubj(take-21, Naipaul-19) mark(take-21, to-20) xcomp(invites-18, take-21) compound:prt(take-21, off-22) nmod:poss(jacket-24, his-23) dobj(take-21, jacket-24) mark(relax-27, to-26) advcl(take-21, relax-27) cc(relax-27, and-30) advcl(take-21, let-31) conj:and(relax-27, let-31) nsubj(show-33, me-32) ccomp(let-31, show-33) dobj(show-33, you-34) advmod(live-39, how-35) det(blacks-37, the-36) nsubj(live-39, blacks-37) advmod(live-39, really-38) ccomp(relax-27, live-39)  "
"Is desire itself then , grasping desire as in Buddhist doctrine , the cause of wasting death ?","Is/VBZ desire/NN itself/PRP then/RB ,/, grasping/VBG desire/NN as/IN in/IN Buddhist/JJ doctrine/NN ,/, the/DT cause/NN of/IN wasting/NN death/NN ?/.","cop(then-4, Is-1) nsubj(then-4, desire-2) dep(then-4, itself-3) root(ROOT-0, then-4) dep(then-4, grasping-6) dobj(grasping-6, desire-7) case(doctrine-11, as-8) case(doctrine-11, in-9) amod(doctrine-11, Buddhist-10) nmod:in(grasping-6, doctrine-11) det(cause-14, the-13) appos(doctrine-11, cause-14) case(death-17, of-15) compound(death-17, wasting-16) nmod:of(then-4, death-17)  "
"Thus , politicos bend Robert 's Rules to circumvent ( in their view ) needless and time-wasting legalities .","Thus/RB ,/, politicos/NNS bend/VB Robert/NNP 's/POS Rules/NNS to/TO circumvent/VB -LRB-/-LRB- in/IN their/PRP$ view/NN -RRB-/-RRB- needless/NNS and/CC time-wasting/JJ legalities/NNS ./.","advmod(bend-4, Thus-1) nsubj(bend-4, politicos-3) root(ROOT-0, bend-4) nmod:poss(Rules-7, Robert-5) case(Robert-5, 's-6) dobj(bend-4, Rules-7) mark(circumvent-9, to-8) acl(Rules-7, circumvent-9) case(view-13, in-11) nmod:poss(view-13, their-12) nmod:in(needless-15, view-13) dobj(circumvent-9, needless-15) cc(needless-15, and-16) amod(legalities-18, time-wasting-17) dobj(circumvent-9, legalities-18) conj:and(needless-15, legalities-18)  "
"His aggression , or rather aggressivity , expressed itself through wasting others . ""","His/PRP$ aggression/NN ,/, or/CC rather/RB aggressivity/RB ,/, expressed/VBD itself/PRP through/IN wasting/NN others/NNS ./. ''/''","nmod:poss(aggression-2, His-1) nsubj(expressed-8, aggression-2) cc(rather-5, or-4) dep(expressed-8, rather-5) dep(rather-5, aggressivity-6) root(ROOT-0, expressed-8) dobj(expressed-8, itself-9) case(others-12, through-10) compound(others-12, wasting-11) nmod:through(expressed-8, others-12)  "
So I decided this -- no -- I 'm wasting New York 's water and I ca n't do this .,So/IN I/PRP decided/VBD this/DT --/: no/RB --/: I/PRP 'm/VBP wasting/VBG New/NNP York/NNP 's/POS water/NN and/CC I/PRP ca/MD n't/RB do/VB this/DT ./.,"dep(decided-3, So-1) nsubj(decided-3, I-2) root(ROOT-0, decided-3) nsubj(wasting-10, this-4) dep(I-8, no-6) dep(this-4, I-8) aux(wasting-10, 'm-9) dep(decided-3, wasting-10) compound(York-12, New-11) nmod:poss(water-14, York-12) case(York-12, 's-13) dobj(wasting-10, water-14) cc(wasting-10, and-15) nsubj(do-19, I-16) aux(do-19, ca-17) neg(do-19, n't-18) dep(decided-3, do-19) conj:and(wasting-10, do-19) dobj(do-19, this-20)  "
Our nation 's public educators have been accused of wasting millions of dollars due to unneeded bureaucracy and poor management .,Our/PRP$ nation/NN 's/POS public/JJ educators/NNS have/VBP been/VBN accused/VBN of/IN wasting/VBG millions/NNS of/IN dollars/NNS due/JJ to/TO unneeded/JJ bureaucracy/NN and/CC poor/JJ management/NN ./.,"nmod:poss(nation-2, Our-1) nmod:poss(educators-5, nation-2) case(nation-2, 's-3) amod(educators-5, public-4) nsubjpass(accused-8, educators-5) aux(accused-8, have-6) auxpass(accused-8, been-7) root(ROOT-0, accused-8) mark(wasting-10, of-9) advcl(accused-8, wasting-10) dobj(wasting-10, millions-11) case(dollars-13, of-12) nmod:of(millions-11, dollars-13) amod(unneeded-16, due-14) dep(unneeded-16, to-15) amod(bureaucracy-17, unneeded-16) dep(dollars-13, bureaucracy-17) cc(dollars-13, and-18) amod(management-20, poor-19) nmod:of(millions-11, management-20) conj:and(dollars-13, management-20)  "
"Indeed , by attempting to preserve species living on the brink of extinction , we may be wasting time , effort and money on animals that will disappear over time , regardless of our efforts .","Indeed/RB ,/, by/IN attempting/VBG to/TO preserve/VB species/NNS living/VBG on/IN the/DT brink/NN of/IN extinction/NN ,/, we/PRP may/MD be/VB wasting/VBG time/NN ,/, effort/NN and/CC money/NN on/IN animals/NNS that/WDT will/MD disappear/VB over/IN time/NN ,/, regardless/RB of/IN our/PRP$ efforts/NNS ./.","advmod(wasting-18, Indeed-1) mark(attempting-4, by-3) advcl(wasting-18, attempting-4) mark(preserve-6, to-5) xcomp(attempting-4, preserve-6) dobj(preserve-6, species-7) acl(species-7, living-8) case(brink-11, on-9) det(brink-11, the-10) nmod:on(living-8, brink-11) case(extinction-13, of-12) nmod:of(brink-11, extinction-13) nsubj(wasting-18, we-15) aux(wasting-18, may-16) aux(wasting-18, be-17) root(ROOT-0, wasting-18) dobj(wasting-18, time-19) dobj(wasting-18, effort-21) conj:and(time-19, effort-21) cc(time-19, and-22) dobj(wasting-18, money-23) conj:and(time-19, money-23) case(animals-25, on-24) nmod:on(wasting-18, animals-25) nsubj(disappear-28, animals-25) ref(animals-25, that-26) aux(disappear-28, will-27) acl:relcl(animals-25, disappear-28) case(time-30, over-29) nmod:over(disappear-28, time-30) case(efforts-35, regardless-32) mwe(regardless-32, of-33) nmod:poss(efforts-35, our-34) nmod:regardless_of(disappear-28, efforts-35)  "
"Pierce , for wasting the observatory s time and resources on photometric surveys of the sky , when such time and resources could better be used to measure the positions of the stars .","Pierce/NNP ,/, for/IN wasting/VBG the/DT observatory/NN s/VBZ time/NN and/CC resources/NNS on/IN photometric/JJ surveys/NNS of/IN the/DT sky/NN ,/, when/WRB such/JJ time/NN and/CC resources/NNS could/MD better/RBR be/VB used/VBN to/TO measure/VB the/DT positions/NNS of/IN the/DT stars/NNS ./.","nsubj(time-8, Pierce-1) mark(wasting-4, for-3) acl(Pierce-1, wasting-4) det(observatory-6, the-5) dobj(wasting-4, observatory-6) cop(time-8, s-7) root(ROOT-0, time-8) cc(time-8, and-9) conj:and(time-8, resources-10) case(surveys-13, on-11) amod(surveys-13, photometric-12) nmod:on(time-8, surveys-13) case(sky-16, of-14) det(sky-16, the-15) nmod:of(surveys-13, sky-16) advmod(used-26, when-18) amod(time-20, such-19) nsubjpass(used-26, time-20) nsubj(measure-28, time-20) cc(time-20, and-21) conj:and(time-20, resources-22) nsubjpass(used-26, resources-22) nsubj(measure-28, resources-22) aux(used-26, could-23) advmod(used-26, better-24) auxpass(used-26, be-25) acl:relcl(sky-16, used-26) mark(measure-28, to-27) xcomp(used-26, measure-28) det(positions-30, the-29) dobj(measure-28, positions-30) case(stars-33, of-31) det(stars-33, the-32) nmod:of(positions-30, stars-33)  "
Otherwise we are simply wasting our efforts to obtain a sharper image .,Otherwise/RB we/PRP are/VBP simply/RB wasting/VBG our/PRP$ efforts/NNS to/TO obtain/VB a/DT sharper/JJR image/NN ./.,"advmod(wasting-5, Otherwise-1) nsubj(wasting-5, we-2) aux(wasting-5, are-3) advmod(wasting-5, simply-4) root(ROOT-0, wasting-5) nmod:poss(efforts-7, our-6) dobj(wasting-5, efforts-7) mark(obtain-9, to-8) advcl(wasting-5, obtain-9) det(image-12, a-10) amod(image-12, sharper-11) dobj(obtain-9, image-12)  "
"Instead of wasting ink over who must compensate whom , policymakers should begin to think about truly preventive sanctions that can be imposed before the damage occurs -- like the fines paid for breaking a speed limit or driving through a red light even when nobody is hurt .","Instead/RB of/IN wasting/VBG ink/NN over/IN who/WP must/MD compensate/VB whom/WP ,/, policymakers/NNS should/MD begin/VB to/TO think/VB about/IN truly/RB preventive/JJ sanctions/NNS that/WDT can/MD be/VB imposed/VBN before/IN the/DT damage/NN occurs/VBZ --/: like/IN the/DT fines/NNS paid/VBN for/IN breaking/VBG a/DT speed/NN limit/NN or/CC driving/VBG through/IN a/DT red/JJ light/NN even/RB when/WRB nobody/NN is/VBZ hurt/VBN ./.","mark(wasting-3, Instead-1) mwe(Instead-1, of-2) advcl(begin-13, wasting-3) dobj(wasting-3, ink-4) mark(compensate-8, over-5) nsubj(compensate-8, who-6) aux(compensate-8, must-7) acl(ink-4, compensate-8) dobj(compensate-8, whom-9) nsubj(begin-13, policymakers-11) nsubj(think-15, policymakers-11) aux(begin-13, should-12) root(ROOT-0, begin-13) mark(think-15, to-14) xcomp(begin-13, think-15) case(sanctions-19, about-16) advmod(preventive-18, truly-17) amod(sanctions-19, preventive-18) nmod:about(think-15, sanctions-19) nsubjpass(imposed-23, sanctions-19) ref(sanctions-19, that-20) aux(imposed-23, can-21) auxpass(imposed-23, be-22) acl:relcl(sanctions-19, imposed-23) mark(occurs-27, before-24) det(damage-26, the-25) nsubj(occurs-27, damage-26) advcl(imposed-23, occurs-27) case(fines-31, like-29) det(fines-31, the-30) dep(occurs-27, fines-31) acl(fines-31, paid-32) mark(breaking-34, for-33) advcl(paid-32, breaking-34) det(limit-37, a-35) compound(limit-37, speed-36) dobj(breaking-34, limit-37) cc(breaking-34, or-38) advcl(paid-32, driving-39) conj:or(breaking-34, driving-39) case(light-43, through-40) det(light-43, a-41) amod(light-43, red-42) nmod:through(driving-39, light-43) advmod(hurt-48, even-44) advmod(hurt-48, when-45) nsubjpass(hurt-48, nobody-46) auxpass(hurt-48, is-47) advcl(occurs-27, hurt-48)  "
