sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
It is the story of a baby getting acquainted with a kitten .,kitten,"case(kitten-12, with-10) det(kitten-12, a-11) nmod:with(acquainted-9, kitten-12) ",NN,,,,,,,,with acquainted,with,acquainted,,a,indefinite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,a,unit,singular,linked,,A+N,countable,unknown
"Sam was just a baby snake , much too small to swallow even the littlest kitten .",kitten,"advmod(kitten-16, even-13) det(kitten-16, the-14) amod(kitten-16, littlest-15) dobj(swallow-12, kitten-16) ",NN,,VB,,,swallow,swallow,,,,,,the,definite article,,,,littlest,[0.08916666666666667],[0.05],[0.018125],[0.11583333333333332],[0.04583333333333334],[0.05083333333333334],[0.06166666666666666],[0.0225],[0.07354166666666667],[0.10375],[0.15],[0.12125],[0.0975],,,,even,,,,,,,,singular,linked,ambiguous,,unknown,unknown
It is also true that experiments on kittens and dogs are more likely to bring out the protesters than research on snakes .,kittens,"case(kittens-8, on-7) cc(kittens-8, and-9) conj:and(kittens-8, dogs-10) nmod:on(experiments-6, kittens-8) ",NNS,,,,,,,,on experiments,on,experiments,,,,and,dogs,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
"Jaguaren ; ' in fact , became a Diktonius trademark for the rest of his life even after he redecorated his bestiary to make room for gentler creatures such as cats and kittens and -- at end of his life -- eroded sphinxes .",kittens,"nmod:such_as(creatures-28, kittens-33) conj:and(cats-31, kittens-33) ",NNS,,,,,,,,such_as creatures,such_as,creatures,,,,and,cats,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
Up to now the series has been like a new ball of string for a kitten -- wildly entertaining to bat around and see what happens .,kitten,"case(kitten-16, for-14) det(kitten-16, a-15) dep(kitten-16, entertaining-19) ref(kitten-16, what-25) acl:relcl(kitten-16, happens-26) nmod:for(ball-11, kitten-16) nsubj(happens-26, kitten-16) ",NN,,VBZ,happens,happen,,,,for ball,for,ball,,a,indefinite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,a,unit,singular,linked,singular,A+N,countable,unknown
"There she gave birth to a kitten , which Coll threw into the Menai Straits .",kitten,"case(kitten-7, to-5) det(kitten-7, a-6) ref(kitten-7, which-9) acl:relcl(kitten-7, threw-11) nmod:to(gave-3, kitten-7) dobj(threw-11, kitten-7) ",NN,,VBD,,,threw,throw,,to gave,to,gave,,a,indefinite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,a,unit,singular,linked,ambiguous,A+N,countable,unknown
"The kitten was eventually rescued by the people of Yns Mon , Wales 's largest offshore island , and grew into the fierce Cath Palug , symbolic of the Goddess 's destructive powers .",kitten,"det(kitten-2, The-1) nsubjpass(rescued-5, kitten-2) nsubjpass(grew-20, kitten-2) ",NN,,VBN,rescued,rescue,,,,,,,,the,other,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
<p> The Jedibe camp managers were supposed to get two orphaned African Wild Cat kittens to raise .,kittens,"nummod(kittens-15, two-10) compound(kittens-15, orphaned-11) compound(kittens-15, African-12) compound(kittens-15, Wild-13) compound(kittens-15, Cat-14) dobj(get-9, kittens-15) ",NNS,,VB,,,get,get,,,,,,,,,,"orphaned, african, wild, cat",,[],[],[],[],[],[],[],[],[],[],[],[],[],,,two,,,,,,,two,other,plural,linked,ambiguous,O-DEN,countable,unknown
The kittens ran into the den when we arrived but soon came back out and began nursing .,kittens,"det(kittens-2, The-1) nsubj(ran-3, kittens-2) ",NNS,,VBD,ran,run,,,,,,,,the,other,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,linked,ambiguous,,unknown,unknown
"After the kittens nursed , they began to play .",kittens,"det(kittens-3, the-2) nsubj(nursed-4, kittens-3) ",NNS,,VBD,nursed,nurse,,,,,,,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,linked,ambiguous,,unknown,unknown
"For dogs and cats , puppies and kittens , you will need to provide the vet all available information on inoculations and worming treatments .",kittens,"conj:and(dogs-2, kittens-8) conj:and(cats-4, kittens-8) ",NNS,,,,,,,,,,,,,,"and, and","dogs, cats",,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
"Both live on blood meals and both can heavily infest the host ; they can remove enough blood from an animal ( particularly a small puppy or kitten ) to cause a serious , even fatal , anemia .",kitten,"dep(animal-21, kitten-28) conj:or(puppy-26, kitten-28) ",NN,,,,,,,,,,,,,,or,puppy,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"Never use any flea products on or around puppies or kittens less than three months of age , pregnant or nursing mothers , or debilitated or old animals without your vet 's approval .",kittens,"nmod:on(use-2, kittens-11) conj:or(puppies-9, kittens-11) ",NNS,,,,,,,,on use,on,use,,,,or,puppies,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
