sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Compounds,Adjectival Modifiers,Possesed (owned by noun),Possesive (owner of noun),Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositional Modifiers,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability
"Needles , scissors , and thimbles were highly prized trade goods .","Needles/NNS ,/, scissors/NNS ,/, and/CC thimbles/NNS were/VBD highly/RB prized/JJ trade/NN goods/NNS ./.","nsubj(goods-11, Needles-1) conj:and(Needles-1, scissors-3) nsubj(goods-11, scissors-3) cc(Needles-1, and-5) conj:and(Needles-1, thimbles-6) nsubj(goods-11, thimbles-6) cop(goods-11, were-7) advmod(prized-9, highly-8) amod(goods-11, prized-9) compound(goods-11, trade-10) root(ROOT-0, goods-11)  ",scissors,3,"conj:and(Needles-1, scissors-3) nsubj(goods-11, scissors-3) ","Needles , scissors , and thimbles were highly",NNS,[],were,VBD,subject,[],[],[],[],[],[],"[('and', 'Needles')]",[],[],[],[],[],[],[],[],,,ambiguous,ambiguous,,unknown
"Creek women took up European needles and scissors with skill and imagination , transforming Creek fashion into an exotic mix of native and European materials and styles.","Creek/NNP women/NNS took/VBD up/RP European/JJ needles/NNS and/CC scissors/NNS with/IN skill/NN and/CC imagination/NN ,/, transforming/VBG Creek/NNP fashion/NN into/IN an/DT exotic/JJ mix/NN of/IN native/NN and/CC European/JJ materials/NNS and/CC styles/NNS ./.","compound(women-2, Creek-1) nsubj(took-3, women-2) root(ROOT-0, took-3) compound:prt(took-3, up-4) amod(needles-6, European-5) dobj(took-3, needles-6) cc(needles-6, and-7) dobj(took-3, scissors-8) conj:and(needles-6, scissors-8) case(skill-10, with-9) nmod:with(took-3, skill-10) cc(skill-10, and-11) nmod:with(took-3, imagination-12) conj:and(skill-10, imagination-12) advcl(took-3, transforming-14) compound(fashion-16, Creek-15) dobj(transforming-14, fashion-16) case(mix-20, into-17) det(mix-20, an-18) amod(mix-20, exotic-19) nmod:into(transforming-14, mix-20) case(materials-25, of-21) compound(materials-25, native-22) cc(native-22, and-23) conj:and(native-22, European-24) compound(materials-25, European-24) nmod:of(mix-20, materials-25) cc(materials-25, and-26) nmod:of(mix-20, styles-27) conj:and(materials-25, styles-27)  ",scissors,8,"dobj(took-3, scissors-8) conj:and(needles-6, scissors-8) ","took up European needles and scissors with skill and imagination ,",NNS,[],took,VBD,object,[],[],[],[],[],[],"[('and', 'needles')]",[],[],[],[],[],[],[],[],,,ambiguous,ambiguous,,unknown
"10 Migrants from the southern sierra state of Puno , for example , began performing their local indigenous-styled panpipe music in Lima after 1970 just as the "" scissors dance "" with harp and violin blossomed among Ayacuchano from the department of Ayacucho migrants.","10/CD Migrants/NNS from/IN the/DT southern/JJ sierra/NN state/NN of/IN Puno/NNP ,/, for/IN example/NN ,/, began/VBD performing/VBG their/PRP$ local/JJ indigenous-styled/JJ panpipe/NN music/NN in/IN Lima/NNP after/IN 1970/CD just/RB as/RB the/DT ''/'' scissors/NNS dance/VB ''/'' with/IN harp/NN and/CC violin/NN blossomed/VBN among/IN Ayacuchano/NNP from/IN the/DT department/NN of/IN Ayacucho/NNP migrants/NNS ./.","nummod(Migrants-2, 10-1) nsubj(began-14, Migrants-2) case(state-7, from-3) det(state-7, the-4) amod(state-7, southern-5) compound(state-7, sierra-6) nmod:from(Migrants-2, state-7) case(Puno-9, of-8) nmod:of(state-7, Puno-9) case(example-12, for-11) nmod:for(Migrants-2, example-12) root(ROOT-0, began-14) xcomp(began-14, performing-15) nmod:poss(music-20, their-16) amod(music-20, local-17) amod(music-20, indigenous-styled-18) compound(music-20, panpipe-19) dobj(performing-15, music-20) case(Lima-22, in-21) nmod:in(performing-15, Lima-22) case(scissors-29, after-23) nummod(scissors-29, 1970-24) advmod(as-26, just-25) advmod(the-27, as-26) amod(scissors-29, the-27) nmod:after(began-14, scissors-29) dep(began-14, dance-30) case(harp-33, with-32) nmod:with(dance-30, harp-33) cc(harp-33, and-34) nmod:with(dance-30, violin-35) conj:and(harp-33, violin-35) acl(harp-33, blossomed-36) case(Ayacuchano-38, among-37) nmod:among(blossomed-36, Ayacuchano-38) case(department-41, from-39) det(department-41, the-40) nmod:from(dance-30, department-41) case(migrants-44, of-42) compound(migrants-44, Ayacucho-43) nmod:of(department-41, migrants-44)  ",scissors,29,"case(scissors-29, after-23) nummod(scissors-29, 1970-24) amod(scissors-29, the-27) nmod:after(began-14, scissors-29) ","1970 just as the "" scissors dance "" with harp and",NNS,[],,,,,"[('after', 'began')]",['after'],['began'],[],[],[],[],['the'],[],[],['1970'],['after'],[],[],1970,other,ambiguous,,O-DEN,countable
"Crimson , blue , green , and bright orange sashes were attached to them , and some had two blades , like scissors .","Crimson/JJ ,/, blue/JJ ,/, green/JJ ,/, and/CC bright/JJ orange/JJ sashes/NNS were/VBD attached/VBN to/TO them/PRP ,/, and/CC some/DT had/VBD two/CD blades/NNS ,/, like/IN scissors/NNS ./.","dep(orange-9, Crimson-1) conj:and(orange-9, blue-3) amod(sashes-10, blue-3) conj:and(orange-9, green-5) amod(sashes-10, green-5) cc(orange-9, and-7) conj:and(orange-9, bright-8) amod(sashes-10, bright-8) amod(sashes-10, orange-9) nsubjpass(attached-12, sashes-10) auxpass(attached-12, were-11) root(ROOT-0, attached-12) case(them-14, to-13) nmod:to(attached-12, them-14) cc(attached-12, and-16) nsubj(had-18, some-17) conj:and(attached-12, had-18) nummod(blades-20, two-19) dobj(had-18, blades-20) case(scissors-23, like-22) nmod:like(had-18, scissors-23)  ",scissors,23,"case(scissors-23, like-22) nmod:like(had-18, scissors-23) ","had two blades , like scissors .",NNS,[],,,,,"[('like', 'had')]",['like'],['had'],[],[],[],[],[],[],[],[],['like'],[],[],,,ambiguous,,,unknown
"Early privateers like Dampier provided the Cuna with beads , knives , scissors , and mirrors ( Dampier 1906:54 ) .","Early/RB privateers/NNS like/IN Dampier/NNP provided/VBD the/DT Cuna/NNP with/IN beads/NNS ,/, knives/NNS ,/, scissors/NNS ,/, and/CC mirrors/NNS -LRB-/-LRB- Dampier/NNP 1906:54/CD -RRB-/-RRB- ./.","advmod(privateers-2, Early-1) nsubj(provided-5, privateers-2) case(Dampier-4, like-3) nmod:like(privateers-2, Dampier-4) root(ROOT-0, provided-5) det(Cuna-7, the-6) dobj(provided-5, Cuna-7) case(beads-9, with-8) nmod:with(provided-5, beads-9) nmod:with(provided-5, knives-11) conj:and(beads-9, knives-11) nmod:with(provided-5, scissors-13) conj:and(beads-9, scissors-13) cc(beads-9, and-15) nmod:with(provided-5, mirrors-16) conj:and(beads-9, mirrors-16) dep(provided-5, Dampier-18) nummod(Dampier-18, 1906:54-19)  ",scissors,13,"nmod:with(provided-5, scissors-13) conj:and(beads-9, scissors-13) ","with beads , knives , scissors , and mirrors ( Dampier",NNS,[],,,,,"[('with', 'provided')]",['with'],['provided'],[],[],"[('and', 'beads')]",[],[],[],[],[],[],[],[],,,ambiguous,,,unknown
"Minnie Aldridge , for instance , decided to end an ongoing dispute with another inmate by attacking the woman with a pair of scissors while they were both employed in the sewing room.","Minnie/NNP Aldridge/NNP ,/, for/IN instance/NN ,/, decided/VBD to/TO end/VB an/DT ongoing/JJ dispute/NN with/IN another/DT inmate/NN by/IN attacking/VBG the/DT woman/NN with/IN a/DT pair/NN of/IN scissors/NNS while/IN they/PRP were/VBD both/DT employed/VBN in/IN the/DT sewing/VBG room/NN ./."," compound(Aldridge-2, Minnie-1) nsubj(decided-7, Aldridge-2) nsubj(end-9, Aldridge-2) case(instance-5, for-4) nmod:for(Aldridge-2, instance-5) root(ROOT-0, decided-7) mark(end-9, to-8) xcomp(decided-7, end-9) det(dispute-12, an-10) amod(dispute-12, ongoing-11) dobj(end-9, dispute-12) case(inmate-15, with-13) det(inmate-15, another-14) nmod:with(end-9, inmate-15) mark(attacking-17, by-16) advcl(end-9, attacking-17) det(woman-19, the-18) dobj(attacking-17, woman-19) case(pair-22, with-20) det(pair-22, a-21) nmod:with(attacking-17, pair-22) case(scissors-24, of-23) nmod:of(pair-22, scissors-24) mark(employed-29, while-25) nsubjpass(employed-29, they-26) auxpass(employed-29, were-27) dep(employed-29, both-28) advcl(decided-7, employed-29) case(room-33, in-30) det(room-33, the-31) amod(room-33, sewing-32) nmod:in(employed-29, room-33)  ",scissors,24,"case(scissors-24, of-23) nmod:of(pair-22, scissors-24) ",woman with a pair of scissors while they were both employed,NNS,[],,,,,"[('of', 'pair')]",['of'],['pair'],[],[],[],[],[],[],[],[],['of'],[],[],,,ambiguous,,,unknown
"Margaret Webster , another frequent offender who was serving a three month term for willful damage and being on premises illegally , concealed a pair of scissors and a small screwdriver in her boots when cleaning the sewing room at the Lyttelton prison .","Margaret/NNP Webster/NNP ,/, another/DT frequent/JJ offender/NN who/WP was/VBD serving/VBG a/DT three/CD month/NN term/NN for/IN willful/JJ damage/NN and/CC being/VBG on/IN premises/NNS illegally/RB ,/, concealed/VBN a/DT pair/NN of/IN scissors/NNS and/CC a/DT small/JJ screwdriver/NN in/IN her/PRP$ boots/NNS when/WRB cleaning/VBG the/DT sewing/VBG room/NN at/IN the/DT Lyttelton/NNP prison/NN ./."," compound(Webster-2, Margaret-1) nsubj(concealed-23, Webster-2) det(offender-6, another-4) amod(offender-6, frequent-5) appos(Webster-2, offender-6) nsubj(serving-9, offender-6) ref(offender-6, who-7) aux(serving-9, was-8) acl:relcl(offender-6, serving-9) det(term-13, a-10) nummod(term-13, three-11) compound(term-13, month-12) dobj(serving-9, term-13) case(damage-16, for-14) amod(damage-16, willful-15) nmod:for(term-13, damage-16) cc(serving-9, and-17) aux(premises-20, being-18) case(premises-20, on-19) acl:relcl(offender-6, premises-20) conj:and(serving-9, premises-20) advmod(premises-20, illegally-21) root(ROOT-0, concealed-23) det(pair-25, a-24) dobj(concealed-23, pair-25) case(scissors-27, of-26) nmod:of(pair-25, scissors-27) cc(scissors-27, and-28) det(screwdriver-31, a-29) amod(screwdriver-31, small-30) nmod:of(pair-25, screwdriver-31) conj:and(scissors-27, screwdriver-31) case(boots-34, in-32) nmod:poss(boots-34, her-33) nmod:in(concealed-23, boots-34) advmod(cleaning-36, when-35) advcl(concealed-23, cleaning-36) det(room-39, the-37) amod(room-39, sewing-38) dobj(cleaning-36, room-39) case(prison-43, at-40) det(prison-43, the-41) compound(prison-43, Lyttelton-42) nmod:at(cleaning-36, prison-43)  ",scissors,27,"case(scissors-27, of-26) cc(scissors-27, and-28) conj:and(scissors-27, screwdriver-31) nmod:of(pair-25, scissors-27) ",", concealed a pair of scissors and a small screwdriver in",NNS,[],,,,,"[('of', 'pair')]",['of'],['pair'],[],[],"[('and', 'screwdriver')]",[],[],[],[],[],['of'],[],[],,,ambiguous,,,unknown
"There are indeed newspapers , many of them even , but the scissors of the censorship cut them in so emasculating a manner that they no longer have any potency .","There/EX are/VBP indeed/RB newspapers/NNS ,/, many/JJ of/IN them/PRP even/RB ,/, but/CC the/DT scissors/NNS of/IN the/DT censorship/NN cut/VBD them/PRP in/IN so/RB emasculating/VBG a/DT manner/NN that/IN they/PRP no/RB longer/RB have/VBP any/DT potency/NN ./."," expl(are-2, There-1) root(ROOT-0, are-2) advmod(are-2, indeed-3) nsubj(are-2, newspapers-4) acl:relcl(newspapers-4, many-6) case(them-8, of-7) nmod:of(many-6, them-8) advmod(many-6, even-9) cc(are-2, but-11) det(scissors-13, the-12) nsubj(cut-17, scissors-13) case(censorship-16, of-14) det(censorship-16, the-15) nmod:of(scissors-13, censorship-16) conj:but(are-2, cut-17) dobj(cut-17, them-18) mark(emasculating-21, in-19) advmod(emasculating-21, so-20) advcl(cut-17, emasculating-21) det(manner-23, a-22) dobj(emasculating-21, manner-23) mark(have-28, that-24) nsubj(have-28, they-25) neg(longer-27, no-26) advmod(have-28, longer-27) ccomp(emasculating-21, have-28) det(potency-30, any-29) dobj(have-28, potency-30)  ",scissors,13,"det(scissors-13, the-12) nmod:of(scissors-13, censorship-16) nsubj(cut-17, scissors-13) ","them even , but the scissors of the censorship cut them",NNS,[],cut,VBD,subject,[],"[('of', 'censorship')]",['of'],[],['censorship'],['the'],[],[],[],[],[],[],[],[],[],,,ambiguous,ambiguous,,unknown
"Three Orientations to the Arts Curriculum The Little-Intervention Orientation <p> Lily Jones , a second-grade teacher , pours glitter , yarn , cotton balls , and other materials into little plastic bowls and arranges them neatly on a back table between scissors and pine cones .","Three/CD Orientations/NNS to/TO the/DT Arts/NNP Curriculum/NNP The/DT Little-Intervention/NNP Orientation/NNP <p>/NNP Lily/NNP Jones/NNP ,/, a/DT second-grade/JJ teacher/NN ,/, pours/VBZ glitter/NN ,/, yarn/NN ,/, cotton/NN balls/NNS ,/, and/CC other/JJ materials/NNS into/IN little/JJ plastic/NN bowls/VBZ and/CC arranges/VBZ them/PRP neatly/RB on/IN a/DT back/JJ table/NN between/IN scissors/NNS and/CC pine/NN cones/NNS ./."," nummod(Orientations-2, Three-1) nsubj(bowls-32, Orientations-2) nsubj(arranges-34, Orientations-2) case(Curriculum-6, to-3) det(Curriculum-6, the-4) compound(Curriculum-6, Arts-5) nmod:to(Orientations-2, Curriculum-6) det(Jones-12, The-7) compound(Jones-12, Little-Intervention-8) compound(Jones-12, Orientation-9) compound(Jones-12, <p>-10) compound(Jones-12, Lily-11) nsubj(pours-18, Jones-12) det(teacher-16, a-14) amod(teacher-16, second-grade-15) appos(Jones-12, teacher-16) acl:relcl(Curriculum-6, pours-18) dobj(pours-18, glitter-19) dobj(pours-18, yarn-21) conj:and(glitter-19, yarn-21) compound(balls-24, cotton-23) dobj(pours-18, balls-24) conj:and(glitter-19, balls-24) cc(glitter-19, and-26) amod(materials-28, other-27) dobj(pours-18, materials-28) conj:and(glitter-19, materials-28) case(plastic-31, into-29) amod(plastic-31, little-30) nmod:into(pours-18, plastic-31) root(ROOT-0, bowls-32) cc(bowls-32, and-33) conj:and(bowls-32, arranges-34) dobj(bowls-32, them-35) advmod(bowls-32, neatly-36) case(table-40, on-37) det(table-40, a-38) amod(table-40, back-39) nmod:on(bowls-32, table-40) case(scissors-42, between-41) nmod:between(table-40, scissors-42) cc(scissors-42, and-43) compound(cones-45, pine-44) nmod:between(table-40, cones-45) conj:and(scissors-42, cones-45)  ",scissors,42,"case(scissors-42, between-41) cc(scissors-42, and-43) conj:and(scissors-42, cones-45) nmod:between(table-40, scissors-42) ",on a back table between scissors and pine cones .,NNS,[],,,,,"[('between', 'table')]",['between'],['table'],[],[],"[('and', 'cones')]",[],[],[],[],[],['between'],[],[],,,ambiguous,,,unknown
"In addition , there is an embroidery hoop visible inside it , and other sewing accessories , including thread and scissors , are on the table .","In/IN addition/NN ,/, there/EX is/VBZ an/DT embroidery/NN hoop/NN visible/JJ inside/IN it/PRP ,/, and/CC other/JJ sewing/VBG accessories/NNS ,/, including/VBG thread/NN and/CC scissors/NNS ,/, are/VBP on/IN the/DT table/NN ./."," case(addition-2, In-1) nmod:in(is-5, addition-2) expl(is-5, there-4) root(ROOT-0, is-5) det(hoop-8, an-6) compound(hoop-8, embroidery-7) nsubj(is-5, hoop-8) amod(hoop-8, visible-9) case(it-11, inside-10) nmod:inside(visible-9, it-11) cc(is-5, and-13) amod(accessories-16, other-14) amod(accessories-16, sewing-15) nsubj(table-26, accessories-16) case(thread-19, including-18) nmod:including(accessories-16, thread-19) cc(thread-19, and-20) nmod:including(accessories-16, scissors-21) conj:and(thread-19, scissors-21) cop(table-26, are-23) case(table-26, on-24) det(table-26, the-25) conj:and(is-5, table-26)  ",scissors,21,"nmod:including(accessories-16, scissors-21) conj:and(thread-19, scissors-21) ","accessories , including thread and scissors , are on the table",NNS,[],,,,,"[('including', 'accessories')]",['including'],['accessories'],[],[],"[('and', 'thread')]",[],[],[],[],[],[],[],[],,,ambiguous,,,unknown
