sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
The ASM supervisory staff was instructed to inform all project personnel ( Tohono O'Odham and Anglo ) that attendance was mandatory and that jewelry should not be worn because lightning could strike it .,lightning,"nsubj(strike-32, lightning-30) ",NN,,VB,strike,strike,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"36 The identification of this sculpture with the ram-headed god of thunder and lightning , Hevioso , is of interest , for Hevioso is associated with the lightning-like gunfire and cannon bursts of battle .",lightning,"nmod:of(god-10, lightning-14) conj:and(thunder-12, lightning-14) ",NN,,,,,,,,of god,of,god,,,,and,thunder,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
Ground fires resulting from lightning strikes have been a constant feature of the region 's longleaf pine forests through the millennia .,lightning,"compound(strikes-6, lightning-5) ",NN,,,,,,,,,,,,,,,,strikes,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Usually , the power variations for a point-to-point link are within the preset percentage range except for a few unusual events such as a strike of lightning on the link .",lightning,"case(lightning-27, of-26) nmod:on(lightning-27, link-30) nmod:of(strike-25, lightning-27) ",NN,,,,,,,,"on link, of strike","on, of",strike,link,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"These curiously shaped and multicolored fragments of glass were once thought to be volcanic , while other theories suggested that they were formed through the fusion of atmospheric dust by lightning -- another example of the reluctance of scientists to recognize the role of extraterrestrial impacts in shaping the Earth 's history .",lightning,"case(lightning-31, by-30) nmod:by(formed-23, lightning-31) ",NN,,,,,,,,by formed,by,formed,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"But what is the difference between ghosts and very unusual , but documented , phenomena like "" ball lightning "" ?",lightning,"case(lightning-19, like-16) compound(lightning-19, ball-18) nmod:like(phenomena-15, lightning-19) ",NN,,,,,,,,like phenomena,like,phenomena,,,,,,ball,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
Reports of these blobs of luminous plasma were dismissed as ghost stories until evidence eventually accumulated to prove that ball lightning truly exists : A few crude measurements have been made and serious theories have been formulated .,lightning,"compound(lightning-21, ball-20) nsubj(exists-23, lightning-21) ",NN,,VBZ,exists,exist,,,,,,,,,,,,ball,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,singular,,unknown,unknown
Bull lightning has thus entered the sphere of science .,lightning,"compound(lightning-2, Bull-1) nsubj(entered-5, lightning-2) ",NNP,,VBN,entered,enter,,,,,,,,,,,,bull,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
If only a wild bolt of lightning would strike him in the head .,lightning,"case(lightning-7, of-6) nmod:of(bolt-5, lightning-7) ",NN,,,,,,,,of bolt,of,bolt,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"The 1967 Six-Day War <p> On 5 June 1967 , Israel , in a lightning move , first destroyed the bulk of the Egyptian air force , then pushed through the Sinai Peninsula to break the Egyptian blockade of the Gulf of Aqaba , and once again put its soldiers on the bank of the Suez Canal .",lightning,"compound(move-16, lightning-15) ",NN,,,,,,,,,,,,,,,,move,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"( Imagine , for example , how the story of the Scopes trial would have changed for both sides had Bryan survived and Darrow been struck by lightning on his way home from the trial . )",lightning,"case(lightning-28, by-27) nmod:on(lightning-28, home-32) nmod:by(struck-26, lightning-28) ",NN,,,,,,,,"on home, by struck","on, by",struck,home,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"The cock 's feather on the hat "" glows in the sunlight as red as blood , "" while "" The scythe flashes like lightning , "" according to the verses .",lightning,"case(lightning-25, like-24) nmod:like(flashes-23, lightning-25) ",NN,,,,,,,,like flashes,like,flashes,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"The perfect glance is to see simultaneously , by one bolt of lightning , the sweetest mask and the abominable face behind it .",lightning,"case(lightning-13, of-12) conj:and(lightning-13, mask-17) cc(lightning-13, and-18) conj:and(lightning-13, face-21) nmod:of(bolt-11, lightning-13) ",NN,,,,,,,,of bolt,of,bolt,,,,"and, and","mask, face",,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"A flash of lightning of sorts , as we shall see , later turns this inevitable role into a conscious vocation , much like the vocatin excluyente which Vargas Llosa has argued must guide every writer and which he so admired in Flaubert .",lightning,"case(lightning-4, of-3) nmod:of(lightning-4, sorts-6) nmod:of(flash-2, lightning-4) ",NN,,,,,,,,"of sorts, of flash","of, of",flash,sorts,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
( Atmospheric is a term that refers to the strong contributions of lightning and thunderstorms in the radio-noise background . ),lightning,"case(lightning-13, of-12) cc(lightning-13, and-14) conj:and(lightning-13, thunderstorms-15) nmod:of(contributions-11, lightning-13) ",NN,,,,,,,,of contributions,of,contributions,,,,and,thunderstorms,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"There are also certain basic tenets of Navajo cosmology ( although most interviewees did n't explain these to us ) that ascribe special power to certain events or processes in the natural world ( for example , lightning strikes , first rays of dawn ) .",lightning,"compound(strikes-39, lightning-38) ",NN,,,,,,,,,,,,,,,,strikes,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
THE MIRANDA RULE IN CALIFORNIA <p> The Warren Court 's 1966 decision in Miranda v. Arizona has also been a lightning rod for conservative critics of the judiciary.,lightning,"compound(rod-22, lightning-21) ",NN,,VBN,,,been,be,,,,,,,,,,rod,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"In Yorubaland the prototype of the New World version of the crown is worn by special priests of Shango called to pay homage to their thunder god when houses are struck by lightning ( Abraham 1946:121 , 622 ) .",lightning,"case(lightning-33, by-32) appos(lightning-33, Abraham-35) nmod:by(struck-31, lightning-33) ",NN,,,,,,,,by struck,by,struck,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,"modified, abraham",,abraham,,,,,singular,bare singular,,,unknown,unknown
"38 Here the descending crown of Dade appears as the very embodiment of Chango 's lightning ( his ache ' ) arcing from sky to ground , condensing in the beaded attributes of Chango and the covered vessel that contains his thunderstones ( edun ard ) .",lightning,"case(lightning-16, of-13) nmod:poss(lightning-16, Chango-14) dep(lightning-16, ache-19) dep(lightning-16, arcing-22) nmod:of(embodiment-12, lightning-16) ",NN,,,,,,,,of embodiment,of,embodiment,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,chango,,,,,,,,,,singular,bare singular,,,unknown,unknown
Esquivel echoed lightning 's descent with the vertical chevron pattern of sequins embroidered across the surface of the patio itself .,lightning,"case(lightning-3, 's-4) nmod:poss(descent-5, lightning-3) ",NN,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],descent,,,,,,,,,,,singular,linked,,,unknown,unknown
"As if that were not enough , Esquivel shaped the patio further by draping and tacking its upper edge in the form of zigzagged horns , evocations of lightning and of the ox horns that represent Chango 's companion-oricha Oggue .",lightning,"case(lightning-29, of-28) nmod:of(evocations-27, lightning-29) ",NN,,,,,,,,of evocations,of,evocations,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
I am inspired here by Thompson 's discussion of artistic representations of the descent of Shango 's lightning ( Thompson 1983:84-97 ) .,lightning,"case(lightning-18, of-15) nmod:poss(lightning-18, Shango-16) appos(lightning-18, Thompson-20) nmod:of(descent-14, lightning-18) ",NN,,,,,,,,of descent,of,descent,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,shango,,,"modified, thompson",,thompson,,,,,singular,bare singular,,,unknown,unknown
In the later part of the Dynasty the storm god on a bull holding a lightning fork ( Fig.,lightning,"det(lightning-16, a-15) dep(lightning-16, Fig-19) dobj(holding-14, lightning-16) ",NN,,VBG,,,holding,hold,,,,,,a,indefinite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,a,unit,singular,linked,ambiguous,A+N,countable,unknown
", Morgan 367 <p> PHOTO ( BLACK &; WHITE ) : 28 Storm god on a bull holding his lightning fork , accompanied by a nude female , Late Old Babylonian style , ca.",lightning,"compound(fork-22, lightning-21) ",NN,,,,,,,,,,,,,,,,fork,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Similarly , for Cortazar the decisive moment of the short story and its peculiar intensity are the products of the elimination of details the novel would normally embrace in order to "" draw a lightning charge out of a minimum of elements "" : "" the story meant to be an infallible machine primed to fulfill its narrative function with the maximum economy of means ... it is based on that implacable race against time .",lightning,"compound(charge-36, lightning-35) ",NN,,VB,,,draw,draw,,,,,,,,,,charge,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"One mammoth bald cypress , whose top was knocked off during a past lightning storm , has a trunk twelve feet thick at shoulder height .",lightning,"compound(storm-15, lightning-14) ",NN,,,,,,,,,,,,,,,,storm,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
<p> The trademark tattoo of murderers is a skull with a dagger through it ( sometimes the dagger is below the skull ) or a skull with bolts of lightning zigzagging through it .,lightning,"case(lightning-30, of-29) acl(lightning-30, zigzagging-31) nmod:of(bolts-28, lightning-30) ",NN,,,,,,,,of bolts,of,bolts,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
