sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"Thus , it became profitable for the lord to "" enclose "" these commons and run his own sheep , thereby ignoring the peasants ' customary rights.",sheep,"nmod:poss(sheep-19, his-17) amod(sheep-19, own-18) dobj(run-16, sheep-19) ",NN,,VB,,,run,run,,,,,,,,,,own,,his,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Their animals wandered off into the bush and died , until only one sheep was left .",sheep,"advmod(sheep-14, only-12) nummod(sheep-14, one-13) nsubjpass(left-16, sheep-14) ",NN,,VBN,left,leave,,,,,,,,,,,,,,,one,only,,,,,,one,unit,singular,ambiguous,['A+N'],countable,unknown
Until the 1950s the economy was characterized by small dispersed land-ownership and sheep herding .,sheep,"compound(herding-14, sheep-13) ",NN,,,,,,,,,,,,,,,herding,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> Fishing , hosiery , and sheep rearing were very labor-intensive and often dangerous .",sheep,"compound(rearing-8, sheep-7) ",NN,,,,,,,,,,,,,,,rearing,,,,,,,,,,,,,singular,,[],unknown,unknown
"Again , items sacrificed and offered as propitiation include banana beer , coffee beans , other special herbs , and when available , a black goat or sheep .",sheep,"dobj(sacrificed-4, sheep-28) conj:or(goat-26, sheep-28) ",NN,,VBD,,,sacrificed,sacrifice,,,,,,,or,goat,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"If a man running from a hostile pursuer in fear of his life reaches the proximity of a home by the distance of a stick 's throw , or if he touches the ropes of the tent , or gets to the mrah ( camel or sheep sleeping ground near the tent ) , he is assured of his personal safety .",sheep,"conj:or(camel-45, sheep-47) compound(ground-49, sheep-47) ",NN,,,,,,,,,,,,,or,camel,ground,,,,,,,,,,,,,singular,,[],unknown,unknown
"We were raising sheep , and at the same time were involved in cultivation on the land of Daham Ibn Mheid , in Tal As-samn , on the Baliekh River .",sheep,"dobj(raising-3, sheep-4) ",NN,,VBG,,,raising,raise,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"We moved away from al-Beryej in Tal Assamn with our sheep to Ain Aisa , a small village about 40 kilometers northeast of Ar-Raqqa , where Ibn Mheid made his summer capital .",sheep,"case(sheep-11, with-9) nmod:poss(sheep-11, our-10) nmod:with(Assamn-8, sheep-11) ",NN,,,,,,,,with Assamn,with,assamn,,,,,,,,our,,,,,,,,,,singular,,[],unknown,unknown
We abandoned farming and were only herding sheep .,sheep,"dobj(herding-7, sheep-8) ",NN,,VBG,,,herding,herd,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"It was 50 sheep , twenty golden liras , a rifle , plus 300 Syrian pounds as haq al-dakhal ( the protector 's right ) .",sheep,"nsubj(sheep-4, It-1) cop(sheep-4, was-2) nummod(sheep-4, 50-3) appos(sheep-4, liras-8) appos(sheep-4, rifle-11) cc(sheep-4, plus-13) conj:plus(sheep-4, pounds-16) root(ROOT-0, sheep-4) ",NN,,VBD,,,was,be,,,,,,,plus,pounds,,,,,50,,"modified, liras, modified, rifle",,"liras, rifle",,,50,other,singular,ambiguous,['O-DEN'],countable,unknown
