sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Negation,Direct Object,Indirect Object,"""Of"" Object",Adverbial Preposition,Subject,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Compounds,Adjectival Modifiers,Possesed (owned by noun),Possesive (owner of noun),Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositional Modifiers,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,subject,object,advcl
"At first , the United States estimated the number of fatalities to be 3,000 ; the BBC guessed 7,000 casualties , with perhaps a thousand troops killed by beatings , burnings , and stray bullets .","At/IN first/JJ ,/, the/DT United/NNP States/NNPS estimated/VBD the/DT number/NN of/IN fatalities/NNS to/TO be/VB 3,000/CD ;/: the/DT BBC/NNP guessed/VBD 7,000/CD casualties/NNS ,/, with/IN perhaps/RB a/DT thousand/CD troops/NNS killed/VBN by/IN beatings/NNS ,/, burnings/NNS ,/, and/CC stray/JJ bullets/NNS ./.","case(first-2, At-1) nmod:at(estimated-7, first-2) det(States-6, the-4) compound(States-6, United-5) nsubj(estimated-7, States-6) root(ROOT-0, estimated-7) det(number-9, the-8) dobj(estimated-7, number-9) case(fatalities-11, of-10) nmod:of(number-9, fatalities-11) mark(3,000-14, to-12) cop(3,000-14, be-13) advcl(estimated-7, 3,000-14) det(BBC-17, the-16) nsubj(guessed-18, BBC-17) parataxis(estimated-7, guessed-18) nummod(casualties-20, 7,000-19) dobj(guessed-18, casualties-20) case(troops-26, with-22) advmod(troops-26, perhaps-23) det(troops-26, a-24) nummod(troops-26, thousand-25) nmod:with(guessed-18, troops-26) acl(troops-26, killed-27) case(beatings-29, by-28) nmod:by(killed-27, beatings-29) nmod:by(killed-27, burnings-31) conj:and(beatings-29, burnings-31) cc(beatings-29, and-33) amod(bullets-35, stray-34) nmod:by(killed-27, bullets-35) conj:and(beatings-29, bullets-35)  ",beatings,29,"case(beatings-29, by-28) conj:and(beatings-29, burnings-31) cc(beatings-29, and-33) conj:and(beatings-29, bullets-35) nmod:by(killed-27, beatings-29) ","a thousand troops killed by beatings , burnings , and stray",NNS,[],,,,,[],[],[],[],[],"[('by', 'killed')]",['by'],['killed'],[],[],"[('and', 'burnings'), ('and', 'bullets')]",[],[],[],[],[],['by'],[],[],,,plural,,[],[]
"The Creek penalty for such illicit conduct involved public beating , hair cropping , and mutilation of the ears and nose .","The/DT Creek/NNP penalty/NN for/IN such/JJ illicit/JJ conduct/NN involved/VBD public/JJ beating/NN ,/, hair/NN cropping/NNS ,/, and/CC mutilation/NN of/IN the/DT ears/NNS and/CC nose/NN ./.","det(penalty-3, The-1) compound(penalty-3, Creek-2) nsubj(involved-8, penalty-3) case(conduct-7, for-4) amod(conduct-7, such-5) amod(conduct-7, illicit-6) nmod:for(penalty-3, conduct-7) root(ROOT-0, involved-8) amod(beating-10, public-9) dobj(involved-8, beating-10) compound(cropping-13, hair-12) dobj(involved-8, cropping-13) conj:and(beating-10, cropping-13) cc(beating-10, and-15) dobj(involved-8, mutilation-16) conj:and(beating-10, mutilation-16) case(ears-19, of-17) det(ears-19, the-18) nmod:of(mutilation-16, ears-19) cc(ears-19, and-20) nmod:of(mutilation-16, nose-21) conj:and(ears-19, nose-21)  ",beating,10,"amod(beating-10, public-9) conj:and(beating-10, cropping-13) cc(beating-10, and-15) conj:and(beating-10, mutilation-16) dobj(involved-8, beating-10) ","such illicit conduct involved public beating , hair cropping , and",NN,[],involved,VBD,object,[],[],[],[],[],[],[],[],[],[],[],"[('and', 'cropping'), ('and', 'mutilation')]",[],['public'],[],[],[],[],[],[],,,singular,ambiguous,[],['involved']
"A Paraguay free of "" cynicism and lies , "" of "" trampling over the dignity of people and human rights , "" of corruption , of "" imposed silence , fear , beatings in the streets , detention by ' orden superior ' "" ( Sendero , 1989b : 10 ) .","A/DT Paraguay/NNP free/VBP of/IN ''/'' cynicism/NN and/CC lies/NNS ,/, ''/'' of/IN ''/'' trampling/NN over/IN the/DT dignity/NN of/IN people/NNS and/CC human/JJ rights/NNS ,/, ''/'' of/IN corruption/NN ,/, of/IN ''/'' imposed/JJ silence/NN ,/, fear/NN ,/, beatings/NNS in/IN the/DT streets/NNS ,/, detention/VBZ by/IN '/'' orden/JJ superior/NNP '/POS ''/'' -LRB-/-LRB- Sendero/NNP ,/, 1989b/CD :/: 10/CD -RRB-/-RRB- ./.","det(Paraguay-2, A-1) nsubj(free-3, Paraguay-2) ccomp(detention-39, free-3) case(cynicism-6, of-4) nmod:of(free-3, cynicism-6) cc(cynicism-6, and-7) nmod:of(free-3, lies-8) conj:and(cynicism-6, lies-8) case(trampling-13, of-11) nmod:of(free-3, trampling-13) case(dignity-16, over-14) det(dignity-16, the-15) nmod:over(trampling-13, dignity-16) case(people-18, of-17) nmod:of(dignity-16, people-18) cc(people-18, and-19) amod(rights-21, human-20) nmod:of(dignity-16, rights-21) conj:and(people-18, rights-21) case(corruption-25, of-24) nmod:of(people-18, corruption-25) case(silence-30, of-27) amod(silence-30, imposed-29) nmod:of(people-18, silence-30) nsubj(detention-39, fear-32) appos(fear-32, beatings-34) case(streets-37, in-35) det(streets-37, the-36) nmod:in(beatings-34, streets-37) root(ROOT-0, detention-39) case(superior-43, by-40) amod(superior-43, orden-42) nmod:'(detention-39, superior-43) case(superior-43, '-44) dep(detention-39, Sendero-47) nummod(10-51, 1989b-49) appos(Sendero-47, 10-51)  ",beatings,34,"nmod:in(beatings-34, streets-37) appos(fear-32, beatings-34) ","imposed silence , fear , beatings in the streets , detention",NNS,[],,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['modifier', 'fear']",,,plural,,[],[]
"<p> Upon the wu-t'ung trees , The midnight rain is beating , Indifferent to the bitter sorrow of parted lovers .","<p>/RB Upon/IN the/DT wu-t/JJ `/`` ung/NN trees/NNS ,/, The/DT midnight/NN rain/NN is/VBZ beating/NN ,/, Indifferent/NNP to/TO the/DT bitter/JJ sorrow/NN of/IN parted/JJ lovers/NNS ./.","advmod(trees-7, <p>-1) case(trees-7, Upon-2) det(trees-7, the-3) amod(trees-7, wu-t-4) compound(trees-7, ung-6) nmod:upon(beating-13, trees-7) det(rain-11, The-9) compound(rain-11, midnight-10) nsubj(beating-13, rain-11) cop(beating-13, is-12) root(ROOT-0, beating-13) appos(beating-13, Indifferent-15) case(sorrow-19, to-16) det(sorrow-19, the-17) amod(sorrow-19, bitter-18) nmod:to(Indifferent-15, sorrow-19) case(lovers-22, of-20) amod(lovers-22, parted-21) nmod:of(sorrow-19, lovers-22)  ",beating,13,"nmod:upon(beating-13, trees-7) nsubj(beating-13, rain-11) cop(beating-13, is-12) appos(beating-13, Indifferent-15) root(ROOT-0, beating-13) ","midnight rain is beating , Indifferent to the bitter sorrow of",NN,[],,,,,[],[],[],[],['rain'],[],[],[],[],[],[],[],[],[],[],[],[],[],"['modified', 'Indifferent']",,,singular,,[],[]
"The parishioners , not infrequently covertly helped by Franciscans , refused to open the church doors to the new priests , who , sometimes after receiving a stiff beating , had to leave defeated .","The/DT parishioners/NNS ,/, not/RB infrequently/RB covertly/RB helped/VBN by/IN Franciscans/NNP ,/, refused/VBD to/TO open/VB the/DT church/NN doors/NNS to/TO the/DT new/JJ priests/NNS ,/, who/WP ,/, sometimes/RB after/IN receiving/VBG a/DT stiff/JJ beating/NN ,/, had/VBD to/TO leave/VB defeated/VBN ./.","det(parishioners-2, The-1) nsubj(refused-11, parishioners-2) nsubj(open-13, parishioners-2) dep(helped-7, not-4) advmod(helped-7, infrequently-5) advmod(helped-7, covertly-6) dep(parishioners-2, helped-7) case(Franciscans-9, by-8) nmod:by(helped-7, Franciscans-9) root(ROOT-0, refused-11) mark(open-13, to-12) xcomp(refused-11, open-13) det(doors-16, the-14) compound(doors-16, church-15) dobj(open-13, doors-16) case(priests-20, to-17) det(priests-20, the-18) amod(priests-20, new-19) nmod:to(open-13, priests-20) nsubj(had-31, priests-20) nsubj(leave-33, priests-20) ref(priests-20, who-22) advmod(receiving-26, sometimes-24) mark(receiving-26, after-25) advcl(had-31, receiving-26) det(beating-29, a-27) amod(beating-29, stiff-28) dobj(receiving-26, beating-29) acl:relcl(priests-20, had-31) mark(leave-33, to-32) xcomp(had-31, leave-33) dep(leave-33, defeated-34)  ",beating,29,"det(beating-29, a-27) amod(beating-29, stiff-28) dobj(receiving-26, beating-29) ","sometimes after receiving a stiff beating , had to leave defeated",NN,[],receiving,VBG,object,[],[],[],[],[],[],[],[],[],[],['a'],[],[],['stiff'],[],[],[],[],[],[],a,unit,singular,ambiguous,[],['receiving']
"By being changeable in your conducting you can avoid the "" one-look "" syndrome caused by constant , mindless beating of time and exclusive use of large gestures .","By/IN being/VBG changeable/JJ in/IN your/PRP$ conducting/NN you/PRP can/MD avoid/VB the/DT ''/'' one-look/NN ''/'' syndrome/NN caused/VBN by/IN constant/JJ ,/, mindless/JJ beating/NN of/IN time/NN and/CC exclusive/JJ use/NN of/IN large/JJ gestures/NNS ./.","mark(changeable-3, By-1) cop(changeable-3, being-2) advcl(avoid-9, changeable-3) case(conducting-6, in-4) nmod:poss(conducting-6, your-5) nmod:in(changeable-3, conducting-6) nsubj(avoid-9, you-7) aux(avoid-9, can-8) root(ROOT-0, avoid-9) dobj(avoid-9, the-10) compound(syndrome-14, one-look-12) xcomp(avoid-9, syndrome-14) acl(syndrome-14, caused-15) case(beating-20, by-16) amod(beating-20, constant-17) amod(beating-20, mindless-19) nmod:by(caused-15, beating-20) case(time-22, of-21) nmod:of(beating-20, time-22) cc(beating-20, and-23) amod(use-25, exclusive-24) nmod:by(caused-15, use-25) conj:and(beating-20, use-25) case(gestures-28, of-26) amod(gestures-28, large-27) nmod:of(use-25, gestures-28)  ",beating,20,"case(beating-20, by-16) amod(beating-20, constant-17) amod(beating-20, mindless-19) nmod:of(beating-20, time-22) cc(beating-20, and-23) conj:and(beating-20, use-25) nmod:by(caused-15, beating-20) ","caused by constant , mindless beating of time and exclusive use",NN,[],,,,,[],[],['time'],[],[],"[('by', 'caused')]",['by'],['caused'],[],[],"[('and', 'use')]",[],"['constant', 'mindless']",[],[],[],['by'],[],[],,,singular,,[],[]
"The boy , on the contrary , changes the figure and sex of the person beating by putting his mother in the place of his father ; but he retains his own figure , with the result that the person beating and the person being beaten are of opposite sexes .","The/DT boy/NN ,/, on/IN the/DT contrary/NN ,/, changes/VBZ the/DT figure/NN and/CC sex/NN of/IN the/DT person/NN beating/VBG by/IN putting/VBG his/PRP$ mother/NN in/IN the/DT place/NN of/IN his/PRP$ father/NN ;/: but/CC he/PRP retains/VBZ his/PRP$ own/JJ figure/NN ,/, with/IN the/DT result/NN that/IN the/DT person/NN beating/NN and/CC the/DT person/NN being/VBG beaten/VBN are/VBP of/IN opposite/JJ sexes/NNS ./.","det(boy-2, The-1) nsubj(changes-8, boy-2) case(contrary-6, on-4) det(contrary-6, the-5) nmod:on(boy-2, contrary-6) root(ROOT-0, changes-8) det(figure-10, the-9) dobj(changes-8, figure-10) cc(figure-10, and-11) dobj(changes-8, sex-12) conj:and(figure-10, sex-12) case(person-15, of-13) det(person-15, the-14) nmod:of(figure-10, person-15) acl(person-15, beating-16) mark(putting-18, by-17) advcl(beating-16, putting-18) nmod:poss(mother-20, his-19) dobj(putting-18, mother-20) case(place-23, in-21) det(place-23, the-22) nmod:in(putting-18, place-23) case(father-26, of-24) nmod:poss(father-26, his-25) nmod:of(place-23, father-26) cc(changes-8, but-28) nsubj(retains-30, he-29) conj:but(changes-8, retains-30) nmod:poss(figure-33, his-31) amod(figure-33, own-32) dobj(retains-30, figure-33) case(result-37, with-35) det(result-37, the-36) nmod:with(retains-30, result-37) mark(sexes-50, that-38) det(beating-41, the-39) compound(beating-41, person-40) nsubj(sexes-50, beating-41) cc(beating-41, and-42) det(person-44, the-43) conj:and(beating-41, person-44) nsubj(sexes-50, person-44) auxpass(beaten-46, being-45) acl(person-44, beaten-46) cop(sexes-50, are-47) case(sexes-50, of-48) amod(sexes-50, opposite-49) ccomp(retains-30, sexes-50)  ",beating,41,"det(beating-41, the-39) compound(beating-41, person-40) cc(beating-41, and-42) conj:and(beating-41, person-44) nsubj(sexes-50, beating-41) ",the result that the person beating and the person being beaten,NN,[],are,VBP,subject,[],[],[],[],[],[],[],[],[],[],['the'],"[('and', 'person')]",['person'],[],[],[],[],[],[],[],,,singular,plural,['sexes'],[]
Others gather in groups to fill the air with rhythmic beatings upon their chests .,Others/NNS gather/VBP in/IN groups/NNS to/TO fill/VB the/DT air/NN with/IN rhythmic/JJ beatings/NNS upon/IN their/PRP$ chests/NNS ./.,"nsubj(gather-2, Others-1) nsubj(fill-6, Others-1) root(ROOT-0, gather-2) case(groups-4, in-3) nmod:in(gather-2, groups-4) mark(fill-6, to-5) xcomp(gather-2, fill-6) det(air-8, the-7) dobj(fill-6, air-8) case(beatings-11, with-9) amod(beatings-11, rhythmic-10) nmod:with(air-8, beatings-11) case(chests-14, upon-12) nmod:poss(chests-14, their-13) nmod:upon(fill-6, chests-14)  ",beatings,11,"case(beatings-11, with-9) amod(beatings-11, rhythmic-10) nmod:with(air-8, beatings-11) ",fill the air with rhythmic beatings upon their chests .,NNS,[],,,,,[],[],[],[],[],"[('with', 'air')]",['with'],['air'],[],[],[],[],['rhythmic'],[],[],[],['with'],[],[],,,plural,,[],[]
"Throughout the two-hour documentary , young voices read the names of prisoners and their undelivered letters , while survivors described abuses which the producers could document by means of films of beatings taken at the time and kept in KGB archives.","Throughout/IN the/DT two-hour/JJ documentary/NN ,/, young/JJ voices/NNS read/VBD the/DT names/NNS of/IN prisoners/NNS and/CC their/PRP$ undelivered/JJ letters/NNS ,/, while/IN survivors/NNS described/VBD abuses/NNS which/WDT the/DT producers/NNS could/MD document/VB by/IN means/NNS of/IN films/NNS of/IN beatings/NNS taken/VBN at/IN the/DT time/NN and/CC kept/VBN in/IN KGB/NNP archives/NNS ./.","case(documentary-4, Throughout-1) det(documentary-4, the-2) amod(documentary-4, two-hour-3) nmod:throughout(read-8, documentary-4) amod(voices-7, young-6) nsubj(read-8, voices-7) root(ROOT-0, read-8) det(names-10, the-9) dobj(read-8, names-10) case(prisoners-12, of-11) nmod:of(names-10, prisoners-12) cc(prisoners-12, and-13) nmod:poss(letters-16, their-14) amod(letters-16, undelivered-15) nmod:of(names-10, letters-16) conj:and(prisoners-12, letters-16) mark(described-20, while-18) nsubj(described-20, survivors-19) advcl(read-8, described-20) dobj(described-20, abuses-21) dobj(document-26, abuses-21) ref(abuses-21, which-22) det(producers-24, the-23) nsubj(document-26, producers-24) aux(document-26, could-25) acl:relcl(abuses-21, document-26) case(films-30, by-27) mwe(by-27, means-28) mwe(by-27, of-29) nmod:by_means_of(document-26, films-30) case(beatings-32, of-31) nmod:of(films-30, beatings-32) dep(beatings-32, taken-33) case(time-36, at-34) det(time-36, the-35) nmod:at(taken-33, time-36) cc(taken-33, and-37) dep(beatings-32, kept-38) conj:and(taken-33, kept-38) case(archives-41, in-39) compound(archives-41, KGB-40) nmod:in(kept-38, archives-41)  ",beatings,32,"case(beatings-32, of-31) dep(beatings-32, taken-33) dep(beatings-32, kept-38) nmod:of(films-30, beatings-32) ",by means of films of beatings taken at the time and,NNS,[],,,,,[],[],[],[],[],"[('of', 'films')]",['of'],['films'],[],[],[],[],[],[],[],[],['of'],[],[],,,plural,,[],[]
There were eleven cases in which the cause of death was due to beatings and other non-bullet causes ; an additional eleven Palestinian deaths were attributed to excessive tear gas inhalation.,There/EX were/VBD eleven/JJ cases/NNS in/IN which/WDT the/DT cause/NN of/IN death/NN was/VBD due/JJ to/TO beatings/NNS and/CC other/JJ non-bullet/JJ causes/NNS ;/: an/DT additional/JJ eleven/CD Palestinian/JJ deaths/NNS were/VBD attributed/VBN to/TO excessive/JJ tear/JJ gas/NN inhalation/NN ./.,"expl(were-2, There-1) root(ROOT-0, were-2) amod(cases-4, eleven-3) nsubj(were-2, cases-4) nmod:in(due-12, cases-4) case(which-6, in-5) ref(cases-4, which-6) det(cause-8, the-7) nsubj(due-12, cause-8) case(death-10, of-9) nmod:of(cause-8, death-10) cop(due-12, was-11) acl:relcl(cases-4, due-12) case(beatings-14, to-13) nmod:to(due-12, beatings-14) cc(beatings-14, and-15) amod(causes-18, other-16) amod(causes-18, non-bullet-17) nmod:to(due-12, causes-18) conj:and(beatings-14, causes-18) det(deaths-24, an-20) amod(deaths-24, additional-21) nummod(deaths-24, eleven-22) amod(deaths-24, Palestinian-23) nsubjpass(attributed-26, deaths-24) auxpass(attributed-26, were-25) parataxis(were-2, attributed-26) case(inhalation-31, to-27) amod(inhalation-31, excessive-28) amod(inhalation-31, tear-29) compound(inhalation-31, gas-30) nmod:to(attributed-26, inhalation-31)  ",beatings,14,"case(beatings-14, to-13) cc(beatings-14, and-15) conj:and(beatings-14, causes-18) nmod:to(due-12, beatings-14) ",of death was due to beatings and other non-bullet causes ;,NNS,[],,,,,[],[],[],[],[],"[('to', 'due')]",['to'],['due'],[],[],"[('and', 'causes')]",[],[],[],[],[],['to'],[],[],,,plural,,[],[]
