sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Compounds,Adjectival Modifiers,Possesed (owned by noun),Possesive (owner of noun),Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositional Modifiers,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"Thus , it became profitable for the lord to "" enclose "" these commons and run his own sheep , thereby ignoring the peasants ' customary rights.","Thus/RB ,/, it/PRP became/VBD profitable/JJ for/IN the/DT lord/NN to/TO ''/'' enclose/VB ''/'' these/DT commons/NNS and/CC run/VB his/PRP$ own/JJ sheep/NN ,/, thereby/RB ignoring/VBG the/DT peasants/NNS '/POS customary/JJ rights/NNS ./.","advmod(became-4, Thus-1) nsubj(became-4, it-3) root(ROOT-0, became-4) xcomp(became-4, profitable-5) case(lord-8, for-6) det(lord-8, the-7) nmod:for(became-4, lord-8) mark(enclose-11, to-9) acl(lord-8, enclose-11) det(commons-14, these-13) dobj(enclose-11, commons-14) cc(enclose-11, and-15) acl(lord-8, run-16) conj:and(enclose-11, run-16) nmod:poss(sheep-19, his-17) amod(sheep-19, own-18) dobj(run-16, sheep-19) advmod(ignoring-22, thereby-21) xcomp(became-4, ignoring-22) det(peasants-24, the-23) nmod:poss(rights-27, peasants-24) case(peasants-24, '-25) amod(rights-27, customary-26) dobj(ignoring-22, rights-27)  ",sheep,19,"nmod:poss(sheep-19, his-17) amod(sheep-19, own-18) dobj(run-16, sheep-19) ","commons and run his own sheep , thereby ignoring the peasants",NN,[],run,VB,object,[],[],[],[],[],[],[],[],['own'],[],['his'],[],[],[],[],[],[],,,singular,ambiguous,,unknown,unknown
"Their animals wandered off into the bush and died , until only one sheep was left .","Their/PRP$ animals/NNS wandered/VBD off/RP into/IN the/DT bush/NN and/CC died/VBD ,/, until/IN only/RB one/CD sheep/NN was/VBD left/VBN ./.","nmod:poss(animals-2, Their-1) nsubj(wandered-3, animals-2) nsubj(died-9, animals-2) root(ROOT-0, wandered-3) compound:prt(wandered-3, off-4) case(bush-7, into-5) det(bush-7, the-6) nmod:into(wandered-3, bush-7) cc(wandered-3, and-8) conj:and(wandered-3, died-9) mark(left-16, until-11) advmod(sheep-14, only-12) nummod(sheep-14, one-13) nsubjpass(left-16, sheep-14) auxpass(left-16, was-15) advcl(wandered-3, left-16)  ",sheep,14,"advmod(sheep-14, only-12) nummod(sheep-14, one-13) nsubjpass(left-16, sheep-14) ","died , until only one sheep was left .",NN,[],left,VBN,subject,[],[],[],[],[],[],[],[],[],[],[],['one'],[],['only'],[],[],[],one,unit,singular,ambiguous,A+N,countable,unknown
Until the 1950s the economy was characterized by small dispersed land-ownership and sheep herding .,Until/IN the/DT 1950s/NNS the/DT economy/NN was/VBD characterized/VBN by/IN small/JJ dispersed/JJ land-ownership/NN and/CC sheep/NN herding/NNS ./.,"case(1950s-3, Until-1) det(1950s-3, the-2) nmod:until(characterized-7, 1950s-3) det(economy-5, the-4) nsubjpass(characterized-7, economy-5) auxpass(characterized-7, was-6) root(ROOT-0, characterized-7) case(land-ownership-11, by-8) amod(land-ownership-11, small-9) amod(land-ownership-11, dispersed-10) nmod:by(characterized-7, land-ownership-11) cc(land-ownership-11, and-12) compound(herding-14, sheep-13) nmod:by(characterized-7, herding-14) conj:and(land-ownership-11, herding-14)  ",sheep,13,"compound(herding-14, sheep-13) ",by small dispersed land-ownership and sheep herding .,NN,[],,,,,[],[],[],[],[],[],['herding'],[],[],[],[],[],[],[],[],[],,,singular,,,unknown,unknown
"<p> Fishing , hosiery , and sheep rearing were very labor-intensive and often dangerous .","<p>/NNP Fishing/NNP ,/, hosiery/NN ,/, and/CC sheep/NN rearing/NN were/VBD very/RB labor-intensive/JJ and/CC often/RB dangerous/JJ ./.","compound(Fishing-2, <p>-1) nsubj(labor-intensive-11, Fishing-2) nsubj(dangerous-14, Fishing-2) conj:and(Fishing-2, hosiery-4) nsubj(labor-intensive-11, hosiery-4) cc(Fishing-2, and-6) compound(rearing-8, sheep-7) conj:and(Fishing-2, rearing-8) nsubj(labor-intensive-11, rearing-8) cop(labor-intensive-11, were-9) advmod(labor-intensive-11, very-10) root(ROOT-0, labor-intensive-11) cc(labor-intensive-11, and-12) advmod(dangerous-14, often-13) conj:and(labor-intensive-11, dangerous-14)  ",sheep,7,"compound(rearing-8, sheep-7) ","Fishing , hosiery , and sheep rearing were very labor-intensive and",NN,[],,,,,[],[],[],[],[],[],['rearing'],[],[],[],[],[],[],[],[],[],,,singular,,,unknown,unknown
"Again , items sacrificed and offered as propitiation include banana beer , coffee beans , other special herbs , and when available , a black goat or sheep .","Again/RB ,/, items/NNS sacrificed/VBD and/CC offered/VBD as/IN propitiation/NN include/VB banana/NN beer/NN ,/, coffee/NN beans/NNS ,/, other/JJ special/JJ herbs/NNS ,/, and/CC when/WRB available/JJ ,/, a/DT black/JJ goat/NN or/CC sheep/NN ./.","advmod(sacrificed-4, Again-1) nsubj(sacrificed-4, items-3) nsubj(offered-6, items-3) root(ROOT-0, sacrificed-4) cc(sacrificed-4, and-5) conj:and(sacrificed-4, offered-6) case(propitiation-8, as-7) nmod:as(offered-6, propitiation-8) dep(sacrificed-4, include-9) compound(beer-11, banana-10) dobj(include-9, beer-11) compound(beans-14, coffee-13) appos(beer-11, beans-14) amod(herbs-18, other-16) amod(herbs-18, special-17) appos(beer-11, herbs-18) cc(beer-11, and-20) advmod(available-22, when-21) dobj(include-9, available-22) conj:and(beer-11, available-22) det(goat-26, a-24) amod(goat-26, black-25) dobj(sacrificed-4, goat-26) cc(goat-26, or-27) dobj(sacrificed-4, sheep-28) conj:or(goat-26, sheep-28)  ",sheep,28,"dobj(sacrificed-4, sheep-28) conj:or(goat-26, sheep-28) ",", a black goat or sheep .",NN,[],sacrificed,VBD,object,[],[],[],[],[],[],"[('or', 'goat')]",[],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown,unknown
"If a man running from a hostile pursuer in fear of his life reaches the proximity of a home by the distance of a stick 's throw , or if he touches the ropes of the tent , or gets to the mrah ( camel or sheep sleeping ground near the tent ) , he is assured of his personal safety .","If/IN a/DT man/NN running/VBG from/IN a/DT hostile/JJ pursuer/NN in/IN fear/NN of/IN his/PRP$ life/NN reaches/VBZ the/DT proximity/NN of/IN a/DT home/NN by/IN the/DT distance/NN of/IN a/DT stick/NN 's/POS throw/NN ,/, or/CC if/IN he/PRP touches/VBZ the/DT ropes/NNS of/IN the/DT tent/NN ,/, or/CC gets/VBZ to/TO the/DT mrah/NN -LRB-/-LRB- camel/NN or/CC sheep/NN sleeping/VBG ground/NN near/IN the/DT tent/NN -RRB-/-RRB- ,/, he/PRP is/VBZ assured/VBN of/IN his/PRP$ personal/JJ safety/NN ./.","mark(reaches-14, If-1) det(man-3, a-2) nsubj(reaches-14, man-3) acl(man-3, running-4) case(pursuer-8, from-5) det(pursuer-8, a-6) amod(pursuer-8, hostile-7) nmod:from(running-4, pursuer-8) case(fear-10, in-9) nmod:in(pursuer-8, fear-10) case(life-13, of-11) nmod:poss(life-13, his-12) nmod:of(fear-10, life-13) advcl(assured-57, reaches-14) det(proximity-16, the-15) dobj(reaches-14, proximity-16) case(home-19, of-17) det(home-19, a-18) nmod:of(proximity-16, home-19) case(distance-22, by-20) det(distance-22, the-21) nmod:by(reaches-14, distance-22) case(throw-27, of-23) det(stick-25, a-24) nmod:poss(throw-27, stick-25) case(stick-25, 's-26) nmod:of(distance-22, throw-27) cc(reaches-14, or-29) mark(touches-32, if-30) nsubj(touches-32, he-31) nsubj(gets-40, he-31) conj:or(reaches-14, touches-32) advcl(assured-57, touches-32) det(ropes-34, the-33) dobj(touches-32, ropes-34) case(tent-37, of-35) det(tent-37, the-36) nmod:of(ropes-34, tent-37) cc(touches-32, or-39) conj:or(reaches-14, gets-40) conj:or(touches-32, gets-40) case(mrah-43, to-41) det(mrah-43, the-42) nmod:to(gets-40, mrah-43) compound(ground-49, camel-45) cc(camel-45, or-46) conj:or(camel-45, sheep-47) compound(ground-49, sheep-47) amod(ground-49, sleeping-48) dep(mrah-43, ground-49) case(tent-52, near-50) det(tent-52, the-51) nmod:near(ground-49, tent-52) nsubjpass(assured-57, he-55) auxpass(assured-57, is-56) root(ROOT-0, assured-57) case(safety-61, of-58) nmod:poss(safety-61, his-59) amod(safety-61, personal-60) nmod:of(assured-57, safety-61)  ",sheep,47,"conj:or(camel-45, sheep-47) compound(ground-49, sheep-47) ",the mrah ( camel or sheep sleeping ground near the tent,NN,[],,,,,[],[],[],[],[],"[('or', 'camel')]",['ground'],[],[],[],[],[],[],[],[],[],,,singular,,,unknown,unknown
"We were raising sheep , and at the same time were involved in cultivation on the land of Daham Ibn Mheid , in Tal As-samn , on the Baliekh River .","We/PRP were/VBD raising/VBG sheep/NN ,/, and/CC at/IN the/DT same/JJ time/NN were/VBD involved/VBN in/IN cultivation/NN on/IN the/DT land/NN of/IN Daham/NNP Ibn/NNP Mheid/NNP ,/, in/IN Tal/NNP As-samn/NNP ,/, on/IN the/DT Baliekh/NNP River/NNP ./.","nsubj(raising-3, We-1) aux(raising-3, were-2) root(ROOT-0, raising-3) dobj(raising-3, sheep-4) cc(raising-3, and-6) advmod(involved-12, at-7) det(time-10, the-8) amod(time-10, same-9) nsubjpass(involved-12, time-10) auxpass(involved-12, were-11) conj:and(raising-3, involved-12) case(cultivation-14, in-13) nmod:in(involved-12, cultivation-14) case(land-17, on-15) det(land-17, the-16) nmod:on(involved-12, land-17) case(Mheid-21, of-18) compound(Mheid-21, Daham-19) compound(Mheid-21, Ibn-20) nmod:of(land-17, Mheid-21) case(As-samn-25, in-23) compound(As-samn-25, Tal-24) nmod:in(Mheid-21, As-samn-25) case(River-30, on-27) det(River-30, the-28) compound(River-30, Baliekh-29) nmod:on(involved-12, River-30)  ",sheep,4,"dobj(raising-3, sheep-4) ","We were raising sheep , and at the same",NN,[],raising,VBG,object,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown,unknown
"We moved away from al-Beryej in Tal Assamn with our sheep to Ain Aisa , a small village about 40 kilometers northeast of Ar-Raqqa , where Ibn Mheid made his summer capital .","We/PRP moved/VBD away/RP from/IN al-Beryej/NNP in/IN Tal/NNP Assamn/NNP with/IN our/PRP$ sheep/NN to/TO Ain/NNP Aisa/NNP ,/, a/DT small/JJ village/NN about/RB 40/CD kilometers/NNS northeast/RB of/IN Ar-Raqqa/NNP ,/, where/WRB Ibn/NNP Mheid/NNP made/VBD his/PRP$ summer/NN capital/NN ./.","nsubj(moved-2, We-1) root(ROOT-0, moved-2) compound:prt(moved-2, away-3) case(al-Beryej-5, from-4) nmod:from(moved-2, al-Beryej-5) case(Assamn-8, in-6) compound(Assamn-8, Tal-7) nmod:in(moved-2, Assamn-8) case(sheep-11, with-9) nmod:poss(sheep-11, our-10) nmod:with(Assamn-8, sheep-11) case(Aisa-14, to-12) compound(Aisa-14, Ain-13) nmod:to(moved-2, Aisa-14) det(village-18, a-16) amod(village-18, small-17) appos(Aisa-14, village-18) advmod(40-20, about-19) nummod(kilometers-21, 40-20) nmod:npmod(northeast-22, kilometers-21) advmod(village-18, northeast-22) case(Ar-Raqqa-24, of-23) nmod:of(village-18, Ar-Raqqa-24) advmod(made-29, where-26) compound(Mheid-28, Ibn-27) nsubj(made-29, Mheid-28) acl:relcl(village-18, made-29) nmod:poss(capital-32, his-30) compound(capital-32, summer-31) dobj(made-29, capital-32)  ",sheep,11,"case(sheep-11, with-9) nmod:poss(sheep-11, our-10) nmod:with(Assamn-8, sheep-11) ","in Tal Assamn with our sheep to Ain Aisa , a",NN,[],,,,,"[('with', 'Assamn')]",['with'],['Assamn'],[],[],[],[],[],[],['our'],[],['with'],[],[],[],[],,,singular,,,unknown,unknown
We abandoned farming and were only herding sheep .,We/PRP abandoned/VBD farming/NN and/CC were/VBD only/RB herding/VBG sheep/NN ./.,"nsubj(abandoned-2, We-1) nsubj(herding-7, We-1) root(ROOT-0, abandoned-2) dobj(abandoned-2, farming-3) cc(abandoned-2, and-4) aux(herding-7, were-5) advmod(herding-7, only-6) conj:and(abandoned-2, herding-7) dobj(herding-7, sheep-8)  ",sheep,8,"dobj(herding-7, sheep-8) ",farming and were only herding sheep .,NN,[],herding,VBG,object,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown,unknown
"It was 50 sheep , twenty golden liras , a rifle , plus 300 Syrian pounds as haq al-dakhal ( the protector 's right ) .","It/PRP was/VBD 50/CD sheep/NN ,/, twenty/CD golden/JJ liras/NNS ,/, a/DT rifle/NN ,/, plus/CC 300/CD Syrian/JJ pounds/NNS as/IN haq/NN al-dakhal/NN -LRB-/-LRB- the/DT protector/NN 's/POS right/NN -RRB-/-RRB- ./.","nsubj(sheep-4, It-1) cop(sheep-4, was-2) nummod(sheep-4, 50-3) root(ROOT-0, sheep-4) nummod(liras-8, twenty-6) amod(liras-8, golden-7) appos(sheep-4, liras-8) det(rifle-11, a-10) appos(sheep-4, rifle-11) cc(sheep-4, plus-13) nummod(pounds-16, 300-14) amod(pounds-16, Syrian-15) conj:plus(sheep-4, pounds-16) case(al-dakhal-19, as-17) compound(al-dakhal-19, haq-18) nmod:as(pounds-16, al-dakhal-19) det(protector-22, the-21) nmod:poss(right-24, protector-22) case(protector-22, 's-23) appos(al-dakhal-19, right-24)  ",sheep,4,"nsubj(sheep-4, It-1) cop(sheep-4, was-2) nummod(sheep-4, 50-3) appos(sheep-4, liras-8) appos(sheep-4, rifle-11) cc(sheep-4, plus-13) conj:plus(sheep-4, pounds-16) root(ROOT-0, sheep-4) ","It was 50 sheep , twenty golden liras ,",NN,[],was,VBD,object,[],[],[],[],[],[],"[('plus', 'pounds')]",[],[],[],[],['50'],[],[],"['modified', 'liras', 'modified', 'rifle']",[],[],50,other,singular,ambiguous,O-DEN,countable,unknown
