sent,tags,parse
<p> I 'm sending the same letter to all regent .,<p>/RB I/PRP 'm/VBP sending/VBG the/DT same/JJ letter/NN to/TO all/DT regent/NN ./.,"advmod(sending-4, <p>-1) nsubj(sending-4, I-2) aux(sending-4, 'm-3) root(ROOT-0, sending-4) det(letter-7, the-5) amod(letter-7, same-6) dobj(sending-4, letter-7) case(regent-10, to-8) det(regent-10, all-9) nmod:to(sending-4, regent-10)  "
The market is an enormously effective mechanism for sending signals that a given material resource grows more dear .,The/DT market/NN is/VBZ an/DT enormously/RB effective/JJ mechanism/NN for/IN sending/VBG signals/NNS that/IN a/DT given/VBN material/NN resource/NN grows/VBZ more/RBR dear/JJ ./.,"det(market-2, The-1) nsubj(mechanism-7, market-2) cop(mechanism-7, is-3) det(mechanism-7, an-4) advmod(effective-6, enormously-5) amod(mechanism-7, effective-6) root(ROOT-0, mechanism-7) mark(sending-9, for-8) acl(mechanism-7, sending-9) dobj(sending-9, signals-10) mark(grows-16, that-11) det(resource-15, a-12) amod(resource-15, given-13) compound(resource-15, material-14) nsubj(grows-16, resource-15) ccomp(sending-9, grows-16) advmod(dear-18, more-17) xcomp(grows-16, dear-18)  "
At that time doubts began to creep in although he made no mention of them in the records of progress that he was regularly sending to his friend Fliess .,At/IN that/DT time/NN doubts/NNS began/VBD to/TO creep/VB in/RP although/IN he/PRP made/VBD no/DT mention/NN of/IN them/PRP in/IN the/DT records/NNS of/IN progress/NN that/IN he/PRP was/VBD regularly/RB sending/VBG to/TO his/PRP$ friend/NN Fliess/NNS ./.,"case(time-3, At-1) det(time-3, that-2) nmod:at(began-5, time-3) nsubj(began-5, doubts-4) nsubj(creep-7, doubts-4) root(ROOT-0, began-5) mark(creep-7, to-6) xcomp(began-5, creep-7) compound:prt(creep-7, in-8) mark(made-11, although-9) nsubj(made-11, he-10) advcl(creep-7, made-11) neg(mention-13, no-12) dobj(made-11, mention-13) case(them-15, of-14) nmod:of(mention-13, them-15) case(records-18, in-16) det(records-18, the-17) nmod:in(made-11, records-18) case(progress-20, of-19) nmod:of(records-18, progress-20) mark(sending-25, that-21) nsubj(sending-25, he-22) aux(sending-25, was-23) advmod(sending-25, regularly-24) ccomp(made-11, sending-25) case(Fliess-29, to-26) nmod:poss(Fliess-29, his-27) compound(Fliess-29, friend-28) nmod:to(sending-25, Fliess-29)  "
"This is that primarily it is God the Father who suffers in the offering and sending of His Son , in His abasement .","This/DT is/VBZ that/IN primarily/RB it/PRP is/VBZ God/NNP the/DT Father/NNP who/WP suffers/VBZ in/IN the/DT offering/VBG and/CC sending/VBG of/IN His/PRP$ Son/NN ,/, in/IN His/PRP$ abasement/NN ./.","nsubj(is-2, This-1) root(ROOT-0, is-2) mark(Father-9, that-3) advmod(Father-9, primarily-4) nsubj(Father-9, it-5) cop(Father-9, is-6) compound(Father-9, God-7) det(Father-9, the-8) ccomp(is-2, Father-9) nsubj(suffers-11, Father-9) ref(Father-9, who-10) acl:relcl(Father-9, suffers-11) case(the-13, in-12) nmod:in(suffers-11, the-13) amod(the-13, offering-14) cc(the-13, and-15) nmod:in(suffers-11, sending-16) conj:and(the-13, sending-16) case(Son-19, of-17) nmod:poss(Son-19, His-18) nmod:of(the-13, Son-19) case(abasement-23, in-21) nmod:poss(abasement-23, His-22) nmod:in(the-13, abasement-23)  "
<p> Frankfurter thus attempted to sway the president from sending the commission to investigate the situation in Palestine .,<p>/NNP Frankfurter/NNP thus/RB attempted/VBD to/TO sway/VB the/DT president/NN from/IN sending/VBG the/DT commission/NN to/TO investigate/VB the/DT situation/NN in/IN Palestine/NNP ./.,"compound(Frankfurter-2, <p>-1) nsubj(attempted-4, Frankfurter-2) nsubj(sway-6, Frankfurter-2) advmod(attempted-4, thus-3) root(ROOT-0, attempted-4) mark(sway-6, to-5) xcomp(attempted-4, sway-6) det(president-8, the-7) dobj(sway-6, president-8) mark(sending-10, from-9) advcl(sway-6, sending-10) det(commission-12, the-11) dobj(sending-10, commission-12) mark(investigate-14, to-13) acl(commission-12, investigate-14) det(situation-16, the-15) dobj(investigate-14, situation-16) case(Palestine-18, in-17) nmod:in(situation-16, Palestine-18)  "
"55 <p> By the spring of 1948 , Washington 's resolve to avoid sending American military units to Palestine had merged with widespread fears that the Soviet Union would manipulate the continuing disorder in the territory to its own advantage .","55/CD <p>/NN By/IN the/DT spring/NN of/IN 1948/CD ,/, Washington/NNP 's/POS resolve/NN to/TO avoid/VB sending/VBG American/JJ military/JJ units/NNS to/TO Palestine/NNP had/VBD merged/VBN with/IN widespread/JJ fears/NNS that/IN the/DT Soviet/NNP Union/NNP would/MD manipulate/VB the/DT continuing/VBG disorder/NN in/IN the/DT territory/NN to/TO its/PRP$ own/JJ advantage/NN ./.","nummod(<p>-2, 55-1) nmod:by(merged-21, <p>-2) case(<p>-2, By-3) det(spring-5, the-4) dep(<p>-2, spring-5) case(1948-7, of-6) nmod:of(spring-5, 1948-7) nmod:poss(resolve-11, Washington-9) case(Washington-9, 's-10) nsubj(merged-21, resolve-11) mark(avoid-13, to-12) acl(resolve-11, avoid-13) xcomp(avoid-13, sending-14) amod(units-17, American-15) amod(units-17, military-16) dobj(sending-14, units-17) case(Palestine-19, to-18) nmod:to(sending-14, Palestine-19) aux(merged-21, had-20) root(ROOT-0, merged-21) case(fears-24, with-22) amod(fears-24, widespread-23) nmod:with(merged-21, fears-24) mark(manipulate-30, that-25) det(Union-28, the-26) compound(Union-28, Soviet-27) nsubj(manipulate-30, Union-28) aux(manipulate-30, would-29) ccomp(merged-21, manipulate-30) det(disorder-33, the-31) amod(disorder-33, continuing-32) dobj(manipulate-30, disorder-33) case(territory-36, in-34) det(territory-36, the-35) nmod:in(disorder-33, territory-36) case(advantage-40, to-37) nmod:poss(advantage-40, its-38) amod(advantage-40, own-39) nmod:to(territory-36, advantage-40)  "
The USSR is the only nation that would gain from sending troops to Palestine .,The/DT USSR/NN is/VBZ the/DT only/JJ nation/NN that/WDT would/MD gain/VB from/IN sending/VBG troops/NNS to/TO Palestine/NNP ./.,"det(USSR-2, The-1) nsubj(nation-6, USSR-2) cop(nation-6, is-3) det(nation-6, the-4) amod(nation-6, only-5) root(ROOT-0, nation-6) nsubj(gain-9, nation-6) ref(nation-6, that-7) aux(gain-9, would-8) acl:relcl(nation-6, gain-9) mark(sending-11, from-10) advcl(gain-9, sending-11) dobj(sending-11, troops-12) case(Palestine-14, to-13) nmod:to(sending-11, Palestine-14)  "
"On 14 October 1953 , Eisenhower announced that he was sending Ambassador Eric Johnston to the Middle East as his personal representative to explore possibilities for the joint use by the riparian states of Jordan , Lebanon , Syria , and Israel of the waters of the Jordan River for irrigation systems and hydroelectric facilities .","On/IN 14/CD October/NNP 1953/CD ,/, Eisenhower/NNP announced/VBD that/IN he/PRP was/VBD sending/VBG Ambassador/NNP Eric/NNP Johnston/NNP to/TO the/DT Middle/NNP East/NNP as/IN his/PRP$ personal/JJ representative/NN to/TO explore/VB possibilities/NNS for/IN the/DT joint/JJ use/NN by/IN the/DT riparian/NN states/NNS of/IN Jordan/NNP ,/, Lebanon/NNP ,/, Syria/NNP ,/, and/CC Israel/NNP of/IN the/DT waters/NNS of/IN the/DT Jordan/NNP River/NNP for/IN irrigation/NN systems/NNS and/CC hydroelectric/JJ facilities/NNS ./.","case(14-2, On-1) nmod:on(announced-7, 14-2) nmod:tmod(announced-7, October-3) nummod(October-3, 1953-4) nsubj(announced-7, Eisenhower-6) root(ROOT-0, announced-7) mark(sending-11, that-8) nsubj(sending-11, he-9) aux(sending-11, was-10) ccomp(announced-7, sending-11) compound(Johnston-14, Ambassador-12) compound(Johnston-14, Eric-13) dobj(sending-11, Johnston-14) case(East-18, to-15) det(East-18, the-16) compound(East-18, Middle-17) nmod:to(Johnston-14, East-18) case(representative-22, as-19) nmod:poss(representative-22, his-20) amod(representative-22, personal-21) nmod:as(sending-11, representative-22) mark(explore-24, to-23) advcl(sending-11, explore-24) dobj(explore-24, possibilities-25) case(use-29, for-26) det(use-29, the-27) amod(use-29, joint-28) nmod:for(possibilities-25, use-29) case(states-33, by-30) det(states-33, the-31) compound(states-33, riparian-32) nmod:by(explore-24, states-33) case(Syria-39, of-34) compound(Syria-39, Jordan-35) appos(Syria-39, Lebanon-37) nmod:of(states-33, Syria-39) cc(states-33, and-41) nmod:by(explore-24, Israel-42) conj:and(states-33, Israel-42) case(waters-45, of-43) det(waters-45, the-44) nmod:of(Israel-42, waters-45) case(River-49, of-46) det(River-49, the-47) compound(River-49, Jordan-48) nmod:of(waters-45, River-49) case(systems-52, for-50) compound(systems-52, irrigation-51) nmod:for(explore-24, systems-52) cc(systems-52, and-53) amod(facilities-55, hydroelectric-54) nmod:for(explore-24, facilities-55) conj:and(systems-52, facilities-55)  "
"65 For instance , when Nixon dramatized his words by sending the Sixth Fleet to the eastern Mediterranean , the Soviets docilely got out of the way to avoid a confrontation.","65/CD For/IN instance/NN ,/, when/WRB Nixon/NNP dramatized/VBD his/PRP$ words/NNS by/IN sending/VBG the/DT Sixth/NNP Fleet/NNP to/TO the/DT eastern/JJ Mediterranean/NNP ,/, the/DT Soviets/NNPS docilely/RB got/VBD out/RP of/IN the/DT way/NN to/TO avoid/VB a/DT confrontation/NN ./.","nmod:for(got-23, 65-1) case(65-1, For-2) dep(65-1, instance-3) advmod(dramatized-7, when-5) nsubj(dramatized-7, Nixon-6) advcl(got-23, dramatized-7) nmod:poss(words-9, his-8) dobj(dramatized-7, words-9) mark(sending-11, by-10) advcl(dramatized-7, sending-11) det(Fleet-14, the-12) compound(Fleet-14, Sixth-13) dobj(sending-11, Fleet-14) case(Mediterranean-18, to-15) det(Mediterranean-18, the-16) amod(Mediterranean-18, eastern-17) nmod:to(sending-11, Mediterranean-18) det(Soviets-21, the-20) nsubj(got-23, Soviets-21) nsubj(avoid-29, Soviets-21) advmod(got-23, docilely-22) root(ROOT-0, got-23) compound:prt(got-23, out-24) case(way-27, of-25) det(way-27, the-26) nmod:of(got-23, way-27) mark(avoid-29, to-28) xcomp(got-23, avoid-29) det(confrontation-31, a-30) dobj(avoid-29, confrontation-31)  "
"In sending his instructions to Kissinger as the secretary arrived in Moscow , Nixon wrote that on reflection Brezhnev had been right at the previous June summit when he made his impassioned plea for an imposed peace .","In/IN sending/VBG his/PRP$ instructions/NNS to/TO Kissinger/NNP as/IN the/DT secretary/NN arrived/VBN in/IN Moscow/NNP ,/, Nixon/NNP wrote/VBD that/IN on/IN reflection/NN Brezhnev/NNP had/VBD been/VBN right/JJ at/IN the/DT previous/JJ June/NNP summit/NN when/WRB he/PRP made/VBD his/PRP$ impassioned/JJ plea/NN for/IN an/DT imposed/JJ peace/NN ./.","mark(sending-2, In-1) advcl(wrote-15, sending-2) nmod:poss(instructions-4, his-3) dobj(sending-2, instructions-4) case(Kissinger-6, to-5) nmod:to(sending-2, Kissinger-6) case(secretary-9, as-7) det(secretary-9, the-8) nmod:as(sending-2, secretary-9) acl(secretary-9, arrived-10) case(Moscow-12, in-11) nmod:in(arrived-10, Moscow-12) nsubj(wrote-15, Nixon-14) root(ROOT-0, wrote-15) mark(right-22, that-16) case(reflection-18, on-17) nmod:on(right-22, reflection-18) nsubj(right-22, Brezhnev-19) aux(right-22, had-20) cop(right-22, been-21) ccomp(wrote-15, right-22) case(summit-27, at-23) det(summit-27, the-24) amod(summit-27, previous-25) compound(summit-27, June-26) nmod:at(right-22, summit-27) advmod(made-30, when-28) nsubj(made-30, he-29) advcl(right-22, made-30) nmod:poss(plea-33, his-31) amod(plea-33, impassioned-32) dobj(made-30, plea-33) case(peace-37, for-34) det(peace-37, an-35) amod(peace-37, imposed-36) nmod:for(made-30, peace-37)  "
