sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Compounds,Adjectival Modifiers,Possesed (owned by noun),Possesive (owner of noun),Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositional Modifiers,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"The only "" fly in the ointment "" was fear of the reaction this might provoke from their members ( not to mention their allied organizations within the UASP ) at the prospect of cutting a deal with their old arch-enemies : landed patrones and industrial jefes .",The/DT only/JJ ''/'' fly/NN in/IN the/DT ointment/NN ''/'' was/VBD fear/NN of/IN the/DT reaction/NN this/DT might/MD provoke/VB from/IN their/PRP$ members/NNS -LRB-/-LRB- not/RB to/TO mention/VB their/PRP$ allied/JJ organizations/NNS within/IN the/DT UASP/NNP -RRB-/-RRB- at/IN the/DT prospect/NN of/IN cutting/VBG a/DT deal/NN with/IN their/PRP$ old/JJ arch-enemies/NNS :/: landed/JJ patrones/NNS and/CC industrial/JJ jefes/NNS ./.,"det(fly-4, The-1) amod(fly-4, only-2) nsubj(fear-10, fly-4) case(ointment-7, in-5) det(ointment-7, the-6) nmod:in(fly-4, ointment-7) cop(fear-10, was-9) root(ROOT-0, fear-10) case(reaction-13, of-11) det(reaction-13, the-12) nmod:of(fear-10, reaction-13) nsubj(provoke-16, this-14) aux(provoke-16, might-15) acl:relcl(reaction-13, provoke-16) case(members-19, from-17) nmod:poss(members-19, their-18) nmod:from(provoke-16, members-19) neg(mention-23, not-21) mark(mention-23, to-22) dep(fear-10, mention-23) nmod:poss(organizations-26, their-24) amod(organizations-26, allied-25) dobj(mention-23, organizations-26) case(UASP-29, within-27) det(UASP-29, the-28) nmod:within(mention-23, UASP-29) case(prospect-33, at-31) det(prospect-33, the-32) nmod:at(fear-10, prospect-33) mark(cutting-35, of-34) acl(prospect-33, cutting-35) det(deal-37, a-36) dobj(cutting-35, deal-37) case(arch-enemies-41, with-38) nmod:poss(arch-enemies-41, their-39) amod(arch-enemies-41, old-40) nmod:with(cutting-35, arch-enemies-41) amod(patrones-44, landed-43) dep(prospect-33, patrones-44) cc(patrones-44, and-45) amod(jefes-47, industrial-46) dep(prospect-33, jefes-47) conj:and(patrones-44, jefes-47)  ",fly,4,"det(fly-4, The-1) amod(fly-4, only-2) nmod:in(fly-4, ointment-7) nsubj(fear-10, fly-4) ","The only "" fly in the ointment "" was",NN,[],was,VBD,subject,[],"[('in', 'ointment')]",['in'],[],['ointment'],['The'],[],[],['only'],[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown,unknown
"Now in his mid-seventies , Spitzer is driven by the desire to see the Space Telescope fly , to realize a dream he had more than forty years ago .","Now/RB in/IN his/PRP$ mid-seventies/NNS ,/, Spitzer/NNP is/VBZ driven/VBN by/IN the/DT desire/NN to/TO see/VB the/DT Space/NNP Telescope/NNP fly/NN ,/, to/TO realize/VB a/DT dream/NN he/PRP had/VBD more/JJR than/IN forty/CD years/NNS ago/RB ./.","advmod(mid-seventies-4, Now-1) case(mid-seventies-4, in-2) nmod:poss(mid-seventies-4, his-3) nmod:in(driven-8, mid-seventies-4) nsubjpass(driven-8, Spitzer-6) nsubj(see-13, Spitzer-6) auxpass(driven-8, is-7) root(ROOT-0, driven-8) case(desire-11, by-9) det(desire-11, the-10) nmod:by(driven-8, desire-11) mark(see-13, to-12) xcomp(driven-8, see-13) det(fly-17, the-14) compound(fly-17, Space-15) compound(fly-17, Telescope-16) dobj(see-13, fly-17) mark(realize-20, to-19) advcl(see-13, realize-20) det(dream-22, a-21) dobj(realize-20, dream-22) nsubj(had-24, he-23) acl:relcl(dream-22, had-24) advmod(forty-27, more-25) mwe(more-25, than-26) nummod(years-28, forty-27) nmod:npmod(ago-29, years-28) advmod(had-24, ago-29)  ",fly,17,"det(fly-17, the-14) compound(fly-17, Space-15) compound(fly-17, Telescope-16) dobj(see-13, fly-17) ","to see the Space Telescope fly , to realize a dream",NN,[],see,VB,object,[],[],[],[],[],['the'],[],"['Space', 'Telescope']",[],[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown,unknown
"<p> As usual , Section 4 , the updating of IGFA 's "" world records "" for freshwater and saltwater trophies and fly fishing catches will be of interest to many readers .","<p>/JJ As/IN usual/JJ ,/, Section/NNP 4/CD ,/, the/DT updating/NN of/IN IGFA/NNP 's/POS ''/'' world/NN records/NNS ''/'' for/IN freshwater/NN and/CC saltwater/NN trophies/NNS and/CC fly/NN fishing/NN catches/NNS will/MD be/VB of/IN interest/NN to/TO many/JJ readers/NNS ./.","amod(records-15, <p>-1) case(usual-3, As-2) nmod:as(<p>-1, usual-3) appos(usual-3, Section-5) nummod(Section-5, 4-6) det(updating-9, the-8) appos(usual-3, updating-9) case(IGFA-11, of-10) nmod:'s(updating-9, IGFA-11) case(IGFA-11, 's-12) compound(records-15, world-14) nsubj(interest-29, records-15) case(trophies-21, for-17) compound(trophies-21, freshwater-18) cc(freshwater-18, and-19) conj:and(freshwater-18, saltwater-20) compound(trophies-21, saltwater-20) nmod:for(records-15, trophies-21) cc(trophies-21, and-22) compound(catches-25, fly-23) compound(catches-25, fishing-24) nmod:for(records-15, catches-25) conj:and(trophies-21, catches-25) aux(interest-29, will-26) cop(interest-29, be-27) case(interest-29, of-28) root(ROOT-0, interest-29) case(readers-32, to-30) amod(readers-32, many-31) nmod:to(interest-29, readers-32)  ",fly,23,"compound(catches-25, fly-23) ",freshwater and saltwater trophies and fly fishing catches will be of,NN,[],,,,,[],[],[],[],[],[],['catches'],[],[],[],[],[],[],[],[],[],,,singular,,,unknown,unknown
AH large power plants will burn low-sulfur ( one percent ) coal and capture the fly ash .,AH/NNP large/JJ power/NN plants/NNS will/MD burn/VB low-sulfur/JJ -LRB-/-LRB- one/CD percent/NN -RRB-/-RRB- coal/NNS and/CC capture/VB the/DT fly/NN ash/JJ ./.,"compound(plants-4, AH-1) amod(plants-4, large-2) compound(plants-4, power-3) nsubj(burn-6, plants-4) nsubj(capture-14, plants-4) aux(burn-6, will-5) root(ROOT-0, burn-6) amod(coal-12, low-sulfur-7) nummod(percent-10, one-9) appos(coal-12, percent-10) dobj(burn-6, coal-12) cc(burn-6, and-13) conj:and(burn-6, capture-14) det(fly-16, the-15) nsubj(ash-17, fly-16) xcomp(capture-14, ash-17)  ",fly,16,"det(fly-16, the-15) nsubj(ash-17, fly-16) ",) coal and capture the fly ash .,NN,[],,,subject,[],[],[],[],[],['the'],[],[],[],[],[],[],[],[],[],[],[],,,singular,,,unknown,unknown
"( CaSO4 ) , which is collected along with the fly ash in a particulate-control device .","-LRB-/-LRB- CaSO4/NNP -RRB-/-RRB- ,/, which/WDT is/VBZ collected/VBN along/RP with/IN the/DT fly/NN ash/VBZ in/IN a/DT particulate-control/JJ device/NN ./.","nsubjpass(collected-7, CaSO4-2) nsubj(ash-12, CaSO4-2) ref(CaSO4-2, which-5) auxpass(collected-7, is-6) acl:relcl(CaSO4-2, collected-7) compound:prt(collected-7, along-8) case(fly-11, with-9) det(fly-11, the-10) nmod:with(collected-7, fly-11) root(ROOT-0, ash-12) case(device-16, in-13) det(device-16, a-14) amod(device-16, particulate-control-15) nmod:in(ash-12, device-16)  ",fly,11,"case(fly-11, with-9) det(fly-11, the-10) nmod:with(collected-7, fly-11) ",is collected along with the fly ash in a particulate-control device,NN,[],,,,,"[('with', 'collected')]",['with'],['collected'],[],['the'],[],[],[],[],[],[],['with'],[],[],[],[],,,singular,,,unknown,unknown
Another issue is that fly ash may have a lower resale value if it absorbs ammonia .,Another/DT issue/NN is/VBZ that/IN fly/NN ash/NNS may/MD have/VB a/DT lower/JJR resale/NN value/NN if/IN it/PRP absorbs/VBZ ammonia/NN ./.,"det(issue-2, Another-1) nsubj(is-3, issue-2) root(ROOT-0, is-3) mark(have-8, that-4) compound(ash-6, fly-5) nsubj(have-8, ash-6) aux(have-8, may-7) ccomp(is-3, have-8) det(value-12, a-9) amod(value-12, lower-10) compound(value-12, resale-11) dobj(have-8, value-12) mark(absorbs-15, if-13) nsubj(absorbs-15, it-14) advcl(have-8, absorbs-15) dobj(absorbs-15, ammonia-16)  ",fly,5,"compound(ash-6, fly-5) ",Another issue is that fly ash may have a lower,NN,[],have,VB,subject,[],[],[],[],[],[],[],['ash'],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown,unknown
"Regular UNLU communiques are issued with general political considerations and specific instructions to the citizens , a surprising number of which are at least par fly carried out .","Regular/JJ UNLU/NN communiques/NNS are/VBP issued/VBN with/IN general/JJ political/JJ considerations/NNS and/CC specific/JJ instructions/NNS to/TO the/DT citizens/NNS ,/, a/DT surprising/JJ number/NN of/IN which/WDT are/VBP at/IN least/JJS par/JJ fly/NN carried/VBN out/RP ./.","amod(communiques-3, Regular-1) compound(communiques-3, UNLU-2) nsubjpass(issued-5, communiques-3) auxpass(issued-5, are-4) root(ROOT-0, issued-5) case(considerations-9, with-6) amod(considerations-9, general-7) amod(considerations-9, political-8) nmod:with(issued-5, considerations-9) cc(considerations-9, and-10) amod(instructions-12, specific-11) nmod:with(issued-5, instructions-12) conj:and(considerations-9, instructions-12) case(citizens-15, to-13) det(citizens-15, the-14) nmod:to(issued-5, citizens-15) det(number-19, a-17) amod(number-19, surprising-18) appos(citizens-15, number-19) mark(fly-26, of-20) nsubj(fly-26, which-21) cop(fly-26, are-22) advmod(fly-26, at-23) mwe(at-23, least-24) amod(fly-26, par-25) acl(number-19, fly-26) acl(fly-26, carried-27) compound:prt(carried-27, out-28)  ",fly,26,"mark(fly-26, of-20) nsubj(fly-26, which-21) cop(fly-26, are-22) advmod(fly-26, at-23) amod(fly-26, par-25) acl(fly-26, carried-27) acl(number-19, fly-26) ",which are at least par fly carried out .,NN,[],are,VBP,object,[],[],[],[],[],[],[],[],['par'],[],[],[],[],['at'],[],[],['of'],,,singular,plural,EX-PL,countable,nonverdical
Thoughts are like birds that fly in the sky yet leave no trail or trace ; they do n't disturb -- they merely come and go in the vastness and peacefulness .,Thoughts/NNS are/VBP like/IN birds/NNS that/IN fly/NN in/IN the/DT sky/NN yet/RB leave/VB no/DT trail/NN or/CC trace/VB ;/: they/PRP do/VBP n't/RB disturb/VB --/: they/PRP merely/RB come/VBP and/CC go/VBP in/IN the/DT vastness/NNS and/CC peacefulness/NNS ./.,"nsubj(birds-4, Thoughts-1) cop(birds-4, are-2) case(birds-4, like-3) root(ROOT-0, birds-4) mark(leave-11, that-5) nsubj(leave-11, fly-6) nsubj(trace-15, fly-6) case(sky-9, in-7) det(sky-9, the-8) nmod:in(fly-6, sky-9) advmod(leave-11, yet-10) ccomp(birds-4, leave-11) neg(trail-13, no-12) dobj(leave-11, trail-13) cc(leave-11, or-14) ccomp(birds-4, trace-15) conj:or(leave-11, trace-15) nsubj(disturb-20, they-17) aux(disturb-20, do-18) neg(disturb-20, n't-19) parataxis(birds-4, disturb-20) nsubj(come-24, they-22) nsubj(go-26, they-22) advmod(come-24, merely-23) parataxis(birds-4, come-24) cc(come-24, and-25) parataxis(birds-4, go-26) conj:and(come-24, go-26) case(vastness-29, in-27) det(vastness-29, the-28) nmod:in(come-24, vastness-29) cc(vastness-29, and-30) nmod:in(come-24, peacefulness-31) conj:and(vastness-29, peacefulness-31)  ",fly,6,"nmod:in(fly-6, sky-9) nsubj(leave-11, fly-6) nsubj(trace-15, fly-6) ",Thoughts are like birds that fly in the sky yet leave,NN,[],leave,VB,subject,[],"[('in', 'sky')]",['in'],[],['sky'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown,unknown
"Later , he discovered that the chief had stationed six of his men , with drawn bows and poisoned arrows , with orders to let fly at Mr. Lang if the chief seemed to be in danger .","Later/RB ,/, he/PRP discovered/VBD that/IN the/DT chief/NN had/VBD stationed/VBN six/CD of/IN his/PRP$ men/NNS ,/, with/IN drawn/JJ bows/NNS and/CC poisoned/VBN arrows/NNS ,/, with/IN orders/NNS to/TO let/VB fly/NN at/IN Mr./NNP Lang/NNP if/IN the/DT chief/NN seemed/VBD to/TO be/VB in/IN danger/NN ./.","advmod(discovered-4, Later-1) nsubj(discovered-4, he-3) root(ROOT-0, discovered-4) mark(stationed-9, that-5) det(chief-7, the-6) nsubj(stationed-9, chief-7) aux(stationed-9, had-8) ccomp(discovered-4, stationed-9) dobj(stationed-9, six-10) case(men-13, of-11) nmod:poss(men-13, his-12) nmod:of(six-10, men-13) case(bows-17, with-15) amod(bows-17, drawn-16) nmod:with(discovered-4, bows-17) cc(bows-17, and-18) amod(arrows-20, poisoned-19) nmod:with(discovered-4, arrows-20) conj:and(bows-17, arrows-20) case(orders-23, with-22) nmod:with(discovered-4, orders-23) mark(let-25, to-24) acl(orders-23, let-25) dobj(let-25, fly-26) case(Lang-29, at-27) compound(Lang-29, Mr.-28) nmod:at(let-25, Lang-29) mark(seemed-33, if-30) det(chief-32, the-31) nsubj(seemed-33, chief-32) nsubj(danger-37, chief-32) advcl(let-25, seemed-33) mark(danger-37, to-34) cop(danger-37, be-35) case(danger-37, in-36) xcomp(seemed-33, danger-37)  ",fly,26,"dobj(let-25, fly-26) ",", with orders to let fly at Mr. Lang if the",NN,[],let,VB,object,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown,unknown
"( He did , however , paint some miniatures under the guidance of Jacob Hoefnagel and particularly remembers one , not without pride , in which he had depicted two hazelnuts , the end of a candle , a tobacco pipe , and a rather large fly , all from life . )","-LRB-/-LRB- He/PRP did/VBD ,/, however/RB ,/, paint/VBP some/DT miniatures/NNS under/IN the/DT guidance/NN of/IN Jacob/NNP Hoefnagel/NNP and/CC particularly/RB remembers/VBZ one/CD ,/, not/RB without/IN pride/NN ,/, in/IN which/WDT he/PRP had/VBD depicted/VBN two/CD hazelnuts/NNS ,/, the/DT end/NN of/IN a/DT candle/NN ,/, a/DT tobacco/NN pipe/NN ,/, and/CC a/DT rather/RB large/JJ fly/NN ,/, all/DT from/IN life/NN ./. -RRB-/-RRB-","nsubj(did-3, He-2) nsubj(paint-7, He-2) nsubj(remembers-18, He-2) root(ROOT-0, did-3) advmod(did-3, however-5) conj:and(did-3, paint-7) det(miniatures-9, some-8) dobj(paint-7, miniatures-9) case(guidance-12, under-10) det(guidance-12, the-11) nmod:under(paint-7, guidance-12) case(Hoefnagel-15, of-13) compound(Hoefnagel-15, Jacob-14) nmod:of(guidance-12, Hoefnagel-15) cc(did-3, and-16) advmod(remembers-18, particularly-17) conj:and(did-3, remembers-18) dobj(remembers-18, one-19) neg(pride-23, not-21) case(pride-23, without-22) conj:and(did-3, pride-23) nmod:in(depicted-29, pride-23) case(which-26, in-25) ref(pride-23, which-26) nsubj(depicted-29, he-27) aux(depicted-29, had-28) acl:relcl(pride-23, depicted-29) nummod(hazelnuts-31, two-30) dobj(depicted-29, hazelnuts-31) det(end-34, the-33) dobj(depicted-29, end-34) conj:and(hazelnuts-31, end-34) case(candle-37, of-35) det(candle-37, a-36) nmod:of(end-34, candle-37) det(pipe-41, a-39) compound(pipe-41, tobacco-40) dobj(depicted-29, pipe-41) conj:and(hazelnuts-31, pipe-41) cc(hazelnuts-31, and-43) det(fly-47, a-44) advmod(large-46, rather-45) amod(fly-47, large-46) dobj(depicted-29, fly-47) conj:and(hazelnuts-31, fly-47) dep(pride-23, all-49) case(life-51, from-50) nmod:from(all-49, life-51)  ",fly,47,"det(fly-47, a-44) amod(fly-47, large-46) dobj(depicted-29, fly-47) conj:and(hazelnuts-31, fly-47) ",", and a rather large fly , all from life .",NN,[],depicted,VBN,object,[],[],[],[],[],['a'],"[('and', 'hazelnuts')]",[],['large'],[],[],[],[],[],[],[],[],a,unit,singular,ambiguous,A+N,countable,unknown
