sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
It is the story of a baby getting acquainted with a kitten .,It/PRP is/VBZ the/DT story/NN of/IN a/DT baby/NN getting/VBG acquainted/VBN with/IN a/DT kitten/NN ./.,"nsubj(story-4, It-1) cop(story-4, is-2) det(story-4, the-3) root(ROOT-0, story-4) case(baby-7, of-5) det(baby-7, a-6) nmod:of(story-4, baby-7) acl(baby-7, getting-8) xcomp(getting-8, acquainted-9) case(kitten-12, with-10) det(kitten-12, a-11) nmod:with(acquainted-9, kitten-12)  ",kitten,12,"case(kitten-12, with-10) det(kitten-12, a-11) nmod:with(acquainted-9, kitten-12) ",baby getting acquainted with a kitten .,NN,[],,,,,,,,,"[('with', 'acquainted')]",['with'],['acquainted'],[],['a'],indefinite article,[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['with'],[],[],[],[],[],[],a,unit,singular,linked,,['A+N'],countable,unknown
"Sam was just a baby snake , much too small to swallow even the littlest kitten .","Sam/NNP was/VBD just/RB a/DT baby/NN snake/NN ,/, much/RB too/RB small/JJ to/TO swallow/VB even/RB the/DT littlest/JJ kitten/NN ./."," nsubj(snake-6, Sam-1) cop(snake-6, was-2) advmod(snake-6, just-3) det(snake-6, a-4) compound(snake-6, baby-5) root(ROOT-0, snake-6) advmod(small-10, much-8) advmod(small-10, too-9) amod(snake-6, small-10) mark(swallow-12, to-11) xcomp(small-10, swallow-12) advmod(kitten-16, even-13) det(kitten-16, the-14) amod(kitten-16, littlest-15) dobj(swallow-12, kitten-16)  ",kitten,16,"advmod(kitten-16, even-13) det(kitten-16, the-14) amod(kitten-16, littlest-15) dobj(swallow-12, kitten-16) ",to swallow even the littlest kitten .,NN,[],swallow,VB,object,,,swallow,swallow,[],[],[],[],[],['the'],definite article,[],[],[],[],['littlest'],[0.08916666666666667],[0.05],[0.018125],[0.11583333333333332],[0.04583333333333334],[0.05083333333333334],[0.06166666666666666],[0.0225],[0.07354166666666667],[0.10375],[0.15],[0.12125],[0.0975],[],[],[],[],['even'],[],[],[],[],[],,,singular,linked,ambiguous,[],unknown,unknown
It is also true that experiments on kittens and dogs are more likely to bring out the protesters than research on snakes .,It/PRP is/VBZ also/RB true/JJ that/IN experiments/NNS on/IN kittens/NNS and/CC dogs/NNS are/VBP more/RBR likely/JJ to/TO bring/VB out/RP the/DT protesters/NNS than/IN research/NN on/IN snakes/NNS ./.," nsubj(true-4, It-1) cop(true-4, is-2) advmod(true-4, also-3) root(ROOT-0, true-4) mark(likely-13, that-5) nsubj(likely-13, experiments-6) nsubj(bring-15, experiments-6) case(kittens-8, on-7) nmod:on(experiments-6, kittens-8) cc(kittens-8, and-9) nmod:on(experiments-6, dogs-10) conj:and(kittens-8, dogs-10) cop(likely-13, are-11) advmod(likely-13, more-12) ccomp(true-4, likely-13) mark(bring-15, to-14) xcomp(likely-13, bring-15) compound:prt(bring-15, out-16) det(protesters-18, the-17) dobj(bring-15, protesters-18) case(research-20, than-19) nmod:than(bring-15, research-20) case(snakes-22, on-21) nmod:on(research-20, snakes-22)  ",kittens,8,"case(kittens-8, on-7) cc(kittens-8, and-9) conj:and(kittens-8, dogs-10) nmod:on(experiments-6, kittens-8) ",also true that experiments on kittens and dogs are more likely,NNS,[],,,,,,,,,"[('on', 'experiments')]",['on'],['experiments'],[],[],,"[('and', 'dogs')]",['and'],['dogs'],[],[],,,,,,,,,,,,,,[],[],[],['on'],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
"Jaguaren ; ' in fact , became a Diktonius trademark for the rest of his life even after he redecorated his bestiary to make room for gentler creatures such as cats and kittens and -- at end of his life -- eroded sphinxes .","Jaguaren/NNP ;/, '/'' in/IN fact/NN ,/, became/VBD a/DT Diktonius/NNP trademark/NN for/IN the/DT rest/NN of/IN his/PRP$ life/NN even/RB after/IN he/PRP redecorated/VBD his/PRP$ bestiary/NN to/TO make/VB room/NN for/IN gentler/JJR creatures/NNS such/JJ as/IN cats/NNS and/CC kittens/NNS and/CC --/: at/IN end/NN of/IN his/PRP$ life/NN --/: eroded/VBN sphinxes/NNS ./."," nsubj(became-7, Jaguaren-1) case(fact-5, in-4) nmod:in(Jaguaren-1, fact-5) root(ROOT-0, became-7) det(trademark-10, a-8) compound(trademark-10, Diktonius-9) xcomp(became-7, trademark-10) case(rest-13, for-11) det(rest-13, the-12) nmod:for(became-7, rest-13) case(life-16, of-14) nmod:poss(life-16, his-15) nmod:of(rest-13, life-16) advmod(redecorated-20, even-17) mark(redecorated-20, after-18) nsubj(redecorated-20, he-19) nsubj(eroded-42, he-19) advcl(became-7, redecorated-20) nmod:poss(bestiary-22, his-21) dobj(redecorated-20, bestiary-22) mark(make-24, to-23) advcl(redecorated-20, make-24) dobj(make-24, room-25) case(creatures-28, for-26) amod(creatures-28, gentler-27) nmod:for(make-24, creatures-28) case(cats-31, such-29) mwe(such-29, as-30) nmod:such_as(creatures-28, cats-31) cc(cats-31, and-32) nmod:such_as(creatures-28, kittens-33) conj:and(cats-31, kittens-33) cc(redecorated-20, and-34) case(end-37, at-36) dep(redecorated-20, end-37) case(life-40, of-38) nmod:poss(life-40, his-39) nmod:of(end-37, life-40) advcl(became-7, eroded-42) conj:and(redecorated-20, eroded-42) dobj(eroded-42, sphinxes-43)  ",kittens,33,"nmod:such_as(creatures-28, kittens-33) conj:and(cats-31, kittens-33) ",creatures such as cats and kittens and -- at end of,NNS,[],,,,,,,,,"[('such_as', 'creatures')]",['such_as'],['creatures'],[],[],,"[('and', 'cats')]",['and'],['cats'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
Up to now the series has been like a new ball of string for a kitten -- wildly entertaining to bat around and see what happens .,Up/IN to/TO now/RB the/DT series/NN has/VBZ been/VBN like/IN a/DT new/JJ ball/NN of/IN string/NN for/IN a/DT kitten/NN --/: wildly/RB entertaining/JJ to/TO bat/VB around/RP and/CC see/VB what/WP happens/VBZ ./.," case(now-3, Up-1) case(now-3, to-2) nmod:to(ball-11, now-3) det(series-5, the-4) nsubj(ball-11, series-5) aux(ball-11, has-6) cop(ball-11, been-7) case(ball-11, like-8) det(ball-11, a-9) amod(ball-11, new-10) root(ROOT-0, ball-11) case(string-13, of-12) nmod:of(ball-11, string-13) case(kitten-16, for-14) det(kitten-16, a-15) nmod:for(ball-11, kitten-16) nsubj(happens-26, kitten-16) advmod(entertaining-19, wildly-18) dep(kitten-16, entertaining-19) mark(bat-21, to-20) xcomp(entertaining-19, bat-21) compound:prt(bat-21, around-22) cc(bat-21, and-23) xcomp(entertaining-19, see-24) conj:and(bat-21, see-24) ref(kitten-16, what-25) acl:relcl(kitten-16, happens-26)  ",kitten,16,"case(kitten-16, for-14) det(kitten-16, a-15) dep(kitten-16, entertaining-19) ref(kitten-16, what-25) acl:relcl(kitten-16, happens-26) nmod:for(ball-11, kitten-16) nsubj(happens-26, kitten-16) ",ball of string for a kitten -- wildly entertaining to bat,NN,[],happens,VBZ,subject,happens,happen,,,[],"[('for', 'ball')]",['for'],['ball'],[],['a'],indefinite article,[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['for'],[],[],[],[],[],[],a,unit,singular,linked,singular,['A+N'],countable,unknown
"There she gave birth to a kitten , which Coll threw into the Menai Straits .","There/RB she/PRP gave/VBD birth/NN to/TO a/DT kitten/NN ,/, which/WDT Coll/NNP threw/VBD into/IN the/DT Menai/NNP Straits/NNPS ./."," advmod(gave-3, There-1) nsubj(gave-3, she-2) root(ROOT-0, gave-3) dobj(gave-3, birth-4) case(kitten-7, to-5) det(kitten-7, a-6) nmod:to(gave-3, kitten-7) dobj(threw-11, kitten-7) ref(kitten-7, which-9) nsubj(threw-11, Coll-10) acl:relcl(kitten-7, threw-11) case(Straits-15, into-12) det(Straits-15, the-13) compound(Straits-15, Menai-14) nmod:into(threw-11, Straits-15)  ",kitten,7,"case(kitten-7, to-5) det(kitten-7, a-6) ref(kitten-7, which-9) acl:relcl(kitten-7, threw-11) nmod:to(gave-3, kitten-7) dobj(threw-11, kitten-7) ","she gave birth to a kitten , which Coll threw into",NN,[],threw,VBD,object,,,threw,throw,[],"[('to', 'gave')]",['to'],['gave'],[],['a'],indefinite article,[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['to'],[],[],[],[],[],[],a,unit,singular,linked,ambiguous,['A+N'],countable,unknown
"The kitten was eventually rescued by the people of Yns Mon , Wales 's largest offshore island , and grew into the fierce Cath Palug , symbolic of the Goddess 's destructive powers .","The/DT kitten/NN was/VBD eventually/RB rescued/VBN by/IN the/DT people/NNS of/IN Yns/NNP Mon/NNP ,/, Wales/NNP 's/POS largest/JJS offshore/JJ island/NN ,/, and/CC grew/VBD into/IN the/DT fierce/JJ Cath/NNP Palug/NNP ,/, symbolic/JJ of/IN the/DT Goddess/NNPS 's/POS destructive/JJ powers/NNS ./."," det(kitten-2, The-1) nsubjpass(rescued-5, kitten-2) nsubjpass(grew-20, kitten-2) auxpass(rescued-5, was-3) advmod(rescued-5, eventually-4) root(ROOT-0, rescued-5) case(people-8, by-6) det(people-8, the-7) nmod:by(rescued-5, people-8) case(Mon-11, of-9) compound(Mon-11, Yns-10) nmod:of(people-8, Mon-11) nmod:poss(island-17, Wales-13) case(Wales-13, 's-14) amod(island-17, largest-15) amod(island-17, offshore-16) appos(Mon-11, island-17) cc(rescued-5, and-19) conj:and(rescued-5, grew-20) case(Palug-25, into-21) det(Palug-25, the-22) amod(Palug-25, fierce-23) compound(Palug-25, Cath-24) nmod:into(grew-20, Palug-25) appos(Palug-25, symbolic-27) case(powers-33, of-28) det(Goddess-30, the-29) nmod:poss(powers-33, Goddess-30) case(Goddess-30, 's-31) amod(powers-33, destructive-32) nmod:of(symbolic-27, powers-33)  ",kitten,2,"det(kitten-2, The-1) nsubjpass(rescued-5, kitten-2) nsubjpass(grew-20, kitten-2) ",The kitten was eventually rescued by the,NN,[],rescued,VBN,subject,rescued,rescue,,,[],[],[],[],[],['The'],other,[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,singular,linked,ambiguous,[],unknown,unknown
<p> The Jedibe camp managers were supposed to get two orphaned African Wild Cat kittens to raise .,<p>/RB The/DT Jedibe/NNP camp/NN managers/NNS were/VBD supposed/VBN to/TO get/VB two/CD orphaned/NNP African/NNP Wild/NNP Cat/NN kittens/NNS to/TO raise/VB ./.," advmod(supposed-7, <p>-1) det(managers-5, The-2) compound(managers-5, Jedibe-3) compound(managers-5, camp-4) nsubjpass(supposed-7, managers-5) nsubj(get-9, managers-5) auxpass(supposed-7, were-6) root(ROOT-0, supposed-7) mark(get-9, to-8) xcomp(supposed-7, get-9) nummod(kittens-15, two-10) compound(kittens-15, orphaned-11) compound(kittens-15, African-12) compound(kittens-15, Wild-13) compound(kittens-15, Cat-14) dobj(get-9, kittens-15) mark(raise-17, to-16) advcl(get-9, raise-17)  ",kittens,15,"nummod(kittens-15, two-10) compound(kittens-15, orphaned-11) compound(kittens-15, African-12) compound(kittens-15, Wild-13) compound(kittens-15, Cat-14) dobj(get-9, kittens-15) ",two orphaned African Wild Cat kittens to raise .,NNS,[],get,VB,object,,,get,get,[],[],[],[],[],[],,[],[],[],"['orphaned', 'African', 'Wild', 'Cat']",[],,,,,,,,,,,,,,[],[],['two'],[],[],[],[],[],[],[],two,other,plural,linked,ambiguous,['O-DEN'],countable,unknown
The kittens ran into the den when we arrived but soon came back out and began nursing .,The/DT kittens/NNS ran/VBD into/IN the/DT den/NN when/WRB we/PRP arrived/VBD but/CC soon/RB came/VBD back/RP out/RP and/CC began/VBD nursing/NN ./.," det(kittens-2, The-1) nsubj(ran-3, kittens-2) root(ROOT-0, ran-3) case(den-6, into-4) det(den-6, the-5) nmod:into(ran-3, den-6) advmod(arrived-9, when-7) nsubj(arrived-9, we-8) nsubj(came-12, we-8) nsubj(began-16, we-8) advcl(ran-3, arrived-9) cc(arrived-9, but-10) advmod(came-12, soon-11) advcl(ran-3, came-12) conj:but(arrived-9, came-12) compound:prt(came-12, back-13) compound:prt(came-12, out-14) cc(arrived-9, and-15) advcl(ran-3, began-16) conj:and(arrived-9, began-16) dobj(began-16, nursing-17)  ",kittens,2,"det(kittens-2, The-1) nsubj(ran-3, kittens-2) ",The kittens ran into the den when,NNS,[],ran,VBD,subject,ran,run,,,[],[],[],[],[],['The'],other,[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,plural,linked,ambiguous,[],unknown,unknown
"After the kittens nursed , they began to play .","After/IN the/DT kittens/NNS nursed/VBD ,/, they/PRP began/VBD to/TO play/VB ./."," mark(nursed-4, After-1) det(kittens-3, the-2) nsubj(nursed-4, kittens-3) advcl(began-7, nursed-4) nsubj(began-7, they-6) nsubj(play-9, they-6) root(ROOT-0, began-7) mark(play-9, to-8) xcomp(began-7, play-9)  ",kittens,3,"det(kittens-3, the-2) nsubj(nursed-4, kittens-3) ","After the kittens nursed , they began to",NNS,[],nursed,VBD,subject,nursed,nurse,,,[],[],[],[],[],['the'],definite article,[],[],[],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,plural,linked,ambiguous,[],unknown,unknown
