,VP-ing,of-ing,DET-ing,DET-of-ing,Poss-ing,Poss-of-ing,Total
compound,0.5962732919254659,0.012422360248447204,0.2857142857142857,0.018633540372670808,0.0,0.0,0.1534795042897998
subject,0.5072463768115942,0.021739130434782608,0.21739130434782608,0.043478260869565216,0.007246376811594203,0.007246376811594203,0.1315538608198284
object,0.6885245901639344,0.02185792349726776,0.15300546448087432,0.0273224043715847,0.01092896174863388,0.01092896174863388,0.1744518589132507
adjectival modifier,0.5972222222222222,0.020833333333333332,0.2152777777777778,0.020833333333333332,0.0,0.0,0.13727359389895138
Adverbial Modifier,0.7272727272727273,0.0,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.010486177311725452
['as'],0.0,0.0,0.5,0.5,0.0,0.0,0.0019065776930409914
['toward'],1.0,0.0,0.0,0.0,0.0,0.0,0.0019065776930409914
['such_as'],1.0,0.0,0.0,0.0,0.0,0.0,0.0038131553860819827
['without'],0.5,0.0,0.5,0.0,0.0,0.0,0.0019065776930409914
['around'],0.5,0.0,0.0,0.0,0.0,0.0,0.0019065776930409914
['across'],0.0,0.0,1.0,0.0,0.0,0.0,0.0009532888465204957
['in'],0.6,0.0,0.12,0.02,0.0,0.0,0.047664442326024785
['from'],0.8,0.0,0.0,0.0,0.0,0.0,0.009532888465204958
['but'],0.0,0.0,1.0,0.0,0.0,0.0,0.0009532888465204957
['at'],0.5,0.25,0.25,0.0,0.0,0.0,0.0038131553860819827
['on'],0.625,0.0,0.25,0.0,0.0,0.0,0.0076263107721639654
['over'],0.0,0.0,0.5,0.0,0.0,0.0,0.0019065776930409914
['between'],0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.002859866539561487
['along'],1.0,0.0,0.0,0.0,0.0,0.0,0.0009532888465204957
['atop'],0.0,0.0,0.0,0.0,0.0,0.0,0.0009532888465204957
['rather_than'],1.0,0.0,0.0,0.0,0.0,0.0,0.0009532888465204957
['besides'],1.0,0.0,0.0,0.0,0.0,0.0,0.0009532888465204957
['during'],0.5,0.0,0.0,0.0,0.0,0.0,0.0038131553860819827
['while'],1.0,0.0,0.0,0.0,0.0,0.0,0.0009532888465204957
['by_means_of'],1.0,0.0,0.0,0.0,0.0,0.0,0.0009532888465204957
['including'],1.0,0.0,0.0,0.0,0.0,0.0,0.002859866539561487
['except_for'],0.0,0.0,0.0,0.0,0.0,0.0,0.0009532888465204957
['in_addition_to'],1.0,0.0,0.0,0.0,0.0,0.0,0.0009532888465204957
['beyond'],0.0,0.0,0.0,0.0,0.0,0.0,0.0009532888465204957
['like'],0.4,0.0,0.2,0.0,0.0,0.0,0.004766444232602479
['about'],0.5,0.0,0.25,0.0,0.0,0.0,0.0076263107721639654
['before'],0.5,0.0,0.5,0.0,0.0,0.0,0.0019065776930409914
['than'],0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.002859866539561487
['above'],0.0,0.0,1.0,0.0,0.0,0.0,0.0009532888465204957
['through'],0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,0.005719733079122974
['into'],0.0,0.0,0.0,0.0,0.0,0.0,0.0009532888465204957
['of'],0.6333333333333333,0.011111111111111112,0.16666666666666666,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.08579599618684461
['for'],0.7142857142857143,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.0,0.02669208770257388
['to'],0.72,0.0,0.08,0.08,0.0,0.0,0.023832221163012392
['throughout'],0.0,0.0,0.0,0.0,0.0,0.0,0.0009532888465204957
['with'],0.5,0.045454545454545456,0.09090909090909091,0.18181818181818182,0.0,0.0,0.020972354623450904
['by'],0.7692307692307693,0.0,0.15384615384615385,0.0,0.0,0.0,0.012392755004766444
['as'] -adv,1.0,0.0,0.0,0.0,0.0,0.0,0.0009532888465204957
['that'] -adv,0.5,0.0,0.5,0.0,0.0,0.0,0.0019065776930409914
['whether'] -adv,1.0,0.0,0.0,0.0,0.0,0.0,0.0009532888465204957
