sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"His book "" The Content of Our Character : A New Vision of Race in America "" will be published this August by St. Martin 's Press .",His/PRP$ book/NN ''/'' The/DT Content/NN of/IN Our/PRP$ Character/NN :/: A/DT New/NNP Vision/NNP of/IN Race/NNP in/IN America/NNP ''/'' will/MD be/VB published/VBN this/DT August/NNP by/IN St./NNP Martin/NNP 's/POS Press/NNP ./.,"nmod:poss(book-2, His-1) root(ROOT-0, book-2) det(Content-5, The-4) nsubjpass(published-20, Content-5) case(Character-8, of-6) nmod:poss(Character-8, Our-7) nmod:of(Content-5, Character-8) det(Vision-12, A-10) compound(Vision-12, New-11) dep(Character-8, Vision-12) case(Race-14, of-13) nmod:of(Vision-12, Race-14) case(America-16, in-15) nmod:in(Race-14, America-16) aux(published-20, will-18) auxpass(published-20, be-19) acl:relcl(book-2, published-20) det(August-22, this-21) nmod:tmod(published-20, August-22) case(Press-27, by-23) compound(Martin-25, St.-24) nmod:poss(Press-27, Martin-25) case(Martin-25, 's-26) nmod:by(published-20, Press-27)  ",book,2,"nmod:poss(book-2, His-1) acl:relcl(book-2, published-20) root(ROOT-0, book-2) ","His book "" The Content of Our",NN,[],,,,,,,,,[],[],[],[],[],,[],[],[],[],[],[],['His'],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"<p> 
##4000162 Section : Life and Letters <p> The prince of wales , in his speeches and book , "" A Vision for Britain , "" attacking modernist architects for buildings they have put up in the post-war years in Britain , has aroused an uproar among architects .","<p>/NNP ##/NNP 4000162/NNP Section/NNP :/: Life/NNP and/CC Letters/NNP <p>/VBP The/DT prince/NN of/IN wales/NNS ,/, in/IN his/PRP$ speeches/NNS and/CC book/NN ,/, ''/'' A/DT Vision/NNP for/IN Britain/NNP ,/, ''/'' attacking/VBG modernist/JJ architects/NNS for/IN buildings/NNS they/PRP have/VBP put/VBN up/RP in/IN the/DT post-war/JJ years/NNS in/IN Britain/NNP ,/, has/VBZ aroused/VBN an/DT uproar/NN among/IN architects/NNS ./.","compound(Section-4, <p>-1) compound(Section-4, ##-2) compound(Section-4, 4000162-3) root(ROOT-0, Section-4) nsubj(<p>-9, Life-6) cc(Life-6, and-7) conj:and(Life-6, Letters-8) nsubj(<p>-9, Letters-8) parataxis(Section-4, <p>-9) det(prince-11, The-10) nsubj(aroused-45, prince-11) case(wales-13, of-12) nmod:of(prince-11, wales-13) mark(attacking-28, in-15) nmod:poss(speeches-17, his-16) nsubj(attacking-28, speeches-17) cc(speeches-17, and-18) conj:and(speeches-17, book-19) nsubj(attacking-28, book-19) det(Vision-23, A-22) dep(speeches-17, Vision-23) case(Britain-25, for-24) nmod:for(Vision-23, Britain-25) advcl(aroused-45, attacking-28) amod(architects-30, modernist-29) dobj(attacking-28, architects-30) case(buildings-32, for-31) nmod:for(attacking-28, buildings-32) nsubj(put-35, they-33) aux(put-35, have-34) acl:relcl(buildings-32, put-35) compound:prt(put-35, up-36) case(years-40, in-37) det(years-40, the-38) amod(years-40, post-war-39) nmod:in(put-35, years-40) case(Britain-42, in-41) nmod:in(years-40, Britain-42) aux(aroused-45, has-44) ccomp(<p>-9, aroused-45) det(uproar-47, an-46) dobj(aroused-45, uproar-47) case(architects-49, among-48) nmod:among(uproar-47, architects-49)  ",book,19,"conj:and(speeches-17, book-19) nsubj(attacking-28, book-19) ","in his speeches and book , "" A Vision for Britain",NN,[],,,subject,,,,,[],[],[],[],[],[],,"[('and', 'speeches')]",['and'],['speeches'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"Of course we find the same preference in Pare Lorentz 's famous movie "" The City , "" made for the New York World 's Fair in 1939 , or in the books and articles of the reformers Clarence Stein and Lewis Mumford , advocating planned communities of low density for families .","Of/IN course/NN we/PRP find/VBP the/DT same/JJ preference/NN in/IN Pare/NNP Lorentz/NNP 's/POS famous/JJ movie/NN ''/'' The/DT City/NNP ,/, ''/'' made/VBD for/IN the/DT New/NNP York/NNP World/NNP 's/POS Fair/NN in/IN 1939/CD ,/, or/CC in/IN the/DT books/NNS and/CC articles/NNS of/IN the/DT reformers/NNS Clarence/NNP Stein/NNP and/CC Lewis/NNP Mumford/NNP ,/, advocating/VBG planned/VBN communities/NNS of/IN low/JJ density/NN for/IN families/NNS ./.","case(course-2, Of-1) nmod:of(find-4, course-2) nsubj(find-4, we-3) ccomp(made-19, find-4) det(preference-7, the-5) amod(preference-7, same-6) dobj(find-4, preference-7) case(movie-13, in-8) compound(Lorentz-10, Pare-9) nmod:poss(movie-13, Lorentz-10) case(Lorentz-10, 's-11) amod(movie-13, famous-12) nmod:in(preference-7, movie-13) det(City-16, The-15) dep(preference-7, City-16) root(ROOT-0, made-19) conj:or(made-19, made-19') case(Fair-26, for-20) det(World-24, the-21) compound(World-24, New-22) compound(World-24, York-23) nmod:poss(Fair-26, World-24) case(World-24, 's-25) nmod:for(made-19, Fair-26) case(1939-28, in-27) nmod:in(made-19, 1939-28) cc(made-19, or-30) case(books-33, in-31) det(books-33, the-32) nmod:in(made-19', books-33) cc(books-33, and-34) nmod:in(made-19', articles-35) conj:and(books-33, articles-35) case(reformers-38, of-36) det(reformers-38, the-37) nmod:of(books-33, reformers-38) compound(Stein-40, Clarence-39) nsubj(made-19, Stein-40) nsubj(made-19', Stein-40) cc(Stein-40, and-41) compound(Mumford-43, Lewis-42) nsubj(made-19, Mumford-43) conj:and(Stein-40, Mumford-43) advcl(made-19, advocating-45) amod(communities-47, planned-46) dobj(advocating-45, communities-47) case(density-50, of-48) amod(density-50, low-49) nmod:of(communities-47, density-50) case(families-52, for-51) nmod:for(density-50, families-52)  ",books,33,"case(books-33, in-31) det(books-33, the-32) cc(books-33, and-34) conj:and(books-33, articles-35) nmod:of(books-33, reformers-38) ","1939 , or in the books and articles of the reformers",NNS,[],,,,,,,,,"[('of', 'reformers')]",['of'],[],['reformers'],['the'],definite article,"[('and', 'articles')]",['and'],['articles'],[],[],[],[],[],['in'],[],[],[],[],[],[],,,plural,linked,,[],unknown,unknown
"Moshe Safdie , in his book "" Form and Purpose , "" shows pictures of Israeli apartment complexes on the hills around Jerusalem , built under a social democratic government .","Moshe/NNP Safdie/NNP ,/, in/IN his/PRP$ book/NN ''/'' Form/NN and/CC Purpose/NNP ,/, ''/'' shows/VBZ pictures/NNS of/IN Israeli/JJ apartment/NN complexes/NNS on/IN the/DT hills/NNS around/IN Jerusalem/NNP ,/, built/VBN under/IN a/DT social/JJ democratic/JJ government/NN ./.","compound(Safdie-2, Moshe-1) nsubj(shows-13, Safdie-2) case(book-6, in-4) nmod:poss(book-6, his-5) nmod:in(Safdie-2, book-6) dep(Safdie-2, Form-8) cc(Form-8, and-9) dep(Safdie-2, Purpose-10) conj:and(Form-8, Purpose-10) root(ROOT-0, shows-13) dobj(shows-13, pictures-14) case(complexes-18, of-15) amod(complexes-18, Israeli-16) compound(complexes-18, apartment-17) nmod:of(pictures-14, complexes-18) case(hills-21, on-19) det(hills-21, the-20) nmod:on(pictures-14, hills-21) case(Jerusalem-23, around-22) nmod:around(hills-21, Jerusalem-23) acl(pictures-14, built-25) case(government-30, under-26) det(government-30, a-27) amod(government-30, social-28) amod(government-30, democratic-29) nmod:under(built-25, government-30)  ",book,6,"case(book-6, in-4) nmod:poss(book-6, his-5) nmod:in(Safdie-2, book-6) ","Moshe Safdie , in his book "" Form and Purpose ,",NN,[],,,,,,,,,"[('in', 'Safdie')]",['in'],['Safdie'],[],[],,[],[],[],[],[],[],['his'],[],['in'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"There is an aerial photograph , much reproduced in reformist books on housing and urbanism , of one of our first housing projects , set in the midst of a sea of slums and tenements in Brooklyn .","There/EX is/VBZ an/DT aerial/JJ photograph/NN ,/, much/RB reproduced/JJ in/IN reformist/JJ books/NNS on/IN housing/NN and/CC urbanism/NN ,/, of/IN one/CD of/IN our/PRP$ first/JJ housing/NN projects/NNS ,/, set/VBN in/IN the/DT midst/NN of/IN a/DT sea/NN of/IN slums/NNS and/CC tenements/NNS in/IN Brooklyn/NNP ./.","expl(is-2, There-1) root(ROOT-0, is-2) det(photograph-5, an-3) amod(photograph-5, aerial-4) nsubj(is-2, photograph-5) advmod(reproduced-8, much-7) amod(photograph-5, reproduced-8) case(books-11, in-9) amod(books-11, reformist-10) nmod:in(reproduced-8, books-11) case(housing-13, on-12) nmod:on(books-11, housing-13) cc(housing-13, and-14) nmod:on(books-11, urbanism-15) conj:and(housing-13, urbanism-15) case(one-18, of-17) nmod:of(photograph-5, one-18) case(projects-23, of-19) nmod:poss(projects-23, our-20) amod(projects-23, first-21) compound(projects-23, housing-22) nmod:of(one-18, projects-23) acl(photograph-5, set-25) case(midst-28, in-26) det(midst-28, the-27) nmod:in(set-25, midst-28) case(sea-31, of-29) det(sea-31, a-30) nmod:of(midst-28, sea-31) case(slums-33, of-32) nmod:of(sea-31, slums-33) cc(slums-33, and-34) nmod:of(sea-31, tenements-35) conj:and(slums-33, tenements-35) case(Brooklyn-37, in-36) nmod:in(set-25, Brooklyn-37)  ",books,11,"case(books-11, in-9) amod(books-11, reformist-10) nmod:on(books-11, housing-13) nmod:on(books-11, urbanism-15) nmod:in(reproduced-8, books-11) ",", much reproduced in reformist books on housing and urbanism ,",NNS,[],,,,,,,,,"[('on', 'housing'), ('on', 'urbanism'), ('in', 'reproduced')]","['on', 'on', 'in']",['reproduced'],"['housing', 'urbanism']",[],,[],[],[],[],['reformist'],[],[],[],['in'],[],[],[],[],[],[],,,plural,linked,,[],unknown,unknown
"In years of leafing through architectural books and magazines , I have never yet seen a picture of one of these Mediterranean urban environments that was used to illustrate a bad environment .","In/IN years/NNS of/IN leafing/VBG through/IN architectural/JJ books/NNS and/CC magazines/NNS ,/, I/PRP have/VBP never/RB yet/RB seen/VBN a/DT picture/NN of/IN one/CD of/IN these/DT Mediterranean/NNP urban/JJ environments/NNS that/WDT was/VBD used/VBN to/TO illustrate/VB a/DT bad/JJ environment/NN ./.","case(years-2, In-1) nmod:in(seen-15, years-2) mark(leafing-4, of-3) acl(years-2, leafing-4) case(books-7, through-5) amod(books-7, architectural-6) nmod:through(leafing-4, books-7) cc(books-7, and-8) nmod:through(leafing-4, magazines-9) conj:and(books-7, magazines-9) nsubj(seen-15, I-11) aux(seen-15, have-12) neg(seen-15, never-13) advmod(seen-15, yet-14) root(ROOT-0, seen-15) det(picture-17, a-16) dobj(seen-15, picture-17) case(one-19, of-18) nmod:of(picture-17, one-19) case(environments-24, of-20) det(environments-24, these-21) compound(environments-24, Mediterranean-22) amod(environments-24, urban-23) nmod:of(picture-17, environments-24) nsubjpass(used-27, environments-24) nsubj(illustrate-29, environments-24) ref(environments-24, that-25) auxpass(used-27, was-26) acl:relcl(environments-24, used-27) mark(illustrate-29, to-28) xcomp(used-27, illustrate-29) det(environment-32, a-30) amod(environment-32, bad-31) dobj(illustrate-29, environment-32)  ",books,7,"case(books-7, through-5) amod(books-7, architectural-6) cc(books-7, and-8) conj:and(books-7, magazines-9) nmod:through(leafing-4, books-7) ","years of leafing through architectural books and magazines , I have",NNS,[],,,,,,,,,"[('through', 'leafing')]",['through'],['leafing'],[],[],,"[('and', 'magazines')]",['and'],['magazines'],[],['architectural'],[],[],[],['through'],[],[],[],[],[],[],,,plural,linked,,[],unknown,unknown
"His most recent book is "" The Limits of Social Policy . """,His/PRP$ most/RBS recent/JJ book/NN is/VBZ ''/'' The/DT Limits/JJ of/IN Social/NNP Policy/NNP ./. ''/'',"nmod:poss(book-4, His-1) advmod(recent-3, most-2) amod(book-4, recent-3) nsubj(Limits-8, book-4) aux(Limits-8, is-5) det(Limits-8, The-7) root(ROOT-0, Limits-8) case(Policy-11, of-9) compound(Policy-11, Social-10) nmod:of(Limits-8, Policy-11)  ",book,4,"nmod:poss(book-4, His-1) amod(book-4, recent-3) nsubj(Limits-8, book-4) ","His most recent book is "" The Limits of",NN,[],,,subject,,,,,[],[],[],[],[],[],,[],[],[],[],['recent'],[],['His'],[],[],[],[],[],[],[],[],,,singular,linked,,[],unknown,unknown
"Although Maugham at first vigorously denied it , the book was widely recognized upon publication as a vicious portrait of Thomas Hardy ( who had died two years earlier ) and Florence Dugdale Hardy , his second wife .","Although/IN Maugham/NNP at/IN first/JJ vigorously/RB denied/VBD it/PRP ,/, the/DT book/NN was/VBD widely/RB recognized/VBN upon/IN publication/NN as/IN a/DT vicious/JJ portrait/NN of/IN Thomas/NNP Hardy/NNP -LRB-/-LRB- who/WP had/VBD died/VBN two/CD years/NNS earlier/RBR -RRB-/-RRB- and/CC Florence/NNP Dugdale/NNP Hardy/NNP ,/, his/PRP$ second/JJ wife/NN ./.","mark(denied-6, Although-1) nsubj(denied-6, Maugham-2) case(first-4, at-3) nmod:at(Maugham-2, first-4) advmod(denied-6, vigorously-5) advcl(recognized-13, denied-6) dobj(denied-6, it-7) det(book-10, the-9) nsubjpass(recognized-13, book-10) auxpass(recognized-13, was-11) advmod(recognized-13, widely-12) root(ROOT-0, recognized-13) case(publication-15, upon-14) nmod:upon(recognized-13, publication-15) case(portrait-19, as-16) det(portrait-19, a-17) amod(portrait-19, vicious-18) nmod:as(recognized-13, portrait-19) case(Hardy-22, of-20) compound(Hardy-22, Thomas-21) nmod:of(portrait-19, Hardy-22) nsubj(died-26, who-24) aux(died-26, had-25) dep(portrait-19, died-26) nummod(years-28, two-27) nmod:npmod(earlier-29, years-28) advmod(died-26, earlier-29) cc(portrait-19, and-31) compound(Hardy-34, Florence-32) compound(Hardy-34, Dugdale-33) nmod:as(recognized-13, Hardy-34) conj:and(portrait-19, Hardy-34) nmod:poss(wife-38, his-36) amod(wife-38, second-37) appos(Hardy-34, wife-38)  ",book,10,"det(book-10, the-9) nsubjpass(recognized-13, book-10) ","vigorously denied it , the book was widely recognized upon publication",NN,[],recognized,VBN,subject,recognized,recognize,,,[],[],[],[],[],['the'],definite article,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,linked,ambiguous,[],unknown,unknown
"Maugham , of course , delighted in the notoriety , and watched the sales figures for his book mount as the publicity increased .","Maugham/NNP ,/, of/IN course/NN ,/, delighted/VBD in/IN the/DT notoriety/NN ,/, and/CC watched/VBD the/DT sales/NNS figures/VBZ for/IN his/PRP$ book/NN mount/VBP as/IN the/DT publicity/NN increased/VBD ./.","nsubj(delighted-6, Maugham-1) nsubj(watched-12, Maugham-1) case(course-4, of-3) nmod:of(Maugham-1, course-4) root(ROOT-0, delighted-6) case(notoriety-9, in-7) det(notoriety-9, the-8) nmod:in(delighted-6, notoriety-9) cc(delighted-6, and-11) conj:and(delighted-6, watched-12) det(sales-14, the-13) nsubj(figures-15, sales-14) ccomp(watched-12, figures-15) mark(mount-19, for-16) nmod:poss(book-18, his-17) nsubj(mount-19, book-18) advcl(figures-15, mount-19) mark(increased-23, as-20) det(publicity-22, the-21) nsubj(increased-23, publicity-22) advcl(mount-19, increased-23)  ",book,18,"nmod:poss(book-18, his-17) nsubj(mount-19, book-18) ",the sales figures for his book mount as the publicity increased,NN,[],mount,VBP,subject,mount,mount,,,[],[],[],[],[],[],,[],[],[],[],[],[],['his'],[],[],[],[],[],[],[],[],,,singular,bare singular,plural,['EX-PL'],countable,unknown
"The book 's narrator , a younger writer named Ashenden who had known Driffield and his first wife at Blackstable when he was a boy , describes Driffield near the end of his life : <p> He looked an old , old man , hanging on to mortality by a thread ; he wore very white false teeth and they made his smile seem forced and stiff .","The/DT book/NN 's/POS narrator/NN ,/, a/DT younger/JJR writer/NN named/VBN Ashenden/NNP who/WP had/VBD known/VBN Driffield/NNP and/CC his/PRP$ first/JJ wife/NN at/IN Blackstable/NNP when/WRB he/PRP was/VBD a/DT boy/NN ,/, describes/VBZ Driffield/NNP near/IN the/DT end/NN of/IN his/PRP$ life/NN :/: <p>/RB He/PRP looked/VBD an/DT old/JJ ,/, old/JJ man/NN ,/, hanging/VBG on/RP to/TO mortality/NN by/IN a/DT thread/NN ;/: he/PRP wore/VBD very/RB white/JJ false/JJ teeth/NNS and/CC they/PRP made/VBD his/PRP$ smile/NN seem/VBP forced/JJ and/CC stiff/JJ ./.","det(book-2, The-1) nmod:poss(narrator-4, book-2) case(book-2, 's-3) nsubj(describes-27, narrator-4) det(writer-8, a-6) amod(writer-8, younger-7) appos(narrator-4, writer-8) acl(writer-8, named-9) dobj(named-9, Ashenden-10) nsubj(known-13, Ashenden-10) ref(Ashenden-10, who-11) aux(known-13, had-12) acl:relcl(Ashenden-10, known-13) dobj(known-13, Driffield-14) cc(Driffield-14, and-15) nmod:poss(wife-18, his-16) amod(wife-18, first-17) dobj(known-13, wife-18) conj:and(Driffield-14, wife-18) case(Blackstable-20, at-19) nmod:at(known-13, Blackstable-20) advmod(boy-25, when-21) nsubj(boy-25, he-22) cop(boy-25, was-23) det(boy-25, a-24) advcl(known-13, boy-25) root(ROOT-0, describes-27) dobj(describes-27, Driffield-28) case(end-31, near-29) det(end-31, the-30) nmod:near(Driffield-28, end-31) case(life-34, of-32) nmod:poss(life-34, his-33) nmod:of(end-31, life-34) advmod(looked-38, <p>-36) nsubj(looked-38, He-37) conj:and(describes-27, looked-38) det(man-43, an-39) amod(old-42, old-40) amod(man-43, old-42) dobj(looked-38, man-43) advcl(looked-38, hanging-45) compound:prt(hanging-45, on-46) case(mortality-48, to-47) nmod:to(hanging-45, mortality-48) case(thread-51, by-49) det(thread-51, a-50) nmod:by(hanging-45, thread-51) nsubj(wore-54, he-53) conj:and(describes-27, wore-54) advmod(white-56, very-55) amod(teeth-58, white-56) amod(teeth-58, false-57) dobj(wore-54, teeth-58) cc(describes-27, and-59) nsubj(made-61, they-60) conj:and(describes-27, made-61) nmod:poss(smile-63, his-62) nsubj(seem-64, smile-63) ccomp(made-61, seem-64) xcomp(seem-64, forced-65) cc(forced-65, and-66) xcomp(seem-64, stiff-67) conj:and(forced-65, stiff-67)  ",book,2,"det(book-2, The-1) case(book-2, 's-3) nmod:poss(narrator-4, book-2) ","The book 's narrator , a younger",NN,[],,,,,,,,,[],[],[],[],['The'],other,[],[],[],[],[],['narrator'],[],[],[],[],[],[],[],[],[],,,singular,linked,,[],unknown,unknown
