sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Compounds,Adjectival Modifiers,Possesed (owned by noun),Possesive (owner of noun),Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositional Modifiers,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability
"Before I was able to finish full-length books , I knew that the key to understanding jungle warfare lay in "" The Thin Red Line "" by James Jones or that Erich M. Remarque 's "" All Quiet on the Western Front "" applied to trenches on Okinawa as well as to those in France .","Before/IN I/PRP was/VBD able/JJ to/TO finish/VB full-length/JJ books/NNS ,/, I/PRP knew/VBD that/IN the/DT key/NN to/TO understanding/NN jungle/NN warfare/NN lay/VBD in/IN ''/'' The/DT Thin/NNP Red/NNP Line/NNP ''/'' by/IN James/NNP Jones/NNP or/CC that/DT Erich/NNP M./NNP Remarque/NNP 's/POS ''/'' All/DT Quiet/NNP on/IN the/DT Western/JJ Front/NN ''/'' applied/VBN to/TO trenches/NNS on/IN Okinawa/NNP as/RB well/RB as/IN to/TO those/DT in/IN France/NNP ./.","mark(able-4, Before-1) nsubj(able-4, I-2) nsubj(finish-6, I-2) cop(able-4, was-3) advcl(knew-11, able-4) mark(finish-6, to-5) xcomp(able-4, finish-6) amod(books-8, full-length-7) dobj(finish-6, books-8) nsubj(knew-11, I-10) root(ROOT-0, knew-11) mark(lay-19, that-12) det(key-14, the-13) nsubj(lay-19, key-14) nsubj(lay-19', key-14) case(warfare-18, to-15) compound(warfare-18, understanding-16) compound(warfare-18, jungle-17) nmod:to(key-14, warfare-18) ccomp(knew-11, lay-19) ccomp(knew-11, lay-19') conj:or(lay-19, lay-19') case(Line-25, in-20) det(Line-25, The-22) compound(Line-25, Thin-23) compound(Line-25, Red-24) nmod:in(lay-19, Line-25) case(Jones-29, by-27) compound(Jones-29, James-28) nmod:by(lay-19, Jones-29) cc(lay-19, or-30) det(Remarque-34, that-31) compound(Remarque-34, Erich-32) compound(Remarque-34, M.-33) nmod:'s(lay-19', Remarque-34) case(Remarque-34, 's-35) det(Quiet-38, All-37) nmod:on(lay-19, Quiet-38) case(Quiet-38, on-39) det(Front-42, the-40) amod(Front-42, Western-41) dep(Quiet-38, Front-42) acl(Front-42, applied-44) acl(Front-42, applied-44') conj:and(applied-44, applied-44') case(trenches-46, to-45) nmod:to(applied-44, trenches-46) case(Okinawa-48, on-47) nmod:on(trenches-46, Okinawa-48) cc(applied-44, as-49) mwe(as-49, well-50) mwe(as-49, as-51) case(those-53, to-52) nmod:to(applied-44', those-53) case(France-55, in-54) nmod:in(those-53, France-55)  ",key,14,"det(key-14, the-13) nmod:to(key-14, warfare-18) nsubj(lay-19, key-14) ",", I knew that the key to understanding jungle warfare lay",NN,[],lay,VBD,subject,[],"[('to', 'warfare')]",['to'],[],['warfare'],['the'],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown
"Learning about the goings-on in one 's old graduate program seemed innocent enough , though I do remember thinking that the rather slickly produced publication seemed just a bit vulgar and out of key with the Duke I had known .","Learning/NNP about/IN the/DT goings-on/NNS in/IN one/CD 's/POS old/JJ graduate/JJ program/NN seemed/VBD innocent/JJ enough/RB ,/, though/IN I/PRP do/VBP remember/VB thinking/VBG that/IN the/DT rather/RB slickly/RB produced/VBN publication/NN seemed/VBD just/RB a/DT bit/NN vulgar/NN and/CC out/RB of/IN key/NN with/IN the/DT Duke/NNP I/PRP had/VBD known/VBN ./.","nmod:poss(program-10, Learning-1) case(goings-on-4, about-2) det(goings-on-4, the-3) nmod:about(Learning-1, goings-on-4) case(one-6, in-5) nmod:in(goings-on-4, one-6) case(Learning-1, 's-7) amod(program-10, old-8) amod(program-10, graduate-9) nsubj(seemed-11, program-10) root(ROOT-0, seemed-11) xcomp(seemed-11, innocent-12) advmod(innocent-12, enough-13) mark(remember-18, though-15) nsubj(remember-18, I-16) aux(remember-18, do-17) advcl(seemed-11, remember-18) xcomp(remember-18, thinking-19) mark(seemed-26, that-20) det(publication-25, the-21) advmod(publication-25, rather-22) advmod(produced-24, slickly-23) amod(publication-25, produced-24) nsubj(seemed-26, publication-25) ccomp(thinking-19, seemed-26) advmod(vulgar-30, just-27) det(vulgar-30, a-28) compound(vulgar-30, bit-29) xcomp(seemed-26, vulgar-30) cc(seemed-26, and-31) case(key-34, out-32) mwe(out-32, of-33) advcl:out_of(known-40, key-34) case(Duke-37, with-35) det(Duke-37, the-36) nmod:with(key-34, Duke-37) nsubj(known-40, I-38) aux(known-40, had-39) ccomp(thinking-19, known-40) conj:and(seemed-26, known-40)  ",key,34,"case(key-34, out-32) nmod:with(key-34, Duke-37) advcl:out_of(known-40, key-34) ",bit vulgar and out of key with the Duke I had,NN,[],,,,,"[('with', 'Duke')]",['with'],[],['Duke'],[],[],[],[],[],[],[],['out'],[],[],,,singular,,,unknown
"<p> Considering the importance of words within an academic community , one sentence in this report is particularly striking : "" On too many campuses , incivility is a problem and , all too frequently , words are used , not as the key to understanding , but as weapons of assault . ""","<p>/NN Considering/VBG the/DT importance/NN of/IN words/NNS within/IN an/DT academic/JJ community/NN ,/, one/CD sentence/NN in/IN this/DT report/NN is/VBZ particularly/RB striking/JJ :/: ''/'' On/IN too/RB many/JJ campuses/NNS ,/, incivility/NN is/VBZ a/DT problem/NN and/CC ,/, all/DT too/RB frequently/RB ,/, words/NNS are/VBP used/VBN ,/, not/RB as/IN the/DT key/NN to/TO understanding/NN ,/, but/CC as/IN weapons/NNS of/IN assault/NN ./. ''/''","nsubj(striking-19, <p>-1) case(importance-4, Considering-2) det(importance-4, the-3) nmod:considering(<p>-1, importance-4) case(words-6, of-5) nmod:of(importance-4, words-6) case(community-10, within-7) det(community-10, an-8) amod(community-10, academic-9) nmod:within(words-6, community-10) nummod(sentence-13, one-12) appos(community-10, sentence-13) case(report-16, in-14) det(report-16, this-15) nmod:in(sentence-13, report-16) cop(striking-19, is-17) advmod(striking-19, particularly-18) root(ROOT-0, striking-19) case(campuses-25, On-22) advmod(many-24, too-23) amod(campuses-25, many-24) nmod:on(problem-30, campuses-25) nsubj(problem-30, incivility-27) cop(problem-30, is-28) det(problem-30, a-29) parataxis(striking-19, problem-30) cc(problem-30, and-31) dep(frequently-35, all-33) advmod(frequently-35, too-34) advmod(used-39, frequently-35) nsubjpass(used-39, words-37) nsubjpass(used-39', words-37) auxpass(used-39, are-38) parataxis(striking-19, used-39) conj:and(problem-30, used-39) conj:and(problem-30, used-39') conj:but(used-39, used-39') neg(key-44, not-41) case(key-44, as-42) det(key-44, the-43) nmod:as(used-39, key-44) case(understanding-46, to-45) nmod:to(key-44, understanding-46) cc(used-39, but-48) case(weapons-50, as-49) nmod:as(used-39', weapons-50) case(assault-52, of-51) nmod:of(weapons-50, assault-52)  ",key,44,"neg(key-44, not-41) case(key-44, as-42) det(key-44, the-43) nmod:to(key-44, understanding-46) nmod:as(used-39, key-44) ","used , not as the key to understanding , but as",NN,['not'],,,,,"[('to', 'understanding'), ('as', 'used')]","['to', 'as']",['used'],['understanding'],['the'],[],[],[],[],[],[],['as'],[],[],,,singular,,,unknown
"Descartes 's knowledge that he exists is a respite from doubt , but it is only in his subsequent discovery of what he is that he unearths the key which unlocks the door to knowledge of the world and its creatures .","Descartes/NNP 's/POS knowledge/NN that/IN he/PRP exists/VBZ is/VBZ a/DT respite/NN from/IN doubt/NN ,/, but/CC it/PRP is/VBZ only/RB in/IN his/PRP$ subsequent/JJ discovery/NN of/IN what/WP he/PRP is/VBZ that/IN he/PRP unearths/VBZ the/DT key/NN which/WDT unlocks/VBZ the/DT door/NN to/TO knowledge/NN of/IN the/DT world/NN and/CC its/PRP$ creatures/NNS ./.","nmod:poss(knowledge-3, Descartes-1) case(Descartes-1, 's-2) nsubj(respite-9, knowledge-3) mark(exists-6, that-4) nsubj(exists-6, he-5) ccomp(knowledge-3, exists-6) cop(respite-9, is-7) det(respite-9, a-8) root(ROOT-0, respite-9) case(doubt-11, from-10) nmod:from(respite-9, doubt-11) cc(respite-9, but-13) nsubj(discovery-20, it-14) cop(discovery-20, is-15) advmod(discovery-20, only-16) case(discovery-20, in-17) nmod:poss(discovery-20, his-18) amod(discovery-20, subsequent-19) conj:but(respite-9, discovery-20) mark(is-24, of-21) dobj(is-24, what-22) nsubj(is-24, he-23) acl(discovery-20, is-24) mark(unearths-27, that-25) nsubj(unearths-27, he-26) ccomp(is-24, unearths-27) det(key-29, the-28) dobj(unearths-27, key-29) nsubj(unlocks-31, key-29) ref(key-29, which-30) acl:relcl(key-29, unlocks-31) det(door-33, the-32) dobj(unlocks-31, door-33) case(knowledge-35, to-34) nmod:to(unlocks-31, knowledge-35) case(world-38, of-36) det(world-38, the-37) nmod:of(knowledge-35, world-38) cc(world-38, and-39) nmod:poss(creatures-41, its-40) nmod:of(knowledge-35, creatures-41) conj:and(world-38, creatures-41)  ",key,29,"det(key-29, the-28) ref(key-29, which-30) acl:relcl(key-29, unlocks-31) dobj(unearths-27, key-29) nsubj(unlocks-31, key-29) ",is that he unearths the key which unlocks the door to,NN,[],unlocks,VBZ,subject,[],[],[],[],[],['the'],[],[],[],[],[],[],[],[],[],,,singular,singular,,unknown
"The word they found which seemed the key to making translation between the spiritual and the material was difference , and in seizing upon this word they began to diverge from their teacher .","The/DT word/NN they/PRP found/VBD which/WDT seemed/VBD the/DT key/NN to/TO making/VBG translation/NN between/IN the/DT spiritual/NN and/CC the/DT material/NN was/VBD difference/NN ,/, and/CC in/IN seizing/VBG upon/IN this/DT word/NN they/PRP began/VBD to/TO diverge/VB from/IN their/PRP$ teacher/NN ./.","det(word-2, The-1) nsubj(seemed-6, word-2) nsubj(difference-19, word-2) nsubj(found-4, they-3) acl:relcl(word-2, found-4) ref(word-2, which-5) ccomp(found-4, seemed-6) det(key-8, the-7) xcomp(seemed-6, key-8) mark(making-10, to-9) advcl(seemed-6, making-10) dobj(making-10, translation-11) case(spiritual-14, between-12) det(spiritual-14, the-13) nmod:between(translation-11, spiritual-14) cc(spiritual-14, and-15) det(material-17, the-16) nmod:between(translation-11, material-17) conj:and(spiritual-14, material-17) cop(difference-19, was-18) root(ROOT-0, difference-19) cc(difference-19, and-21) mark(seizing-23, in-22) advcl(began-28, seizing-23) case(word-26, upon-24) det(word-26, this-25) nmod:upon(seizing-23, word-26) nsubj(began-28, they-27) nsubj(diverge-30, they-27) conj:and(difference-19, began-28) mark(diverge-30, to-29) xcomp(began-28, diverge-30) case(teacher-33, from-31) nmod:poss(teacher-33, their-32) nmod:from(diverge-30, teacher-33)  ",key,8,"det(key-8, the-7) xcomp(seemed-6, key-8) ",they found which seemed the key to making translation between the,NN,[],seemed,VBD,object,[],[],[],[],[],['the'],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown
"<p> At the end of the Pherwmerology of the Spirit , Hegel made the connection between difference and recognition the key to ethics .","<p>/RB At/IN the/DT end/NN of/IN the/DT Pherwmerology/NN of/IN the/DT Spirit/NN ,/, Hegel/NNP made/VBD the/DT connection/NN between/IN difference/NN and/CC recognition/NN the/DT key/NN to/TO ethics/NNS ./.","advmod(end-4, <p>-1) case(end-4, At-2) det(end-4, the-3) nmod:at(made-13, end-4) case(Pherwmerology-7, of-5) det(Pherwmerology-7, the-6) nmod:of(end-4, Pherwmerology-7) case(Spirit-10, of-8) det(Spirit-10, the-9) nmod:of(Pherwmerology-7, Spirit-10) nsubj(made-13, Hegel-12) root(ROOT-0, made-13) det(connection-15, the-14) dobj(made-13, connection-15) case(difference-17, between-16) nmod:between(connection-15, difference-17) cc(difference-17, and-18) nmod:between(connection-15, recognition-19) conj:and(difference-17, recognition-19) det(key-21, the-20) nmod:tmod(made-13, key-21) dep(key-21, to-22) dep(key-21, ethics-23)  ",key,21,"det(key-21, the-20) dep(key-21, to-22) dep(key-21, ethics-23) nmod:tmod(made-13, key-21) ",between difference and recognition the key to ethics .,NN,[],,,,,"[('tmod', 'made')]",['tmod'],['made'],[],['the'],[],[],[],[],[],[],[],[],[],,,singular,,,unknown
"Since the key to changing minds is not better arguments but alternative vocabularies , his chief discursive tactic is to make the positions he opposes look bad by showing how limited and brittle they are , and to cast his own position in the most favorable light by revealing how many different issues it can illumine .","Since/IN the/DT key/NN to/TO changing/VBG minds/NNS is/VBZ not/RB better/JJR arguments/NNS but/CC alternative/JJ vocabularies/NNS ,/, his/PRP$ chief/JJ discursive/NN tactic/NN is/VBZ to/TO make/VB the/DT positions/NNS he/PRP opposes/VBZ look/VB bad/JJ by/IN showing/VBG how/WRB limited/JJ and/CC brittle/JJ they/PRP are/VBP ,/, and/CC to/TO cast/VB his/PRP$ own/JJ position/NN in/IN the/DT most/RBS favorable/JJ light/NN by/IN revealing/VBG how/WRB many/JJ different/JJ issues/VBZ it/PRP can/MD illumine/VB ./.","mark(arguments-10, Since-1) det(key-3, the-2) nsubj(arguments-10, key-3) case(minds-6, to-4) amod(minds-6, changing-5) nmod:to(key-3, minds-6) cop(arguments-10, is-7) neg(arguments-10, not-8) amod(arguments-10, better-9) advcl(is-19, arguments-10) case(vocabularies-13, but-11) amod(vocabularies-13, alternative-12) nmod:but(arguments-10, vocabularies-13) nmod:poss(tactic-18, his-15) amod(tactic-18, chief-16) compound(tactic-18, discursive-17) nsubj(is-19, tactic-18) root(ROOT-0, is-19) mark(make-21, to-20) ccomp(is-19, make-21) det(positions-23, the-22) dobj(make-21, positions-23) nsubj(opposes-25, he-24) acl:relcl(positions-23, opposes-25) ccomp(opposes-25, look-26) xcomp(look-26, bad-27) mark(showing-29, by-28) advcl(bad-27, showing-29) advmod(are-35, how-30) dep(how-30, limited-31) cc(limited-31, and-32) dep(how-30, brittle-33) conj:and(limited-31, brittle-33) nsubj(are-35, they-34) ccomp(showing-29, are-35) cc(make-21, and-37) mark(cast-39, to-38) ccomp(is-19, cast-39) conj:and(make-21, cast-39) nmod:poss(position-42, his-40) amod(position-42, own-41) dobj(cast-39, position-42) case(light-47, in-43) det(light-47, the-44) advmod(favorable-46, most-45) amod(light-47, favorable-46) nmod:in(cast-39, light-47) mark(revealing-49, by-48) advcl(cast-39, revealing-49) advmod(many-51, how-50) dep(issues-53, many-51) nsubj(issues-53, different-52) ccomp(revealing-49, issues-53) nsubj(illumine-56, it-54) aux(illumine-56, can-55) ccomp(issues-53, illumine-56)  ",key,3,"det(key-3, the-2) nmod:to(key-3, minds-6) nsubj(arguments-10, key-3) ",Since the key to changing minds is not,NN,[],is,VBZ,subject,[],"[('to', 'minds')]",['to'],[],['minds'],['the'],[],[],[],[],[],[],[],[],[],,,singular,singular,,unknown
"A subject could answer a multiple-choice question by pressing one of the four function keys , F1 , F2 , F3 , or F4 .","A/DT subject/NN could/MD answer/VB a/DT multiple-choice/JJ question/NN by/IN pressing/VBG one/CD of/IN the/DT four/CD function/NN keys/NNS ,/, F1/NNP ,/, F2/NNP ,/, F3/NNP ,/, or/CC F4/NNP ./.","det(subject-2, A-1) nsubj(answer-4, subject-2) aux(answer-4, could-3) root(ROOT-0, answer-4) det(question-7, a-5) amod(question-7, multiple-choice-6) dobj(answer-4, question-7) mark(pressing-9, by-8) advcl(answer-4, pressing-9) dobj(pressing-9, one-10) case(keys-15, of-11) det(keys-15, the-12) nummod(keys-15, four-13) compound(keys-15, function-14) nmod:of(one-10, keys-15) compound(F3-21, F1-17) appos(F3-21, F2-19) nmod:of(one-10, F3-21) conj:or(keys-15, F3-21) cc(keys-15, or-23) nmod:of(one-10, F4-24) conj:or(keys-15, F4-24)  ",keys,15,"case(keys-15, of-11) det(keys-15, the-12) nummod(keys-15, four-13) compound(keys-15, function-14) conj:or(keys-15, F3-21) cc(keys-15, or-23) conj:or(keys-15, F4-24) nmod:of(one-10, keys-15) ","one of the four function keys , F1 , F2 ,",NNS,[],,,,,"[('of', 'one')]",['of'],['one'],[],['the'],"[('or', 'F3'), ('or', 'F4')]",['function'],[],[],[],['four'],['of'],[],[],four,other,plural,,O-DEN,countable
<p> Return key .,<p>/VB Return/NN key/NN ./.,"root(ROOT-0, <p>-1) compound(key-3, Return-2) dobj(<p>-1, key-3)  ",key,3,"compound(key-3, Return-2) dobj(<p>-1, key-3) ",<p> Return key .,NN,[],,,,,[],[],[],[],[],[],['Return'],[],[],[],[],[],[],[],,,singular,,,unknown
"Except when a multiple-choice answer was required , the subject could advance from the one screen to the next at any time by pressing the Return key .","Except/IN when/WRB a/DT multiple-choice/JJ answer/NN was/VBD required/VBN ,/, the/DT subject/NN could/MD advance/VB from/IN the/DT one/CD screen/NN to/TO the/DT next/JJ at/IN any/DT time/NN by/IN pressing/VBG the/DT Return/NN key/NN ./.","mark(required-7, Except-1) advmod(required-7, when-2) det(answer-5, a-3) amod(answer-5, multiple-choice-4) nsubjpass(required-7, answer-5) auxpass(required-7, was-6) advcl(advance-12, required-7) det(subject-10, the-9) nsubj(advance-12, subject-10) aux(advance-12, could-11) root(ROOT-0, advance-12) case(screen-16, from-13) det(screen-16, the-14) nummod(screen-16, one-15) nmod:from(advance-12, screen-16) case(next-19, to-17) det(next-19, the-18) nmod:to(advance-12, next-19) case(time-22, at-20) det(time-22, any-21) nmod:at(next-19, time-22) mark(pressing-24, by-23) advcl(advance-12, pressing-24) det(key-27, the-25) compound(key-27, Return-26) dobj(pressing-24, key-27)  ",key,27,"det(key-27, the-25) compound(key-27, Return-26) dobj(pressing-24, key-27) ",time by pressing the Return key .,NN,[],pressing,VBG,object,[],[],[],[],[],['the'],[],['Return'],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown
